Name,Address,Postcode,Telephone,Email,"More information","Opening hours","Head Teacher",Inspections,"Meal provider","More about secondary school meals","Eco-Schools status","More about the Eco-Schools programme",Neighbourhood,"Catchment area map","Active Schools Co-ordinator",Location
"Gracemount High School","136 Lasswade Road","EH16 6TZ","0131 664 7440",Admin@Gracemount.edin.sch.uk,http://www.gracemount.edin.sch.uk,"Mon-Thu, 8.30am-3.25pm
Fri, 8.30am-12.35pm","Louise Sinclair","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Amey,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",South,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Phil Kidd 0131 664 7440/07824 622953","55.906174,-3.15279"
"Holy Rood RC High School","55 Duddingston Road West","EH15 3ST","0131 661 5871",Admin@Holyrood.edin.sch.uk,http://www.holyrood.edin.sch.uk,"Mon,Wed, 8.40am-3.50pm
Tue,Thu, 8.40am-3.25pm
Fri, 8.40am-12.15pm","Lorraine Legrix","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Mitie,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",East,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Lorraine Dickson (Wed, Thu, Fri) 07825 387256","55.944032,-3.139586"
"James Gillespie's High School","57 Lauderdale Street","EH9 1DD","0131 447 1900",Admin@jamesgillespies.edin.sch.uk,http://www.jamesgillespies.edin.sch.uk,"Mon-Thurs 8.40am-3.40pm
Fri 8.40am-12.55pm","Donald MacDonald","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",South,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Jonathan Wallace/Lesley Ann Chessor 07799 861473/07884 271028","55.936171,-3.19925"
"Leith Academy","20 Academy Park","EH6 8JQ","0131 554 0606",Admin@Leith.edin.sch.uk,http://www.leith.edin.sch.uk,"Mon-Thurs 8.30am-3.16pm, Fri 8.30am-12.51pm","Jack Simpson","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",North,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Craig Renwick 07884 228020","55.967731,-3.167135"
"Liberton High School","328 Gilmerton Road","EH17 7PT","0131 664 7514",Admin@liberton.edin.sch.uk,http://www.liberton.edin.sch.uk,"Mon-Thu 8.30am-3.25pm, 
Fr 8.30am-12.40pm","Stephen Kelly","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",South,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Ellie Forgan 07884 210647","55.914654,-3.151341"
"Portobello High School","10 Duddingston Road","EH15 1NF","0131 669 2324",Admin@portobello.edin.sch.uk,http://www.portobello.edin.sch.uk,"Mon-Thu, 8.30am-3.35pm
Fri, 8.30am-12.35pm","Peigi MacArthur","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",East,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Lewis Patience/Tony Segall 07825 842971/07884 244362","55.947924,-3.12454"
"Queensferry High School","Ashburnham Road, South Queensferry","EH30 9JN","0131 319 3200",Admin@Queensferry.edin.sch.uk,http://www.queensferry.edin.sch.uk,"Mon-Thu, 8.40am-3.30pm, Fri, 8.40am-1.05pm","John Wood","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Heather Darling 0131 319 3200/07825 386846","55.986175,-3.387002"
"St Augustine's RC High School","208 Broomhouse Road","EH12 9AD","0131 334 6801",Admin@st-augustines.edin.sch.uk,http://www.st-augustines.edin.sch.uk,"Mon-Thu, 8.40am-3.35pm
Fri, 8.40am-12.25pm","Michael McGee","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Mitie,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Fiona Damen 07769 922742","55.933043,-3.288544"
"St Thomas of Aquin's RC High School","2 - 20 Chalmers Street","EH3 9NH","0131 229 8734",Admin@st-thomasaquins.edin.sch.uk,http://www.st-thomasaquins.edin.sch.uk,"Mon-Thu 8.40am-3.40pm
Fri 8.40am-13.30pm","Tommy Hughes","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",South,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Cameron Reid 07824 622936/0131 229 8734","55.943549,-3.19766"
"The Royal High Secondary School","East Barnton Avenue","EH4 6JP","0131 336 2261",Admin@royalhigh.edin.sch.uk,http://www.royalhigh.edin.sch.uk,"Mon-Thu, 8.40am-3.30pm
Fri, 8.40am-1.05pm","Pauline Walker","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Amey,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Neil Russell 07825 782585","55.965124,-3.280164"
"Trinity Academy","Craighall Avenue","EH6 4RT","0131 478 5050",Admin@trinity.edin.sch.uk,http://www.trinity.edin.sch.uk,"Mon,Tue,Thu, 8.30am-3.30pm
Wed, 8.30am-3.20pm
Fri, 8.30am-12.25pm","Alec Morris","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",North,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Nicky Wheatley 07799 868054","55.976029,-3.195874"
"Tynecastle High School","17-19 McLeod Street","EH11 2NJ","0131 337 3488",Admin@Tynecastle.edin.sch.uk,http://www.tynecastle.edin.sch.uk,"Mon,Tue,Thu, 8.30am-3.30pm, Wed, 8.30am-3.45pm, Fri, 8.30am-12.15pm","Tom Rae","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Mitie,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Pamela Brown 07884 142774","55.938821,-3.230509"
"Wester Hailes Education Centre","5 Murrayburn Drive","EH14 2SU","0131 442 2201",Admin@whec.edin.sch.uk,http://www.whec.edin.sch.uk,"Mon, Tues & Thurs 8.30am-3.35pm, Wed 8.30am-2.45pm, 
Fr 8.30am-12.25pm","Sheila Paton","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","South West","<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Shona Clark 07776 151522","55.917644,-3.288443"
