Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Religion,Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,"More information",Location
"Bright Horizons Family Solutions - Cramond","26 Whitehouse Road","EH4 6PH","0131 336 3222",cramond@brighthorizons.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.975348,-3.301047"
"Bright Horizons Family Solutions - Elsie Inglis","1 Waverley Park, Spring Gardens","EH8 8EW","0131 661 8551",elsies@brighthorizons.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.955148,-3.166263"
"Bright Horizons Family Solutions - MMF","Morton Mains Farmhouse, 37 Winton Loan","EH10 7AW","0131 445 4450",morton@brighthorizons.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.895537,-3.192531"
"Bright Horizons Family Solutions - RBS Gogarburn","Gogarburn Station Road,  PO Box 1000,, Gogarburn","EH12 1HQ","0131 626 4200",rbsnursery@brighthorizons.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"Bright Horizons Family Solutions - Rutland Square","4A Rutland Square","EH1 2AS","0131 229 8888",rutland@brighthorizons.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.948583,-3.208508"
"Bright Sparks Nursery","58 Saughton Crescent","EH12 5SP","0131 313 1280",info@brightsparks-nursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.943327,-3.255775"
"Brighton Nursery","9c Bellfield Lane","EH15 2BL","0131 305 8589",brightonnursery@btconnect.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,East,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.952057,-3.109472"
"Broomhouse Primary School Nursery Class","39 Saughton Road","EH11 3RQ","0131 443 3783",Admin@Broomhouse.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nurs 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thu 8.50am-2.55pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.broomhouse.edin.sch.uk,Non-Denominational,"Yvonne Barrie",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.928527,-3.273493"
"Broughton Primary School Nursery Class","132 Broughton Road","EH7 4LD","0131 556 7028",Admin@broughton-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-11.55am, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.broughton-pri.edin.sch.uk,Non-Denominational,"Alan Devine",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.96546,-3.189797"
"Brunstane Primary School Nursery Class","106 Magdalene Drive","EH15 3BE","0131 669 4498",Admin@brunstane.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.brunstane.edin.sch.uk,Non-Denominational,"Elizabeth Boyle",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.942676,-3.105028"
"Bruntsfield Community Nursery","12 Montpelier","EH10 4NA","0131 229 1970",nursery@bruntsfieldnursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.936935,-3.210556"
"Bruntsfield House Nursery","46 Bruntsfield Place","EH10 4HQ","0131 228 1526",info@bhnursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.938836,-3.205391"
"Buckstone Primary School Nursery Class","79 Buckstone Loan East","EH10 6UY","0131 445 4545",Admin@buckstone.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.25pm",http://www.buckstone.edin.sch.uk,Non-Denominational,"Diane Palmer",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.90494,-3.199688"
"Busy Bees - Edinburgh Park","1 Lochside Place","EH12 9DF","0131 339 1245",edinburgh.park@busybees.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.932369,-3.313815"
"Busy Bees - Newhaven Nursery","Next Generation Centre, Newhaven Place","EH6 4LX","0131 467 4647",edinburgh.newhaven@busybees.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.985962,-3.188627"
"Busy Bees - Port Hamilton Nursery","69 Morrison Street","EH3 8BD","228 1221",edinburgh.porthamilton@busybees.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,,,,,http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.945463,-3.207678"
"Busy Bees Nursery","20 Valleyfield Street","EH3 9LR","0131 229 7889",jessica_vanliesout@yahoo.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.941682,-3.202598"
"Calderglen Nursery School","220 Wester Hailes Road","EH11 4NG","0131 453 5754",Admin@Calderglen-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Thu, 8.45am-3.15pm; Fri, 8.45am-11.45am",,,"Pat Appleby","South West","Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.917469,-3.288221"
"Cameron House Nursery School","Cameron House Avenue","EH16 5LF","0131 667 5117",Admin@cameronhouse-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 9.00am-3.00pm",,,"Christine McCormick",South,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.930637,-3.159904"
"Canal View Primary School Nursery Class","4 Hailesland Place","EH14 2SL","0131 442 3894",Admin@Canalview.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur Mon-Fri 8.55am-11.30am, 12.30pm-3.05pm, P1-P2 Mon-Thurs 8.55am-2.50pm, Fri 8.55am-12.20pm, P3-P7 Mon-Thu 8.55am-3.15pm, Fri 8.55am-12.30pm",http://www.canalview.edin.sch.uk,Non-Denominational,"Ann Moore","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.916955,-3.281162"
"Cargilfield Nursery School","37 Barnton Avenue West","EH4 6HU","0131 336 2207",nursery@cargilfield.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.969525,-3.300061"
"Carrick Knowe Primary School Nursery Class","Lampacre Road","EH12 7HU","0131 334 4505",Admin@Carrickknowe.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.carrickknowe.edin.sch.uk,Non-Denominational,"Andrew Hunter",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.93823,-3.275764"
"Castleview Primary School Nursery Class","2d Greendykes Road","EH16 4DP","0131 661 6429",Admin@Castleview.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.45am-11.20am, 12.15pm-2.50pm, FT 8.45am-2.50pm, P1-2 Mon-Thurs 8.40am-2.50pm, Fri 8.40am-12.35pm, P3-7 Mon-Thu 8.40am-2.55pm, Fri 8.40am-12.40pm",http://www.castleview.edin.sch.uk,Non-Denominational,"Greg Dimeck (Acting)",East,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.929703,-3.133866"
"Chapter One Nursery (Douglas Gardens)","5 Douglas Gardens","EH4 3DA","0131 664 5376",douglasgardens@chapteronechildcare.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.950785,-3.220223"
"Chapter One Nursery (Gilmerton)","1b Drum Street","EH17 8QQ","0131 664 3031",gilmerton@chapteronechildcare.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.906562,-3.133351"
"Chapter One Nursery (Kirk Brae)","50 Kirk Brae","EH16 6HT","0131 220 0707",kirkbrae@chapteronechildcare.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.916782,-3.163994"
"Cherrytrees Nursery","1c Duddingston Park","EH15 1JN","0131 669 0405",cherrytrees.littleacorns@virgin.net,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,East,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.947662,-3.118474"
"Childsplay Nurseries","8 Falcon Road","EH10 4AH","0131 447 0077",childsplaynursery@btconnect.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.929417,-3.205961"
"City Nursery","47-48 Greenbank Drive","EH10 5SA","0131 446 0088",manager@city-nursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.916667,-3.222479"
"Claylands Children's Nursery","Claylands Road, Ratho, Nr Newbridge","EH28 8LZ","0131 333 4701",claylandsnursery@btinternet.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.927708,-3.410834"
"Clermiston Primary School Nursery Class","18 Parkgrove Place","EH4 7NP","0131 336 3361",Admin@clermiston.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.30pm",http://www.clermiston.edin.sch.uk,Non-Denominational,"Myra Appolinari",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.959611,-3.290001"
"Clifton Hall School Nursery Class",Newbridge,"EH28 8LQ","0131 333 1359",office@cliftonhall.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.943197,-3.411193"
"Clovenstone Primary School Nursery Class","54 Clovenstone Park","EH14 3EY","0131 453 4242",Admin@Clovenstone.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur Mon-Thu 8.45am-11.30am, 12.30pm-3.15pm, Fri 8.30am-10.30am, 10.30am-12.30pm, P1-2 Mon-Thurs 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.clovenstone.edin.sch.uk,Non-Denominational,"Carolyn Didcock","South West",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.910993,-3.27295"
"Colinton Primary School Nursery Class","Redford Place","EH13 0AL","0131 441 1946",Admin@Colinton.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.10pm, Fri 8.50am-12.25pm",http://www.colinton.edin.sch.uk,Non-Denominational,"Susan Imrie","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.907645,-3.237333"
"Colinton Private Nursery","22 Dreghorn Loan","EH13 0DE","0131 477 7330",sandy.towers@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.905824,-3.254307"
"Colinton Village Nursery","6 Bridge Road","EH13 0LF","0131 477 4518",sandy.towers@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.907519,-3.255969"
"Corner House Day Nursery - South Gillsland","2 South Gillsland Road","EH10 5DE","0131 447 4050",nestor.bc@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.930596,-3.220468"
"Corner House Day Nursery - Spylaw","2 Spylaw Road","EH10 5BN","0131 229 1500",nestor.bc@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.93255,-3.217809"
"Corstorphine Primary School Nursery Class","62 Corstorphine High Street","EH12 7SY","0131 334 3865",Admin@Corstorphine.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.50am-11.25am, 12.30pm-3.05pm, P1-2 Mon-Thurs 8.50am-3.00pm, Fri 8.50am-12.15pm, P3 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm, P4-P7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.corstorphine.edin.sch.uk,Non-Denominational,"Jennifer Ross",West,Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.940369,-3.285182"
"Cowgate Under 5's Centre","172 High Street, 7 Old Assembly Close","EH1 1QX","0131 225 7251",Admin@cowgate-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.00am-5.45pm",,,"Lynn McNair",South,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.950793,-3.187667"
"Craigentinny Primary School Nursery Class","4 Loganlea Drive","EH7 6LR","0131 661 2749",morag.paterson@craigentinny.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.25pm-3pm, P1-2 Mon-Thur 8.45am-2.55pm, Fri 8.45am-12pm, P3-7 Mon-Thu 8.45am-3.45pm, Fri 8.45am-12pm",http://www.craigentinny.edin.sch.uk,Non-Denominational,"Maria Gowans",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.959533,-3.143133"
