Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,Location
"Bright Horizons Family Solutions - Cramond","26 Whitehouse Road","EH4 6PH","0131 336 3222",cramond@brighthorizons.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9753478,-3.3010472"
"Bright Horizons Family Solutions - Elsie Inglis","1 Waverley Park, Spring Gardens","EH8 8EW","0131 661 8551",elsies@brighthorizons.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9551571,-3.1656224"
"Bright Horizons Family Solutions - MMF","Morton Mains Farmhouse, 37 Winton Loan","EH10 7AW","0131 445 4450",morton@brighthorizons.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.8955369,-3.1925311"
"Bright Horizons Family Solutions - RBS Gogarburn","Gogarburn Station Road,  PO Box 1000,, Gogarburn","EH12 1HQ","0131 626 4200",rbsnursery@brighthorizons.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9433107,-3.2326691"
"Bright Horizons Family Solutions - Rutland Square","4A Rutland Square","EH1 2AS","0131 229 8888",rutland@brighthorizons.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9485829,-3.2085082"
"Bright Sparks Nursery","58 Saughton Crescent","EH12 5SP","0131 313 1280",info@brightsparks-nursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9433267,-3.2557752"
"Brighton Nursery","9c Bellfield Lane","EH15 2BL","0131 305 8589",brightonnursery@btconnect.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9520565,-3.1094725"
"Broomhouse Primary School Nursery Class","39 Saughton Road","EH11 3RQ","0131 443 3783",Admin@Broomhouse.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nurs 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thu 8.50am-2.55pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.broomhouse.edin.sch.uk,"Jamie Petrie",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9285274,-3.2734934"
"Broughton Primary School Nursery Class","132 Broughton Road","EH7 4LD","0131 556 7028",Admin@broughton-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-11.55am, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.broughton-pri.edin.sch.uk,"Gillian O'Rourke",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9654602,-3.1897972"
"Brunstane Primary School Nursery Class","106 Magdalene Drive","EH15 3BE","0131 669 4498",Admin@brunstane.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.brunstane.edin.sch.uk,"Willie French (Acting)",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9426765,-3.1050282"
"Bruntsfield Community Nursery","12 Montpelier","EH10 4NA","0131 228 1526",nursery@bruntsfieldnursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.9369347,-3.2105561"
"Bruntsfield House Nursery","46 Bruntsfield Place","EH10 4HQ","0131 229 1970",info@bhnursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9388363,-3.2053909"
"Buckstone Primary School Nursery Class","79 Buckstone Loan East","EH10 6UY","0131 445 4545",Admin@buckstone.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.25pm",http://www.buckstone.edin.sch.uk,"Diane Palmer",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9049404,-3.1996875"
"Bun-sgoil Taobh na Pairce Nursery Class","139b Bonnington Road","EH6 5NQ","0131 553 5856",admin@taobhnapairce.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,http://www.taobhnapairce.edin.sch.uk,"Anne MacPhail",North,None,,"Local Authority Non-Denominational Primary","55.9709151,-3.1793518"
"Busy Bees - Edinburgh Park","1 Lochside Place","EH12 9DF","0131 339 1245",edinburgh.park@busybees.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9323692,-3.3138149"
"Busy Bees - Newhaven Nursery","Next Generation Centre, Newhaven Place","EH6 4LX","0131 467 4647",edinburgh.newhaven@busybees.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,,,"Private Day Nursery","55.982367,-3.1940684"
"Busy Bees - Port Hamilton Nursery","69 Morrison Street","EH3 8BU","228 1221",edinburgh.porthamilton@busybees.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9454631,-3.2076784"
"Busy Bees Nursery","20 Valleyfield Street","EH3 9LR","0131 229 7889",jessica_vanliesout@yahoo.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9417592,-3.2023596"
"Calderglen Nursery School","220 Wester Hailes Road","EH11 4NG","0131 453 5754",Admin@Calderglen-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Thu, 8.45am-3.15pm; Fri, 8.45am-11.45am",,"Pat Appleby","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9174687,-3.288221"
"Cameron House Nursery School","Cameron House Avenue","EH16 5LF","0131 667 5117",Admin@cameronhouse-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 9.00am-3.00pm",,"Christine McCormick",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9308423,-3.1599029"
"Canal View Primary School Nursery Class","4 Hailesland Place","EH14 2SL","0131 442 3894",Admin@Canalview.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur Mon-Fri 8.55am-11.30am, 12.30pm-3.05pm, P1-P2 Mon-Thurs 8.55am-2.50pm, Fri 8.55am-12.20pm, P3-P7 Mon-Thu 8.55am-3.15pm, Fri 8.55am-12.30pm",http://www.canalview.edin.sch.uk,"Ann Moore","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9169553,-3.2811622"
"Cargilfield Nursery School","37 Barnton Avenue West","EH4 6HU","0131 336 2207",nursery@cargilfield.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Independent School","55.9695254,-3.3000612"
"Carrick Knowe Primary School Nursery Class","Lampacre Road","EH12 7HU","0131 334 4505",Admin@Carrickknowe.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8.30am-11.40am, 12.20pm-3.30pm
P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.15pm
P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.carrickknowe.edin.sch.uk,"Andrew Hunter",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.93823,-3.2757635"
"Castleview Primary School Nursery Class","2d Greendykes Road","EH16 4DP","0131 661 6429",Admin@Castleview.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.45am-11.20am, 12.15pm-2.50pm, FT 8.45am-2.50pm, P1-2 Mon-Thurs 8.40am-2.50pm, Fri 8.40am-12.35pm, P3-7 Mon-Thu 8.40am-2.55pm, Fri 8.40am-12.40pm",http://www.castleview.edin.sch.uk,"Lindsey Watt",East,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9297033,-3.1338662"
"Chapter One Nursery (Douglas Gardens)","5 Douglas Gardens","EH4 3DA","0131 664 5376",douglasgardens@chapteronechildcare.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9507847,-3.2202232"
"Chapter One Nursery (Gilmerton)","1b Drum Street","EH17 8QQ","0131 664 3031",gilmerton@chapteronechildcare.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9065616,-3.1333506"
"Chapter One Nursery (Kirk Brae)","50 Kirk Brae","EH16 6HT","0131 220 0707",kirkbrae@chapteronechildcare.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9167823,-3.1639943"
"Cherrytrees Nursery","1c Duddingston Park","EH15 1JN","0131 669 0405",cherrytrees.littleacorns@virgin.net,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,East,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9476621,-3.1184742"
"Childsplay Nurseries","8 Falcon Road","EH10 4AH","0131 447 0077",childsplaynursery@btconnect.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9294169,-3.2059612"
"City Nursery","47-48 Greenbank Drive","EH10 5SA","0131 446 0088",manager@city-nursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9165259,-3.2226346"
"Claylands Children's Nursery","Claylands Road, Ratho, Nr Newbridge","EH28 8LZ","0131 333 4701",claylandsnursery@btinternet.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9293765,-3.4084349"
"Clermiston Primary School Nursery Class","18 Parkgrove Place","EH4 7NP","0131 336 3361",Admin@clermiston.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.30pm",http://www.clermiston.edin.sch.uk,"Gordon McIntyre",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9596115,-3.2900012"
"Clifton Hall School Nursery Class",Newbridge,"EH28 8LQ","0131 333 1359",office@cliftonhall.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Independent School","55.943197,-3.411193"
"Clovenstone Primary School Nursery Class","54 Clovenstone Park","EH14 3EY","0131 453 4242",Admin@Clovenstone.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur Mon-Thu 8.45am-11.30am, 12.30pm-3.15pm, Fri 8.30am-10.30am, 10.30am-12.30pm, P1-2 Mon-Thurs 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.clovenstone.edin.sch.uk,"Carolyn Didcock","South West",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9109931,-3.2729505"
"Colinton Primary School Nursery Class","Redford Place","EH13 0AL","0131 441 1946",Admin@Colinton.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.10pm, Fri 8.50am-12.25pm",http://www.colinton.edin.sch.uk,"Susan Imrie","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9076448,-3.2373326"
"Colinton Private Nursery","22 Dreghorn Loan","EH13 0DE","0131 477 7330",sandy.towers@blueyonder.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9057428,-3.2541201"
"Corner House Day Nursery - South Gillsland","2 South Gillsland Road","EH10 5DE","0131 447 4050",nestor.bc@blueyonder.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9305962,-3.2204675"
"Corner House Day Nursery - Spylaw","2 Spylaw Road","EH10 5BN","0131 229 1500",nestor.bc@blueyonder.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9325501,-3.2178091"
"Corstorphine Primary School Nursery Class","62 Corstorphine High Street","EH12 7SY","0131 334 3865",Admin@Corstorphine.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.50am-11.25am, 12.30pm-3.05pm, P1-2 Mon-Thurs 8.50am-3.00pm, Fri 8.50am-12.15pm, P3 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm, P4-P7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.corstorphine.edin.sch.uk,"Jennifer Ross",West,Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9403695,-3.2851821"
"Cowgate Under 5's Centre","172 High Street, 7 Old Assembly Close","EH1 1QX","0131 225 7251",Admin@cowgate-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.00am-5.45pm",,"Lynn McNair",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9497293,-3.1894111"
"Craigentinny Early Years Centre","4 Loganlea Drive","EH7 6LR","0131 661 8593",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Tracey Shaw",North,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre & Nursery","55.959533,-3.1431333"
"Craigentinny Primary School Nursery Class","4 Loganlea Drive","EH7 6LR","0131 661 2749",morag.paterson@craigentinny.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 9am-11.35am, 12.25pm-3pm
P1-2 Mon-Thur 8.45am-2.55pm, Fri 8.45am-12pm
P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.craigentinny.edin.sch.uk,"Maria Gowans",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.959533,-3.1431333"
"Craiglockhart Primary School Nursery Class","90 Ashley Terrace","EH11 1RG","0131 337 1407",Admin@Craiglockhart.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.Craiglockhart.edin.sch.uk,"Derek Law",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9317599,-3.2277084"
"Craigmillar Early Years Centre","6 Craigmillar Castle Gardens","EH16 4BR","0131 661 3126",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Winnie McIlhone",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9297729,-3.1448"
"Craigour Park Primary School Nursery Class","102 Moredun Park Road","EH17 7HL","0131 664 7594",Admin@craigourpark.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8.30am-11.40am, 12.20pm-3.30pm
P1-2 Mon-Thurs 8.45am-2.30pm Fri 8.45am-12.10pm
P3-7 Mon-Thu 8.45am-3.05pm, Fri 8.45am-12.20pm",http://www.craigourpark.edin.sch.uk,"Carol Cameron",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9134219,-3.1337175"
"Craigroyston Early Years Centre","67 Pennywell Road","EH4 4QP","0131 332 3855",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Diane Hope",North,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9734516,-3.2533271"
