Name,Address,Postcode,Telephone,Email,Opening hours,More information,Organisation,Activities,Location,Navigation ID
A1 Paintball Limited,"Victoria Cottage, Eastfield, Fauldhouse, West Lothian",EH47 0LQ,08000 191 404,info@a1paintball.org,,,,Paintball games provision,"55.90061778959825,-3.386814594268799",
Abernethy Ardeonaig Adventure Centre,By Killin,FK21 8SY,01567 820 523,,,,Abernethy Trust,"Kayaking
Open Canoeing
Improvised Rafting
Sailing
Rock Climbing
Abseiling
Gorge Scrambling
Hill Walking & Mountaineering
Ski Touring
Off-Road Cycling","56.501852,-4.227762",
Abernethy Barcaple,Ringford,DG7 2AP,01557 820 261,barcaple@abernethy.org.uk,,,Abernethy Trust,"Abseiling
Hill / Mountain Walking
Kayaking
Open Canoeing
Orienteering
Alien Rock 1,"8 Pier Place, Newhaven",EH6 4LP,0131 552 7211,aliens@alienrock.co.uk,,,,"Indoor Climbing
Top Roping
Leading
Bouldering","55.98063,-3.196423",
Alien Rock 2,37 West Bowling Green Street,EH6 5NX,0131 555 3650,aliens@alienrock.co.uk,,,,"Indoor Climbing
Bouldering","55.972249,-3.184229",
Alltnacriche Residential Activity Centre,"Lynwilg, Near Aviemore, Inverness-shire",PH22 1PZ,01479 810237,Alltnacriche@suscotland.org.uk,,,Scripture Union Scotland,"Archery
Crate Climbing
Orienteering
Ropes Course
Aerial Runway
Team Building Challenges
Trail Biking with Skills Course
John Muir Award
Eco-activities
Conservation Activities
Shelter Building
Firelighting
Low Level Walks
Excursions to areas in Cairngorm National Park
Canoeing (approved only if provided by another City of Edinburgh Council Approved Provider)
Climbing (Indoor Climbing Wall) (approved only if provided by another City of Edinburgh Council Approved Provider)
Kayaking (approved only if provided by another City of Edinburgh Council Approved Provider)
Canoeing (approved only if provided by another City of Edinburgh Council Approved Provider)","57.162475,-3.864312",
Ape Paintball,"Addiston Lodge, Ratho, Newbridge",EH28 8NT,,apeinfo@aol.com,,,,Paintball,"55.912513,-3.355379",
Ardgour Centre,"Fort William, Inverness-shire",PH33 7AD,01967 411 222,ardgour@abernethy.org.uk,,,Abernethy Trust,"Canoeing
Kayak
Climbing
Abseiling
Mountain biking
Orienteering
Archery
Ropes course
Hill walking
Zip wire","56.68188248174635,-5.365169048309326",
Ardmay House Outdoor Centre,"Arrochar, Argyll & Bute",G83 7AH,01301 702 998,info@ardmay.com,,,Ardmay Ltd,"Kayaking
Open canoeing
Raft building
Rock climbing
Abseiling
Hillwalking
Mountaineering
Caving / weaselling
Orienteering
Problem solving
Forest walks","56.201376,-4.744947",
Ardroy Outdoor Education Centre,"Lochgoilhead, Argyll",PA24 8AE,01301 703 353/703 391,info@outdooreducation.co.uk,,,AOEC Trust Ltd,"Climbing
Abseiling
Kayaking
Canoeing
Hill Walking
Field Studies
Orienteering
Archery
Ropes Courses
Camping
Gorge Walking
Improvised Rafting
Environmental Education","56.15645,-4.912225",
Bangholm Sports and Outdoor Education Centre,23 Craighall Gardens,EH6 4RJ,0131 551 4368,bangholm@edinburgh.gov.uk,,,City of Edinburgh Council,"Rock Climbing (Single Pitch, Multi Pitch and Lead Climbing)
Scrambling
Hillwalking (Summer & Winter)
Snow Holing
Avalanche Awareness
Winter Skills
Mountaineering (Summer & Winter)
Snow & Ice Climbing
Gorge Walking
Kayaking (River, Lochs & Sea)
Open Canoeing (River & Lochs)
Orienteering
Mountain Biking
Off-road night riding skills 
On-road cycle training
Cycle Expeditions
Cycle Maintenance
Duke of Edinburgh Award Training & Assessment (Bronze, Silver & Gold)
Problem Solving
Navigation Training
Camping
Mountain Boarding
Bushcraft
Coasteering/Elie Cain Walk

National Governing Body Awards we can deliver.
Walking Group Leader 
Summer Mountain Leader 
Single Pitch Award 
Climbing Wall Award 
Trail Cycle Leader
Mountain Bike Leader
MBLA Night Riding Module
MBLA Expedition Module 
MBLA Winter Module
Scottish Cycling Cycle Ride Leader
SC Cycle Trainer
SC Cycle Trainer Assistant
SC Cycle Trainer Assistant (Orientation)","55.974533,-3.198563",
Bedlam Paintball,28 Great King Street,EH3 6QH,08453 707571,info@bedlam.co.uk,,,,Paintballing,"55.958147,-3.19848",
Belmont Centre (Scottish Outdoor Education Centres),"Meigle, Perthshire",PH12 8TG,01828 640 275,belmont@soec.org.uk,,,Scottish Outdoor Education Centres,"Abseiling
Hill Walking
Ropes Course
Open canoeing
Rock climbing 
Tree climb 
Crate climb 
Flying fox 
Archery 
Pole climb  
Mohawk walk 
Raft building 
Problem solving
Survival skills 
Ice breakers
Nightline Pathfinder 
Night Walk 
Bonfire 
Mystery history 
Sensation exploration 
Instincts 
Feathered friends 
Beastiemania 
Wildlife tracking 
Woodland experience
School activity weeks","56.577495,-3.168617"
Benmore Centre,By Dunoon,PA23 8QX,01369 706337,benmorecentre@benmorecentre.co.uk,,www.benmorecentre.co.uk,City of Edinburgh Council,"Curriculum for Excellence outcomes through Outdoor Learning
Wider achievement through teamwork and personal development
Raising environmental awareness by working close to and studying nature first hand
Sustainable development by having an ethos which tries to minimise our impact
Residential living to develop independence and social skills

Responding positively to challenge through activities such as:
Gorge Walking
caving
climbing
abseiling
walking
canoeing
kayaking
duckies
rafting
sailing in dinghies and keelboats
mountain biking
problem solving
ropes courses
orienteering
pond study
biology and geography fieldwork
camping
and much more","56.013941,-4.974843"
Beyond Adventure,"Eilean Riabhach, Alma Avenue, Aberfeldy",PH15 2BW,01887 829 202,email@beyondadventure.co.uk,,,,"Canoeing
Kayaking
Rock Climbing
Abseiling
Gorge Scrambling
Hill Walking
Off Road Cycling","56.616817,-3.874052"
Blencathra Centre,"Threlkeld, Keswick,Cumbria",CA12 4SG,017687 79601,enquiries.bl@field-studies-council.org,,,Field Studies Council,"Day and residential fieldwork
Hillwalking
Mountaineering
Gorge scrambling","54.620404,-3.080209"
Boots N Paddles,"14 Cabrich, Kirkhill,  Inverness",IV5 7PH,0845 612 5567,mike@bootsnpaddles.co.uk,,,,"Abseiling
Archery
Canoeing
Climbing
Gorge walking
Swimming
Hillwalking
Nature walks
Mountain biking
Raft building
Team challenges
Weaselling
Sea kayaking
Wow balls (Walk on Water)
Treezone
Aerial assault course 
High ropes 
Segway tours","57.453955,-4.430632"
"Brian Salvona, Cycle Training","32 Baberton Mains Loan, Edinburgh",EH14 3EP,0131 442 1082 07849 600 110,Briansalvona@hotmail.com,,,,"On-road cycling skills
Off-road cycle skills
Off-road journeying in non-licensable terrain
Tutor training
coach education training Mountain biking (Group Leadership) Trail Cycle Leader courses Winter Night Riding and Expedition MTB Modules","55.908119,-3.279714"
Broomlee Centre (Scottish Outdoor Education Centres),West Linton,EH46 7BU,01968 660 259,broomlee@soec.org.uk,,,Scottish Outdoor Education Centres,"Abseiling
Gorge scrambling
Hill walking
Mountaineering
Kayaking 
Rock climbing 
Open canoeing 
Ropes course 
Tree climb 
Crate climb 
Inclined log 
Flyng fox 
Archery 
Pole climb 
Expedition Gorge walk
Mohawk walk 
Bridge build
Raft building 
Problem solving 
Survival skills 
Ice Breakers 
Pathfinder 
Bonfire 
Mystery history 
Sensation exploration 
Instincts 
Feathered friends 
Beastiemania 
Story telling 
River detectives
 Wildlife tracking 
Woodland experience
School activity weeks","55.742286,-3.346284"
"Calvert Trust, Kielder","Hexham, Northumberland",NE48 1BS,01434 250 232,enquiries@calvert-kielder.com,,,Calvert Trust,"Archery
Orienteering
Zip wire
Outdoor climbing
Abseiling
Golf buggies
Sailing
Canoeing
Motor boating
Team building
Hydrotherapy pool
Sensory room
King swing
Indoor wall Low ropes High ropes Laser clays Velcro olympics Climbing","55.164689,-2.531789"
"Calvert Trust, Lake District","Keswick, Little Crosthwaite, Cumbria",CA12 4QD,01768 772 255,enquiries@lakedistrict.calvert-trust.org.uk,,,Calvert Trust,"Climbing
Abseiling
Walking
Orienteering
Sailing
Canoeing
Horse riding
Trap driving
Archery Kayaking Challenge activities
Water centre with hydrotherapy pool and sensory room","54.63818,-3.188395"
Can you Experience Co. Ltd,"Loch Lomond Shores, Gateway Centre, Ben Lomond Way, Balloch",G83 8QL,01389 756 251,info@canyouexperience.com,,,,"Mountain Biking
Canoeing
Hiking
Orienteering
Power kiting
Improvised raft building
Team building
Survival skills & Bushcraft","56.00767,-4.58968"
Climbzone Ltd,"Xscape Braehead, Kingsinch Road",PA4 8XQ,08719 11 10 11,reception@climbzone.co.uk,,,In Extremis,"Indoor Rock Climbing
Sky park
Fan drop
Robocoaster","55.878998,-4.371382"
Coast to Coast Adventure Sports,13 High Street,EH42 1EN (Head Office),"01368 869 734
07971 990 361",sam@c2csurfschool.com,,,,"Surfing
Body Boarding
Stand Up Paddling","56.000662,-2.513891"
Colomendy Centre (Kingswood Ltd),Loggerheads,CH7 5LB,01352 810 381,admin@kingswood.co.uk,,,Kingswood Learning & Leisure Group Ltd,"Climbing
Abseiling
High ropes
Zip line
Watersports
Archery
Caving
Orienteering
Team building
ICT
Environmental studies
Fencing
Aeroball","53.192936,-3.082079"
Compass Christian Centre,"Glenshee Lodge, by Blairgowrie",PH10 7QD,01250 885 209,office@compasschristian.co.uk,,,,"Archery
Climbing & abseiling
Crafts
Crate climbing
Climbing room
Gorge walk
Hill walk
Kayak
Moorland walk
Orienteering
Pond dipping
Problem solving
Raft building
Ropes course (low level)
Sense detectives
Skiing
Snowboarding
Tree climb
Environmental studies
Zip wire
Aerial runway activity 
Expressive arts 
Fitness trail 
Snow fun","56.798416,-3.430462"
Countryside Ranger Service (City of Edinburgh Council),"Hermitage House, Hermitage of Braid, 69a Braid Road, Edinburgh",EH10 6JF,0131 447 7145,countrysiderangers@edinburgh.gov.uk,,,City of Edinburgh Council,"School Environmental Education including Forest School programmes
Themed Guided Walks","55.969527,-3.161979"
Craggan Outdoor Activities Ltd t/a Craggan Outdoors,"Craggan Golf Course, Grantown-on-Spey, Moray PH26 3NT",PH26 3NT,01479 873 283,info@cragganoutdoors.co.uk,,,Craggan Outdoors,"Archery
Art & creativity
Clay pigeon
Climbing & abseiling
Golf
Gorge walking
High ropes
Zip wire
Kayaking
Mountain biking
Paintball
Pony trekking
Raft building
Canoeing
Team build
Yoga 
Mini Highland games 
White water rafting 
Bushcraft","57.332559,-3.599431"
Craigmillar Adventure Project (CAPRO),"Castlebrae Business Centre, Unit 23a, 40 Peffer Place",EH16 4BB,0131 652 1557,graeme@capro.org.uk,,,Craigmillar Adventure Project / The City of Edinburgh Council,"Rock climbing & abseiling (single pitch)
Gorge walking
Walking
Hill walking
Mountaineering
Orienteering
Camping
Kayaking
Open canoeing
Improvised rafting
Sailing
White water rafting
Biking (non-licensable)
Archery
Skiing (dry slope & piste)
Blo karting
Team building
Low ropes
High ropes 
Tunnelling  
Kiting  
Sea karting","55.935135,-3.138454"
D C Outdoor Activities,"Top Floor Left, 5 Willowbrae Road, Edinburgh",EH8 7DB,07974 748934,duncnuts@blueyonder.co.uk,,,,Mountain boarding and Outdoor survival (Bush Craft),"55.950596,-3.188513"
Dalguise Activity Centre,"PGL Adventure Dalguise, Dunkeld, Perthshire",PH8 0JX,01350 727 339,adventure.uk@pgl.co.uk,,,PGL Travel Ltd,"Abseiling
Archery
Cat walk
Challenge Course
Climbing
Eco trail
Fencing
First aid
Forest trail  
Giant swing 
Initiative exercises
Problem solving
Jacobs ladders
Mountain biking
Orienteering
Quad biking
Rifle shooting
Sensory trail
Sequoia scramble
Sports and team games
Survivor
Trapeze
Tree climb
Vertical challenge
Zip wire
Kayaking
Raft building","56.607876,-3.644223"
Deep Blue Scuba,26 West Gorgie Parks,EH14 1UT,07904 139259,info@deepbluescuba.co.uk,,,,Scuba Diving,"55.930746,-3.244121"
Delta Force,"Off Burnhouse Road, Dechmont",EH49 6PL,08444 775 050,,,,,Paintball,"Off Burnhouse Road, Dechmont, Livingston, EH49 6PL"
Dounans Centre (Scottish Outdoor Education Centres),"Aberfoyle,Stirling",FK8 3UT,01877 382 291,dounans@soec.org.uk,,,Scottish Outdoor Education Centres,"Abseiling
Archery
Crate climbing
Flying fox
Hill walking
Kayaking
Orienteering
Pole climbing
Raft building
Ropes course
Problem solving
Tree climbing 
Canoeing Cat walk
Rock Climbing (single pitch) Expedition 
Gorge walk 
Mohwak walk 
Bridge build
Survival skills
Ice breakers 
Nightline 
Pathfinder 
Nightwalk 
Bonfire
Mystery history  
Sensation exploration
Instincts 
Feathered friends
Beastiemania
Story telling 
River detectives 
Wildlife tracking
School activity weeks","56.180258,-4.373692"
Drum Riding for the Disabled Edinburgh,"Riding School, The Drum, 155 Drum Street",EH17 8RX,0131 664 5803,drumrda@hotmail.co.uk,,,Riding For The Disabled Association,Horse Riding Horse Care,"55.906804,-3.119633"
Dukeshouse Wood (Kingswood Learning & Leisure Group Ltd),"Kingswood Centre, Fellside",NE46 1TP,01434 602 503,admin@kingswood.co.uk,,,Kingswood Learning & Leisure Group Ltd,"Climbing
Abseiling
High Ropes
Zip Line
Quad Bikes
Archery
Fencing
Aeroball
Team Building
ICT Tuition
Environmental Studies
Orienteering","54.960298,-2.087845"
Dunolly Adventure Outdoors,"Taybridge Drive, Aberfeldy, Perthshire",PH15 2BP,01887 820 298,info@dunollyadventures.co.uk,,,,"White Water Rafting
Ducky
Kayak
Gorge Ascents
Low Level Hill Walks
Team Building
Archery
Off Road Biking (Low Level)
High Ropes Course
Climbing Wall - NOT APPROVED
Nature Activities","56.61968,-3.873306"
Earth Calling,"55 Fair A Far, Cramond",EH4 6BQ,0131 312 6712,info@earthcalling.org,,,,"Environmental Teaching
Environmental 
Workshops
Wildlife Clubs 
Creation wildlife gardens in schools","55.972794,-3.307475"
Edinburgh & Lasswade Riding Centre,"Kevock Road, Lasswade, Midlothian",EH18 1HX,0131 663 7676,lasswaderiding@btconnect.com,,,,"Hacking
Trekking
Riding Instruction - private & group
Mini Bus collection service 
Stable Management
Riding Courses
Birthday parties 
Common rides 
Gala days","55.880033,-3.126624"
Edinburgh Combat Challenge,"22 Ravenscroft Gardens, Edinburgh",EH17 8RP,07732 231 220,edinburghcombatchallenge@gmail.com,,,,Laser Gaming in an Outdoor Woodland Environment,"55.903363,-3.133042"
Edinburgh International Climbing Arena (formerly Ratho Adventure Centre),"South Platt Hill, Ratho, Newbridge",EH28 8AA,0131 333 6333,,,,Edinburgh Leisure,"Climbing
Abseiling
Bouldering
Climbing
Rock Climbing (Outdoors) for all ages
Hillwalking  
Aerial Assault  
Mountaineering  
Gorge Walking
Sky Ride","South Platt Hill, Ratho, Newbridge, EH28 8AA"
Edinburgh's Telford College,350 West Granton Road,EH5 1QE,0131 559 4437,,,,,"Archery
Trail Cycling/Mountain Biking
Canoeing
Hillwalking
Abseiling
Indoor Climbing
Low Ropes
Kayaking
Rock Climbing
Orienteering
Mountain Boarding
Problem Solving","55.976871,-3.245118"
Epic Ventures,"82/13 Harrison Gardens, Edinburgh",EH11 1SB,07929 459 613,info@epic-ventures.com,,www.epic-ventures.com,,"Rock Climbing
Canoeing
Kayaking
Mountain Biking
Orienteering
Coastal Traverse (Elie Chain Walk)
Duke of Edinburgh over night
Transport to/from schools","55.935354,-3.227022"
Fordell Firs National Activity Centre,"Hillend, Dunfermline, Fife",KY11 7HQ,01383 412 704,,,,The Scout Association,"Archery  
Team Building  
Climbing  
Abseiling   
Challenge Course  
Low Ropes  
Hiring Mountain Bikes  
Grass Sledges  
Simulated Caving  
Crate Climbing  
Pedal Go Carts  
Camping Skills
Gladiator Duel  
Space Hoppers  
Boxing Gloves
Sling Shots
Jacobs Ladder 
Sumo Suits
Caving
Bungee
Trampoline
Zip Wire
Team Building
Survival Skills 
Bell Boating
King Swing","56.054493,-3.379079"
Galloway Activity Centre,Loch Ken,DG7 3NQ,01644 420 626,gac@lochken.co.uk,,,,"Sailing  
Windsurfing  
Paddle Sport 
Mountain Bikes  
Climbing Wall  
Orienteering  
Fishing  
Archery  
Team Games 
Zip wire 
Leap of Faith
Abseiling Outdoor 
Laser Quest 
Raft building","Loch Ken,Castle Douglas, DG7 3NQ"
Glasgow Ski and Snowboard Centre,"16 Dumbreck Road, Bellahouston Park, Glasgow",G41 5BW,0141 427 4991,info@ski-glasgow.org,,,Snowsport Scotland,"Dry Ski Slope
Ski Lessons
Tubing Parties","55.846849,-4.310548"
Glencoe Outdoor Centre,"Carnoch House, Glencoe, Argyll, PH49 4HS",PH49 4HS,01855 811 350,gocchris1@aol.com,,,The Glencoe Trust Limited,"Archery
Environmental studies  
Orienteering 
Skiing","56.682603,-5.100984"
Go Ape,"David Marshall Lodge, Queen Elizabeth Forest Park, Aberfoyle",FK8 3SX,01877 382 637,questions@goape.co.uk,,,,High Wire Forest Adventure,"56.197155,-4.456329"
Harmeny Outdoors,"Harmeny School, Mansfield Road, Edinburgh",EH14 7JY,0131 449 3938,,,,Harmeny Education Trust,"Kayaking in sheltered inland waters  
Open Canoeing in sheltered inland waters  
Rock Climbing on single pitch crags  
Abseiling on single pitch crags  
Off / on Road Cycling
Bike Workshop Activities  
Hill Walking and Mountaineering  
Team Building and Problem Solving Activities  
Archery  
Bushcraft and Survival Skills","55.87721,-3.332921"
Highland Adventure Centre and Highland Adventure Activities,"Highland Adventure, Knockshannoch, Glenisla",PH11 8PE,01575 582 238,jbsmuir@highlandadventure.co.uk,,,,"Team Building  
Archery  
Canoeing  
Kayaking  
Raft Building  
Target Air Pistol (Adults only)  
Trail Cycling  
Hillwalking  
Survival  
Wall Climb  
Tree Climb  
Abseiling  
Team Games","Highland Adventure, Knockshannoch, Glenisla, By Blairgowrie, Perthshire, PH11 8PE"
Historic Scotland Ranger Service,"Holyrood Park Education Centre, 1 Queen's Drive, Holyrood Park, Edinburgh, EH3 5AH",EH8 8HG,0131 652 8150,hs.rangers@scotland.gsi.gov.uk,,,Historic Scotland,"Environmental Education Excursions
Guided walks and Educational, Curricular-linked Activities","55.953693,-3.167688"
Kindrogan Field Centre,Enochdhu,PH10 7PG,01250 870 150,enquiries.kd@field-studies-council.org,,,Kindrogan Field Centre (Field Studies Council),"Field Studies 
Low & High Ropes 
Hill Walking & Mountaineering","56.747083,-3.526454"
Knockhill Racing Circuit Ltd.,"Knockhill Racing Circuit, By Dunfermline, Fife",KY12 9TF,01383 723 337,,,,,"Karting Centre
Driving Experiences 
4 x 4 Centre
Skid Centre 
Passenger Thrill Rides 
Centre of Driving Excellence
Corporate packages","56.130154,-3.506075"
Lagganlia Outdoor Centre,"Kincraig, Kingussie, Inverness-shire",PH21 1NG,01540 651 265,info@lagganlia.com,,,City of Edinburgh Council,"Archery
Camping & Bothy Trips
Canoeing
Duke of Edinburgh Award
Field Studies
Gorge Walking
John Muir Award
Kayaking
Mountain Biking
Orienteering
Problem Solving
Rock Climbing & Abseiling
Sailing
Snow Sports:     Alpine Skiing                            
Snow Sports :    Nordic Skiing
Snow Sports:     Snow Boarding
Snow Sports:     Snow Fun (snow sculptures, igloo building etc)
Summer Hill Walking & Mountaineering
White Water Rafting
Winter Mountaineering Skills","57.109785,-3.967944"
Landmark Forest Adventure Park,"Main Street, Carrbridge  Inverness-shire",PH23 3AJ,01479 841 613,info@landmarkpark,,,Visitor Centres Ltd,"Climbing Wall 
Ropes Courses 
Water Coaster 
Parachute Jump 
Treetop trail 
Viewing Tower
Crosscut Sawing","57.297996,-3.770167"
Lecht Ski School Ltd,"Lecht Ski Centre, Corgarff, Strathdon, Aberdeenshire",AB36 8YP,01975 651 412,school@lecht.co.uk,,www.lecht.co.uk,,Ski/Snow Board Instruction,"57.20094,-3.247672"
Lendrick Muir,"Rumbling Bridge, Kinross",KY13 0QA,01577 842 000,lmoffice@suscotland.org.uk,,,Scripture Union Scotland,"Mountain Biking  
Golf  
Bouldering  
Disc Golf  
Archery  
Inflatables  
Ropes  
Beach Volleyball  
Orienteering  
Tree Climb  
Play park  
Crates  
Nature Trail  
High Ropes 
Low Ropes 
Trail Biking 
Climbing Team Challenges
Pitch and Putt","56.184536,-3.572802"
Loaningdale Centre (Scottish Outdoor Education Centres),"Carwood Road, Biggar, Lanarkshire",ML12 6LX,01899 221 115,loaningdale@soec.org.uk,,,Scottish Outdoor Education Centres,"Abseiling  
Gorge Scrambling  
Hill walking  
Mountaineering  
Kayaking   
Open Canoeing  
Rock Climbing  
Mountaineering Ropes course 
Treeclimb 
Canoeing 
Crate climb 
Flying fox 
Archery
Cat walk 
Expedition Gorge walk 
Mohawk walk 
Raft building 
Problem solving
Ice breakers
Nightline Pathfinder 
Bonfire","55.626906,-3.525119"
Loch Insh Watersports & Insh Hall,"Kincraig, Inverness-shire",PH21 1NU,01540 651 272,office@lochinsh.com,,,Cairngorm Canoeing & Sailing School Ltd,"Sailing  
Windsurfing  
Canoeing  
Kayaking  
Archery  
Biking  
Walking  
Fishing  
Problem Solving  
Orienteering  
Skiing  
Snow Boarding
Wildlife
Interpretive Tour Boat","57.108924,-3.96645"
Loch Morlich Watersports,"Glenmore Forest Park, Aviemore, Invernesshire",PH22 1QU,01479 861 221,office@lochmorlich.com,,www.lochmorlich.com,,"Sailing  
Windsurfing  
Canoeing  
Kayaking  
Low Level Walking  
Orienteering  
Mountain Biking
 Off Road Cycling 
Team Building Activities 
Beach Games","57.182464,-3.818963"
Loch Ranza Field Study Centre (PGL Travel Ltd),"Loch Ranza, Isle of Arran, N. Ayrshire",KA27 8HL,01770 830 637,adventure.uk@pgl.co.uk,,,PGL Travel Ltd,"Field Studies  
Mountain Walking  
Mountain Biking  
Gorge Walking  
Abseiling  
Rock Climbing","55.705764,-5.297384"
Lochgoilhead Activity Centre,"Lochgoilhead, Argyll, PA24 8AQ",PA24 8AQ,01301 703 217,info@lochgoilhead.org.uk,,,The Scout Association,"Sailing 
Canoeing 
Kayaking 
Bell Boating 
Power Boating 
Raft-building 
Hill Walking","56.170984,-4.901162"
Low Port Outdoor Centre,"1 Blackness Road, Linlithgow, West Lothian",EH49 7HZ,01506 775 390,lowport.centre@westlothian.gov.uk,,,West Lothian Council,"Sailing
Archery
Mountain Biking
Environmental Studies  
Windsurfing  
Kayaking (river & sea)  
Canoeing  
Rock climbing (indoor and outdoor)   
Hill wallking  
Off road biking  
Orienteering  
River rafting  
Skiing (residential or day)","55.977665,-3.597184"
Manor Adventure - Lockerbie,"Lockerbie Manor, Boreland Road, Lockberbie, Dumfries & Galloway",DG11 2RG,01576 205 745,simon@manoradventure.f9.co.uk,,www.manoradventure.com,Globe brow Ltd,"Kayaking
Open Canoeing
Improvised Rafting
Rock Climbing
Abseiling
Hill walking & Mountaineering","Lockerbie Manor, Boreland Road, Lockberbie, Dumfries & Galloway, DG11 2RG"
Meadowbank Sports Centre,"139 London Road, Edinburgh",EH7 6AE,0131 661 5351,info.msc@edinburghleisure.co.uk,,,Edinburgh Leisure,"Indoor & Outdoor Sports Facilities
Meeting Facilities","55.955697,-3.152388"
Midlothian Snowsports Centre,"Biggar Road, Hillend",EH10 7DU,0131 445 4433,ski@midlothian.gov.uk,,,Midlothian Council,"Skiing 
Snowboarding","55.895918,-3.202814"
My Adventure (Muirhouse Youth Development Group),"c/o Craigroyston Community HS, 67 Pennywell Road",EH4 4NL,0131 332 3356,jonny@mydg.org.uk,,"www.myadventure.org.uk
www.mydg.org.uk",,"Indoor Rock Climbing & Bouldering
Off Road Cycling/Trail Cycling 
Go Mountain Bike
Cycling Road Safety Skills
Summer Mountain Walking
Raft Building
Canoeing & Kayaking","55.973546,-3.254058"
North Lanarkshire Council (Strathclyde Country Park),"366 Hamilton Road, Motherwell",ML1 3ED,01698 402 100,strathclydepark@northlan.gov.uk,,www.northlanarkshire.co.uk,North Lanarkshire Council,"Water Ski-ing
Fun Boat Activities
Kayaking
Powerboating
Windsurfing
Mountain Bike Hire","55.785214,-4.023835"
Northern Kites,"5 Struthan Terrace, Crossapol, Isle of Tiree",PA77 6UR,01879 220 865 or 07821 974 100,steve@northernkites.co.uk,,,,"Land Based Powerkiting
Including Static Flying
Kite Landboarding
Kity Buggying","56.490234,-6.878353"
Ocean Youth Trust Scotland,"Victoria House, Room 20, 5 East Blackhall Street, Greenock",PA15 1HD,01475 722 722,,,,ASTO (Association of Sea Training Org),Youth work on week long residential courses on board a four foot adapted yacht,"55.944125,-4.747393"
Outlook Expeditions Ltd,"8 - 9 Chestnut Court, Parc Menai, Bangor, Wales",LL57 4FH,0845 900 2989,,,,Outlook Expeditions,"Provision of Overseas Expeditions to schools
Provision of Outdoor Pursuits  
Various outdoor qualification courses
Approved Activity Provider  
Training for accompanying teachers on overseas expeditions","53.208431,-4.185703"
Outward Bound Metro,"c/o First, 197 Victoria Road, Glasgow",G42 7AD,0141 423 1020,,,,The Outward Bound Trust,"Rock climbing & abseiling
Open canoeing 
Kayaking
Off Road cycling 
Hillwalking
Gorge scrambling 
Improvised rafting 
Orienteering 
Problem Solving
Exercises 
Team Dynmanics 
Camping expeditions","55.777636,-3.969037"
Outward Bound Trust (Loch Eil Centre),Fort William,PH33 7NN,(01397) 772866,enquiries@outwardbound.org.uk,,,The Outward Bound Trust,"Kayaking 
Open Canoeing 
Improvised Rafting Sailing 
Rock Climbing 
Ice Climbing 
Abeseiling 
Gorge Scrambling 
Hill Walking 
Mountaineering 
Off Road Cycling","56.823,-5.092976"
Overstrand Centre (Kingswood Learning & Leisure Group Ltd),"Overstrand Hall, 48 Cromer Road, Norfolk",NR27 0JJ,01236 579 373,admin@kingswood.co.uk,,,Kingswood Learning & Leisure Group Ltd,"Climbing 
Abseiling  
High Ropes  
Archery 
Caving  
Quad Bikes  
Fencing  
Aeroball  
Orienteering  
ICT  
Environmental Studies  
Team Building","52.917162,1.333262"
