Name,Address,Postcode,Telephone,Email,"Opening Hours","Bus Routes",Facilities,Cafe,"Internet Access","Key Activities","Disabled Access","Projects based here",Programme,"More information",Location,"Location description"
"Colinton Mains Community Centre","Firrhill Loan","EH13 9EJ","0131 458 5959",cld-colintonmains@ea.edin.sch.uk,,,"Small hall. Kitchen. Meeting room. Garden",,,"Activities available for all ages.",Yes,,,,"55.912363,-3.232138",
"Craigentinny Community Centre","Loaning Road","EH7 6JE","0131 661 8188",cld-craigentinny@ea.edin.sch.uk,"Mon-Fri, 8am-9pm. Sat, 9am-1pm","Lothian 2, 21, 25, 34, 49","2 Halls. Lounge. General purpose rooms. Kitchen",,Free,"Activities for all ages are available at the centre.",Yes,Clan,http://www.joininedinburgh.org/craigentinny,,"55.960038,-3.145658","Located across the road from the Craigentinny Primary School"
"Craigmillar Adventure Project (CAPRO)","Castlebrae Business Centre, Peffer Place","EH16 4BB","0131 652 1557",,"Mon-Thu, 9-5pm. Fri, 9-3:30pm",,,,,"Outdoor adventure activities for Young People.",Yes,,http://www.joininedinburgh.org/capro,,"55.935135,-3.138454","Situated in Craigmillar Business Park"
"Craigmount CLD Base","Craigs Road","EH12 8NH","0131 339 8278",cld-craigmount@ea.edin.sch.uk,,,,,,,,,http://www.joininedinburgh.org/craigmount,,"55.947439,-3.314224",
"Duncan Place Community Centre","4 Duncan Place","EH6 8HW","0131 554 1509/1844",cld-duncanplace@ea.edin.sch.uk,"Mon-Thu, 9am-9pm. Fri, 9am-5:30pm","Lothian 1,12, 21, 25, 34, 35. Any bus to the foot of Leith Walk - then 5 minute walk.","General purpose rooms. Woodwork room. Craft room. Creche. Common room. Computer suite. Drama study",,Free,"Activities for all ages are available at the centre. Youth Work Programme including youth samba drumming.","Yes - access to ground floor, Wheelchair Accessible Toilet, 3 Disabled Car Parking Spaces.","Stevenson College Community Based ESOL. Play-Base Project",http://www.joininedinburgh.org/duncanplace,,"55.969651,-3.168442","Located at the edge of Leith Link, next to Queen Margaret College"
"East CLD Base","c/o Castleview Primary School, 2d Greendykes Road","EH16 4DP","0131 661 6834",,,,,,,,,,,,"55.945774,-3.203349",
"Fet-Lor Youth Centre","122 Crewe Road South","EH4 2NY","0131 332 4506",fetlor@hotmail.com,,,,,,"Youth Work",,,http://www.joininedinburgh.org/fetlor,,"55.964954,-3.233525",
"Fort Community Centre","25 North Fort Street","EH6 4HF","0131 553 1074",cld-fort@ea.edin.sch.uk,"Mon-Thur, 8am-10pm. Fri, 8am-6pm","Lothian 7, 14, 21","2 general purpose rooms. Kitchen. Office",,,"Activities for all ages with an emphasis on Youth Work.",Yes,,http://www.joininedinburgh.org/fort,,"55.976698,-3.185974","Located in the ground of Fort Primary School"
"Gilmerton Community Centre","4 Drum Street","EH17 8QG","0131 664 2335",cld-gilmerton@ea.edin.sch.uk,"Mon-Thu, 8am-4pm. Tue, Wed, Thu, 6pm-9pm. Fri, 8am-3pm","Lothian 3, 7, 29, 33","4 general purposes rooms. 2 cr","Mon-Fri, 7:30am-2pm",Free,"Activities for all ages are available at the centre.","Yes (ground floor only)","Oasis. Greater Liberton Drug Project. National Association of Toy Libraries. Volunteer Centre South Edinburgh. Liberton Arts Worker",http://www.joininedinburgh.org/gilmerton,,"55.904715,-3.130945","Located on the corner of the Gilmerton Crossroads, across the road from Lidl"
"Goodtrees Centre","Moredunvale Place","EH17 7LB","0131 672 2629",cld-goodtrees@ea.edin.sch.uk,"Mon-Fri, 9am-5pm and 6pm-9pm. Sat, varies","Lothian 8, 18","3 meeting rooms. Art room. Youth room. Computer suite. Kitchen. Large activity hall",,Free,"Activities for all ages are available at the centre.",Yes,,http://www.joininedinburgh.org/goodtrees,,"55.915037,-3.139515",
"Gorgie War Memorial Hall","Gorgie Road","EH11 2DU","0131 346 1976",cld-gorgiememorial@ea.edin.sch.uk,"Mon-Fri, 9am-9pm. Sat, 9am-12pm","Lothian 1, 2, 3, 25, 33, (22 stops at other side of Sainsburys and you can walk through)","Main hall. Garden",,Yes,"Activities are available for all of the community.",Yes,,http://www.joininedinburgh.org/gorgiemem,,"55.936007,-3.241438",
"Inch Community Centre","Inch House, 225 Gilmerton Rd","EH16 5TT","0131 664 4710",cld-inch@ea.edin.sch.uk,"Mon-Thu, 9am-9:30pm. Fri, 9am-3pm, 6pm-9:30pm. Sat, 12:15pm-3:45pm. Sun, 9:15am-12pm, 1pm-3pm","Lothian 3, 35, 8, 27","General purpose rooms. 2 cr",,,"Activities for all ages available at the centre.",Yes,,http://www.joininedinburgh.org/inch,,"55.919881,-3.157392","Located within Inch Park"
"Jack Kane Community Centre","208 Niddrie Mains Road","EH16 4ND","0131 657 1595",cld-jackkane@ea.edin.sch.uk,"Mon-Fri, 9am-9pm. Sat, 9am-12pm",,,,Free,"Activities for all ages are available at the centre with a particular focus on young people.",Yes,Caf,http://www.joininedinburgh.org/jackkane,,"55.93403,-3.11867","Situated in next door to the Jack Kane Sports Centre in parkland"
"Juniper Green Community Centre","1A Juniper Park Road","EH14 5DX","0131 458 3751",junipergreen.villagehall@gmail.com,,,"Hall. Meeting room. Kitchen",,,"Activities for all the community.",Yes,,https://www.joininedinburgh.org/junipergreen,,"55.904814,-3.286344",
"Kirkliston Community Centre","Queensferry Road, Kirkliston","EH29 9AQ","0131 333 4214",cld-kirkliston@ea.edin.sch.uk,"Mon-Fri, 8am-6pm","Lothian 38","Small hall. General purpose room. Meeting/computer room. Coffee bar",,,"Activities available for all ages.",Yes,,https://www.joininedinburgh.org/kirkliston,,"55.960356,-3.403502",
"Leith Community Centre","12a Newkirkgate","EH6 6AD","0131 554 4750",cld-leith@ea.edin.sch.uk,"Mon-Fri, 9am-9:30pm. Sun, 12pm-2pm and 6pm-9pm","Lothian 1, 7, 10, 12, 14, 16, 21, 22, 25","2 halls. 4 general purpose rooms. Cr",Yes,,"Activities for all ages are available at the centre. Youth Work Programme including youth samba drumming.",Yes,,https://www.joininedinburgh.org/leith,,"55.971567,-3.171302","Located in the Kirkgate Shopping Centre"
"Magdalene Community Centre","Magdalene Drive","EH15 3BE","0131 669 8760",cld-magdalene@ea.edin.sch.uk,"Mon-Fri, 10am-9pm",,"2 general purpose rooms. Computer suite. Kitchen. Office",,Free,"Activities for all ages are available at the centre.",Yes,,http://www.joininedinburgh.org/magdalene,,"55.94217,-3.109903","Situated in the grounds of Magdalene Primary School"
"Nelson Hall Community Centre","5 Spittalfield Crescent","EH8 9QZ","0131 667 8838",cld-nelsonhall@ea.edin.sch.uk,"Mon-Fri 8am-9pm","Lothian 3/3a, 5, 7, 8, 14, 30, 31/33, 47/49","Main hall. 2 meeting rooms",,,"Activities for all ages are available at the centre.",Yes,,http://www.joininedinburgh.org/nelsonhall,,"55.941752,-3.178888",
"Northfield/Willowbrae Community Centre","Northfield Road","EH8 7PP","0131 661 5723",cld-northfieldwillowbrae@ea.edin.sch.uk,"Mon-Fri, 8am-8pm. Sat, 9am-12pm and 6:30pm-9:30pm","Lothian 4, 5","Large hall. General purpose room. Computer suite. Kitchen",,Free,"Activities for all ages are available at the centre.",Yes,,https://www.joininedinburgh.org/northfield,,"55.95226,-3.140523",
"Norwood Community Wing","Station Road, Ratho Station","EH28 8PT","0131 333 0041",cld-norwood@ea.edin.sch.uk,"9am - 18.00pm Mon - Thurs, 9am - 2pm Fridays, weekends by arrangement.","First 22, 38, City link 900, LRT x48","Lounge, Kitchen, 2 Halls, Meeting rooms",No,No,"Activities for all members of the community.",Yes,No,https://www.joininedinburgh.org/norwood,,"55.938807,-3.391718","Attached to Norwood Primary School."
"Pentland Community Centre","Oxgangs Brae","EH13 9LS","0131 445 2871",cld-pentland@ea.edin.sch.uk,"Mon-Fri, 9:30am-9:30pm. Sun, 6pm-8pm","Lothian 4, 5, 16, 18, 27","2 large halls. Computer suite",,Yes,"Activities available for all ages.","Yes (ground floor only)",,https://www.joininedinburgh.org/pentland,,"55.904872,-3.221765",
"Portobello Community Centre","3 Adelphi Grove, Portobello","EH15 1AP","0131 669 8275",,,"Lothian 15, 26, 42. First Bus 129","Sports hall. 2 meeting rooms. Youth lounge with garden",,"Free Wireless","Activities for all ages are available at the centre.",Yes,,https://www.joininedinburgh.org/portobello,,"55.95391,-3.117133","Located just of the high street, on the opposite side of the road from the police station"
"Rannoch Community Centre","Rannoch Terrace","EH4 7ER","0131 339 5351",cld-rannoch@ea.edin.sch.uk,"See programme","Lothian 1, 21, 26",,,,"Activities available for all ages.",Yes,,https://www.joininedinburgh.org/rannoch,,"55.954963,-3.286282",
"Ratho Community Centre","1 School Wynd, Ratho","EH28 8TT","0131 333 1055",cld-ratho@ea.edin.sch.uk,"Mon-Fri, 8am-9pm",,"Sports hall. Lounge. 2 meeting rooms. Kitchen",,,"Activities are available for all of the community.",Yes,,https://www.joininedinburgh.org/ratho,,"55.922282,-3.384237","Attached to the primary school"
"Riddle's Court Community Centre","322 Lawnmarket","EH1 2PQ","0131 556 2944",,,,,,,,,,,,"55.949087,-3.193571",
"Royston/Wardieburn Community Centre","Pilton Drive North","EH5 1NF","0131 552 5700",cld-roystonwardieburn@ea.edin.sch.uk,"Mon-Fri, 9am-9pm. Sat, 10am-12pm","Lothian 8, 14, 16, 19","Meeting rooms. Activity rooms. Computer suite. Hall","Mon-Thu, 9:30am-1:15pm. Fri, 9:30am-12:30pm",Free,"Activities for Under 12s & Adult Courses are available at the centre.",Yes,,https://www.joininedinburgh.org/roystonwardieburn,,"55.977413,-3.230894",
"South Bridge Resource Centre","6 Infirmary Street","EH1 1LT","0131 558 3545",cld-southbridge@ea.edin.sch.uk,"Mon-Thu, 8am-9:30pm. Fri, 8am-4:30pm. Sat, 9am-12:30pm","Lothian 3, 5, 7, 8, 31, 37, 47, 49","Meeting rooms. Art room. 2 computer suites",,Yes,"Activities available for all ages.","Yes (ground floor only)","The Number Shop",https://www.joininedinburgh.org/southbridge,,"55.948073,-3.185254",
"South Queensferry/Rosebery Hall CE Centre","Rosebery Hall, High Street","EH30 9LL","0131 331 2113",cld-southqueensferry@ea.edin.sch.uk,"Mon-Fri, 8am-9pm. Sat, varies",,,,,"Activities available for all ages.",,,https://www.joininedinburgh.org/southqueensferry,,"55.990171,-3.39689","South Queensferry & Rosebery Hall Community Learning & Development Centre is split between two sites, one being on the old Queensferry Primary School campus off Kirkliston Road, the other being Rosebery Hall in the High Street. The two sites are approximately half a mile apart."
"South West CLD Office","c/o WHEC, 5 Murrayburn Drive","EH14 2SU","0131 458 5959",,,,,,,,,,,,,
"Southside Community Centre","117 Nicolson Street","EH8 9ER","0131 667 0484",cld-southside@ea.edin.sch.uk,"Mon-Fri 8am-9pm. Sat, 11am-2pm","Lothian 3, 5, 7, 8, 31, 37, 47, 49","2 general purpose rooms. Large hall",Yes,,"Activities for all ages, fringe venue.","Yes (ground floor only)",,https://www.joininedinburgh.org/southside,,"55.944341,-3.184038",
"St Bride's Community Centre","10 Orwell Terrace","EH11 2DY","0131 346 1405",cld-stbrides@ea.edin.sch.uk,"Mon-Fri, 10am-3:30pm. See programme for evenings.","Lothian 2, 3, 3A, 4, 25, 33, 44, 44A. First Bus 27, 28, 44","Multi purpose auditorium cafe/bar with toddlers play area. Dance studio. Meeting room. Exhibition space",Yes,,"Adult classes and activities, children's classes and activities, theatre and dance performances, cinema programme, ceilidhs and concerts.","Yes (ground floor only)",,https://www.joininedinburgh.org/stbrides,http://www.stbrides.org,"55.942639,-3.220582",
"The Base","Gracemount Leisure Centre, 22 Gracemount Drive","EH16 6RN","0131 666 1056",cld-thebase@ea.edin.sch.uk,"See programme","Lothian 7, 11, 18","Rooms within leisure centre",9am-6pm,Yes,"Youth Clubs or ages 8 ",Yes,,https://www.joininedinburgh.org/thebase,,"55.903078,-3.154943","Located within Gracemount Leisure Centre"
"The Number Shop","c/o South Bridge Resource Centre, 6 Infirmary Street","EH1 1LT","0131 556 3108",cld-numbershop@ea.edin.sch.uk,"See programme","Lothian 3/3a, 5, 7, 8, 14, 30, 31/33, 47/49",,,,"Literacy and numeracy classes for adults.",Yes,,https://www.joininedinburgh.org/thenumbershop,,"55.947969,-3.185697","Situated within South Bridge Resource Centre"
"Tollcross Community Centre ALP","Tollcross PS, 117 Fountainbridge","EH3 9QG","0131 221 5800",cld-tollcross@ea.edin.sch.uk,"Mon, 8:30am-9pm. Sat, 10am-4pm. Sun, 9am-2pm","Lothian 1, 2, 10, 11, 15, 16, 35","Meeting rooms. Art room with dark room. Kitchen",,,"Literacy and numeracy classes, After School club, musical and community classes, activities and events.",Yes,"Adult Learning Project. Glory & Dismay. Welcoming",https://www.joininedinburgh.org/tollcross,,"55.943327,-3.206346","Situated within the grounds of Tollcross Primary"
"Tynecastle Community Wing","c/o Tynecastle High School, 17-19 McLeod Street","EH11 2NJ","0131 337 3275",cld-tynecastle@ea.edin.sch.uk,"Mon-Fri, 9.00am-5.00pm","Lothian 1, 2, 3, 3A, 25, 33. First Bus 27, 28, 44","Community Classroom, Youth Room, Childcare/Parenting Room, Caf","Teas/Coffees available",Yes,"Adult and Young People classes and activities",Yes,,http://www.joininedinburgh.org/tynecastle,,"55.945774,-3.203349",
"Valley Park Community Centre","37 Southhouse Road, Edinburgh","EH17 8EZ","0131 664 2210?",cld-valleypark@ea.edin.sch.uk,"Mon-Fri, 9am-9pm","Lothian 7, 11, 18, 37","Sports hall. Computer suite. Lounge. General purpose rooms",Yes,Yes,"Activities for all the community.",Yes,,https://www.joininedinburgh.org/valleypark,,"55.898322,-3.156964",
"West CLD Base","c/o Forrester High School, 212 Broomhouse Road","EH12 9AE","0131 334 9301",,,,,,,,,,,,,
"West Pilton Neighbourhood Centre","19 West Pilton Grove","EH4 4BY","0131 551 3194",cld-westpilton@ea.edin.sch.uk,"Mon-Thur, 8:30am-9pm. Fri, 8:30am-5:15pm. Sat, 9:30am-2:30pm","Lothian 24, 27, 37, 39. First Bus 129","Sports hall. Function hall. Meeting room. Changing room. Showers",,Free,"Activities for all ages are available at the centre.",Yes,,https://www.joininedinburgh.org/westpilton,,"55.970154,-3.244282",
"Westburn - Gate 55","55 Sighthill Road, Edinburgh","EH11 4PB","0131 458 5095",,"09.00am-09.00pm Fri 09.00-5.00pm Sat 9.00-01.30","Lothian 3, 25, 34, 35, 18",Library,No,"In Library","A full programme of activities suitable for all members of the community.",Yes,,http://www.joininedinburgh.org/gate55,,"55.920563,-3.289285","Situated within the Gate 55"
