"Service ","Recovery Hub",Description,"Support options","Opening times","How to make a referral",Address,Postcode,Email,Telephone,Mobile,Fax,Website,Location
"Assisting Drug Addicted Parents Team - Four Square",,"The Assisting Drug Addicted Parents Team - ADAPT, provides housing support for parents in Edinburgh who have addiction issues.  Children can be up to 11 years of age.  The Team helps families to achieve the best outcomes for the child and parents.  They work alongside a number of local organisations to offer a package of support.  This could be help with their drug and alcohol use, parenting advice, personal support, health advice or help with housing.","A range of support for familes affected by parental substance use including: housing support, signposting, leisure opportunities for families, help to access essential household or childcare items e.g. bedding, babies bottles.","Enquiries can be made during normal office hours.","By telephone, in writing or via the Foursquare website.","Four Square Hub, 67 Logie Green Road","EH7 4HF",followup@foursquare.org.uk,"0131 557 7915",,"0131 557 7901","<a href = ""http://www.foursquare.org.uk/adapt"">ADAPT website</a>","55.966281022798576,-3.1971073150634766"
"Bethany Christian Centre",,"The Centre is a supported residential community for up to seventeen people.  They aim to help people recover from alcohol and / or drug problems.  There is a Christian aspect to the programme, but people who are not religious, or not Christian, are also welcome.  Each person has their own recovery programme that meets their own needs.  It is recommended that people stay for six months.  Service users are normally asked to be off alcohol or drugs before starting.  People who complete the programme can visit every week for support.","Residential rehabilitation.  One to one and group support.  Therapeutic community.  Housing support.  Life skills programmes.  Aftercare.  Work and training opportunities.","Monday - Friday, 9 am - 5 pm.","By telephone or in writing.","6 Casselbank Street","EH6 5HA",centre@bethanychristiantrust.com,"0131 454 3125",,,,"55.97017188734058,-3.1734609603881836"
"Broomhouse Youth Befriending Project",,"This Project offers one to one support for young people aged 5 -16 years who are affected by a parent's alcohol or drug use.  Each young person meets with a volunteer befriender for two hours each week.  They can talk about issues which are important for the young person.  There is also the chance to try new activities.","One to one support from an adult volunteer for 2 hours a week.","Monday - Thursday 8.30 am - 9 pm,  Friday 8.30 am - 4 pm.","Contact agency for referral pack.","79 - 89 Broomhouse Crescent","EH12 7ER",youthbefriending@broomhousecentre.org.uk,"0131 455 7731",,,"<a href =""http://www.broomhousecentre.org.uk/youth-befriending.html"">Broomhouse Youth Befriending website</a>","55.936702471544095,-3.269977569580078"
"CAIR Scotland",,"CAIR Scotland Substance Misuse Service is part of the the Integrated Community Support Service - ICSS.  It provides support for all young people and families receiving a service from ICSS.   The level of risk the service user is assessed.   A detailed plan for change is identified.  This is to help them to reach their goals and reduce their risk of harm.  Education sessions are tailor made to meet the educational need of the young people and their families. There is a group work programme. It is designed to raise awareness of consequences and dangers associated with drugs and alcohol and other risk taking behaviours.","One to one support.  Counselling on substance misuse.  Group work support programme covering smoking, alcohol, drugs, relationships and sexual health. Education sessions for young people and families.","Monday - Friday 8.30 am -10 pm","Referral to ICSS via over 12s panel.","ICSS, Unit 37, 40 Peffer Place","EH16 4BB",ellen.lorimer@cairscotland.org.uk,"0131 652 0617",,,"<a href=""http://www.cairscotland.org.uk/index.php?option=com_directory&view=directoryview&area_id=5&Itemid=121"">CAIR Scotland website</a>","55.93489963610169,-3.14084529876709"
"CARDS - Rowan Alba",,"CARDS is a volunteer service which works with people in Leith who have a history alcohol problems.   They help people who are have little or no support for their mental, physical and emotional health.  They can work with people who are still drinking.  They also work with people who want to change.  A diagnosis of Alcohol Related Brain Damage is not needed to access this service.   People can contact the service to ask for help, or ask someone else to contact  the service for them.","Volunteers can meet in the person's own home or in the community.  Support can help also help build confidence to engage with services.","The service can be contacted during normal working hours.","By telephone or in writing.","19 Thorntree Street","EH6 8PU",tracey.stewart@rowanalba.org,"0131 555 5240",,,"<a href=""http://www.rowanalba.org/services.php#CARDSProject"">CARDS project website</a>","55.96793829071513,-3.170928955078125"
"CARS - Turning Point Scotland","North East.  North West.  South East. South West.","CARS - the Community Addiction Recovery Service works with people over 16 years of age with a drug or alcohol problem.  It helps people to create their own recovery plan.  It offers group work sessions and one to one support.","Structured day programme of group work sessions including recovery focused and activity based groups.  Activities include computing and creative arts.  CARS service users can also go to Discover Recovery and other groups.","Monday - Thursday 9 am - 5 pm.  Friday  9 am - 4.30 pm.","By telephone or in writing.  Self referrals welcome.","5 Links Place","EH6 7EZ",edinburghservices@turningpointscotland.com,"0131 554 7516",,"0131 553 1101","<a href=""http://www.turningpointscotland.com/what-we-do/substance-misuse/cars/"">CARS website</a>","55.973125800968596,-3.1643199920654297"
"Castle Project","South East.","The Castle Project provides one to one support to people living in south east Edinburgh who have problems due to alcohol or drug use. The service is not time limited.  They work in a number of locations and they can visit people at home if necessary.  They work with people for as long as they need help. They will help people at any stage of their own recovery journey.","One to one support.  Counselling.  Injecting equipment provision.  Information and advice.  Education and prevention.","Monday to Thursday 9 am - 4.30 pm and Friday 9 am - 4 pm.","By telephone or in writing or via drop in.","South East Recovery Hub, 2 Craigmillar Castle Road","EH16 4BX",admin@castleproject.org.uk,"0131 661 5294",,"0131 656 6230","<a href=""http://www.castleproject.org.uk/"">Castle Project website</a>","55.93218320560275,-3.141145706176758"
"Castle Project Young People's Service",,"The Castle Project has a young people's education worker in south east Edinburgh.  They provide training for professionals and education programmes for young people, aged 12 - 18 years of age.  The worker can meet young people in schools youth clubs and informal settings.  They can also support to young people affected by their parents drug or alcohol use.","One to one support is available for young people affected by their own or their parent or carer's drug use.","Monday to Thursday 9 am - 4.30 pm and Friday 9 am - 4 pm.","By telephone or in writing.","South East Recovery Hub, 2 Craigmillar Castle Road","EH16 4BX",admin@castleproject.org.uk,"0131 661 5294",,"0131 656 6230","<a href=""http://www.castleproject.org.uk/"">Castle Project website</a>","55.93218320560275,-3.141317367553711"
"Children 1st Befriending Service - North and West Edinburgh",,"Children First bfriends offers a service for children and young people affected by a parent's alcohol or drug use.  Adult volunteer befrienders support children and young people aged 5 -16 years on a one to one, weekly basis.  They provide support and friendship to children who are having difficulties at home, school or in the community.  Befriending lasts for six months to two years.  The service has two bases where volunteers and young people can meet. They can play games, cook, do arts and crafts, read or listen to music. They may also access activities in the community and take part in organised group activities.","Weekly one to one outings or base visits. Social and recreational group outings and activities for the young person and their volunteer.  Ongoing support from a full-time project development worker.  For young people living in north and west Edinburgh.","Project workers are available during normal working hours.","By phone or email.","The Prentice Centre, 1 Granton Mains Avenue","EH4 4GA",bfriends_westerhailes@children1st.org.uk,"0131 552 8265",,,"<a href=""http://www.children1st.org.uk/services/15/bfriends-edinburgh"">Bfriends website</a>","55.97579133429813,-3.2439708709716797"
"Children 1st Befriending Service - South Edinburgh",,"Children First bfriends offers a service for children and young people affected by a parent's alcohol or drug use.  Adult volunteer befrienders support children and young people aged 5 -16 years on a one to one, weekly basis.  They provide support and friendship to children who are having difficulties at home, school or in the community.  Befriending lasts for six months to two years.  The service has two bases where volunteers and young people can meet. They can play games, cook, do arts and crafts, read or listen to music. They may also access activities in the community and take part in organised group activities.","Weekly one to one outings or base visits. Social and recreational group outings and activities for the young person and their volunteer. Ongoing support from a full-time project development worker.  For young people living in south Edinburgh.","Project workers are available during normal working hours","By phone or email.","Baird House, 10 - 12 New Toft Street","EH17 8RD",bfriends_southedinburgh@children1st.org.uk,"0131 672 1857",,,"<a href=""http://www.children1st.org.uk/services/15/bfriends-edinburgh"">Bfriends website</a>","55.90464756867197,-3.136296272277832"
"Circle Harbour Project",,"Circle Harbour Project offers a voluntary support service for children and families affected by parents' alcohol or drug use.  They support parents to manage their children's routines and behaviour.  They help parents to access other services including drug agencies, counselling, employment and education, housing officers and social workers.  They can help with filling out forms and answering letters.  They also supports other family members who are involved in the children's lives.  The service directly supports children through giving a listening ear and helping them to get to school and out of school activities.  Workers are based in Pilton and Broomhouse, but the service covers the whole city.","Voluntary programme to support families. Training in parenting skills.","Enquiries can be made during normal office hours.","By telephone or in writing.","18 West Pilton Park","EH4 4EJ","admin@circlescotland.com ",,,"0131 551 3976","<a href = ""http://www.circlescotland.org/harbour.aspx"" Circle Harbour Project website</a>","55.972165203397324,-3.245086669921875"
"Cocaine Anonymous Scotland",,"Cocaine Anonymous is a fellowship of men and women.  They are all recovering addicts.  They share experience, strength and hope with each other, so that they may solve their common problem and help others to recover from their substance use.  They believe the best way to reach someone is to speak to them on a common level. There are a number of meetings across Edinburgh.","Peer support.","Monday to Friday 9 am to 5 pm.","For the nearest group check the website or contact CA directly.","PO Box 2816, Glasgow","G61 9AX",info@cascotland.org.uk,"0141 959 6363",,,"<a href=""http://www.cascotland.org.uk/"">Cocaine Anonymous website</a>",
"Community Help & Advice Initiative - Substance Misuse Service","South West.","Community Help & Advice Initiative - Substance Misuse Service - CHAI SMS,  works with people with alcohol or drug problems. They help people to develop positive lifestyles.  They work with people living in the South West and Pentland area of Edinburgh.   This includes Wester Hailes, Oxgangs, Broomhouse, Sighthill, Parkhead, Saughton Mains, Carrick Knowe, Firrhill, Balerno, Currie, Gorgie, Dalry and Tollcross.  They have staff based in Wester Hailes at Murrayburn Gate, in Oxgangs, Firrhill Neuk, and Gorgie, and at ELS House, the Calders Community Flat, and the Broomhouse Centre. They also offer home visits.","Individually tailored recovery plans.  One to one support. Ear acupuncture group.   Mindfulness group, Anxiety management. Needle exchange. Dry blood spot testing, Outreach.","Enquiries can be made during normal office hours.  Monday to Thursday 9 am - 5 pm.  Friday 9 am - 4 pm.  There is a voicemail during out of office times.  Needle Exchange opening times are Monday to Friday afternoons only.","By telephone, in writing or via our website.","1 Murrayburn Gate","EH14 2SS",CHAI@mail.wh1.org.uk,"0131 442 2465",,"0131 467 7473","<a href=""http://www.chaiedinburgh.org.uk/our-services/substance-misuse-service/"">Substance Misuse Service website</a>","55.91556796924046,-3.2828521728515625"
"Community Help & Advice Initiative - Substance Misuse Service - Oxgangs","South West.","Community Help & Advice Initiative - Substance Misuse Service - CHAI SMS,  works with people with alcohol or drug problems. They help people to develop positive lifestyles.  They work with people living in the South West and Pentland area of Edinburgh.   This includes Wester Hailes, Oxgangs, Broomhouse, Sighthill, Parkhead, Saughton Mains, Carrick Knowe, Firrhill, Balerno, Currie, Gorgie, Dalry and Tollcross.  They have staff based in Wester Hailes at Murrayburn Gate, in Oxgangs, Firrhill Neuk, and Gorgie, and at ELS House, the Calders Community Flat, and the Broomhouse Centre. They also offer home visits.","Individually tailored recovery plans.  One to one support. Ear acupuncture group.   Mindfulness group, Anxiety management. Needle exchange. Dry blood spot testing, Outreach.","Enquiries can be made during normal office hours.  Monday to Thursday 9 am - 5 pm.  Friday 9 am - 4 pm.  There is a voicemail during out of office times.  Needle Exchange opening times are Monday to Friday afternoons only.","By telephone, in writing or via our website.","8 Firrhill Neuk","EH13 9FF",CHAI@mail.wh1.org.uk,"0131 441 5985",,"0131 441 5985","<a href=""http://www.chaiedinburgh.org.uk/our-services/substance-misuse-service/"">Substance Misuse Service website</a>","55.91152729840553,-3.222169876098633"
"Crew 2000","South East.  South West.","Crew 2000 offers a range of services for drug users. They provides outreach, harm reduction and an education and prevention service to major music festivals.  Their shop on Cockburn Street provides information and advice on drug and alcohol use and sexual health.  The shop also has C - card and blood borne virus testing services.  Most services are for people aged 12 - 25 years.  The acupuncture and drug counselling services have no upper age limit.  They offer training for professionals on a range of topics.","One to one support. Person centred counselling. CBT tools. Mindfulness groups. Ear acupuncture. Reiki healing. Information and advice. Education, prevention and outreach.  Times of each service are available on the website. Recovery development groups.","As well as normal office hours, the advice shop is open Thursday evenings and Saturdays.","By telephone or in writing. Self referrals are accepted.","32 Cockburn Street","EH1 1PB",admin@crew2000.org.uk,"0131 220 3404",,,"<a href=""http://www.crew2000.org.uk/"">Crew 2000 website</a>","55.9505935087878,-3.189382553100586"
"Drug Referral Team, The City of Edinburgh Council","North East.  North West.  South East. South West.","The Drug Referral Team is a service for people 16 years and over who have drug problems and other complex needs. People must be willing and able to work in a planned way to address their drug problems.  This could mean looking at other parts of their life which may be getting in the way of their recovery.   They work with people for around 16 weeks.","Assessment. One to one support. Care management. Signposting.","Enquiries can be made during normal office hours.  Outside of these hours and on public holidays, the Emergency Social Work Service can be contacted on 0800 731 6969.","Telephone, email or referral from any professional source. Self-referrals are not accepted.","Health and Social Care Department, The City of Edinburgh Council, Bonnington Centre, 200 Bonnington Road","EH6 5NL",drug.referrals@edinburgh.gov.uk,"0131 469 6222",,"0131 553 2662",,
"Drug Treatment and Testing Order Team",,"The Drug Treatment and Testing Order Team implements DTTOs, which are orders Courts can impose on adults whose offending is assessed as drug related.  Offenders must be willing to cooperate with treatment and consent before an order is imposed.  Orders contain requirements for regular reviews by the Court to monitor progress.  The offender must also consent to regular and random drug testing throughout the order's duration.  Failure to comply with the treatment plan may result in a breach of the order, re - sentencing and possibly imprisonment.  There are two types of DTTOs.  Normal DTTOs may be used instead of prison for people charged with serious or high levels of offending.  DTTO II is for individuals who are starting to offend because of their drug use.","One to one support.  Substitute prescribing.  Group work.  Access to further education.  Relapse prevention.  Drug testing.  Staffed by City of Edinburgh Council and NHS Lothian.","Enquires can be made during normal office hours.","Referrals are made via the Court or local authority criminal justice teams.","29 - 31 Alva Street","EH2 4PS",,"0131 225 7788",,"0131 225 9039",,
"Edinburgh Access Practice - Cowgate",,"The Practice works with people who  have no permanent place to stay.  They must also need extra support as a result of alcohol or drug problems.  There is a Mental Health Team with staff who specialise in addictions.  People can also get support from occupational therapy and social work.  The Team also works with the Homeless Outreach Project.","Community detoxification.  Substitute prescribing.  Healthcare. Assessment and care management.  Housing.  Mental health support and treatment.  Occupational therapy service.  Outreach.","Edinburgh Access Practice is open  Monday to Friday from 9 am - 5 pm, except on Wednesday 10 am - 5 pm.  The practice closes for lunch from 12.45 pm - 1.45 pm.  Out of hours, call NHS 24 on 08454 24 24 24.","Both self and professional referrals are accepted.","The Cowgate Clinic, 20 Cowgate","EH1 1JX",accesspoint@edinburgh.gov.uk,"0131 240 2810",,,"<a href=""http://www.edinburgh.gov.uk/info/1022/housing_advice_for_homeless_people/1044/the_access_point_tap/2"">Edinburgh Access Practice website</a>","55.94809445098426,-3.1931591033935547"
"Edinburgh Access Practice - Leith Street",,"The Edinburgh Access Practice is a GP practice for people who find it hard to get to a doctor. People can use the practise if they do not have reliable housing.  They must also have other support needs as a result of they have drug or alcohol problems.  The Practice Mental Health Team includes Community Psychiatric Nurses who work with people who have drinking and drug problems. There are also Occupational Therapists and a Social Worker. They also work with the Homeless Outreach Project.","Community detoxification.  Substitute prescribing.  Healthcare. Assessment and care management.  Housing.  Mental health support and treatment.  Occupational therapy service.  Outreach.","Edinburgh Access Practice is open  Monday to Friday from 9 am - 5 pm, except on Wednesday 10 am - 5 pm.  The practice closes for lunch from 12.45 pm - 1.45 pm.  Out of hours, call NHS 24 on 08454 24 24 24.","Both self and professional referrals are accepted.","The Access Point, 23 Leith Street","EH1 3AP",accesspoint@edinburgh.gov.uk,"0131 240 2810",,,"<a href=""http://www.edinburgh.gov.uk/info/1022/housing_advice_for_homeless_people/1044/the_access_point_tap/2"">Edinburgh Access Practice website</a>","55.95547101272017,-3.186464309692383"
"Edinburgh and Lothian Council on Alcohol","North East.  North West.  South East. South West.","This service works with people aged 18 years and over who worried about their own drinking.  It also supports people who are worred about the drinking of a family member, partner or friend.  It provides advice, information and one to one counselling.  It is based in Clifton Terrace.  It has bases in Craigmillar, Gracemount, Wester Hailes, Sighthill, Leith, Pennywell / Crewe, Kirkliston, South Queensferry and Oxgangs, It offers offers services at the Willow Project and Edinburgh Women's Rape and Sexual Abuse Centre.","Counselling.  Information and advice.  Drop - in.  Women's alcohol recovery group.","Monday to Thursday 9 am - 9 pm. Friday 9 am - 4 pm.  Saturday 9 am - 2 pm. Answering machine outwith these hours.","By telephone, email or in writing.","6 Clifton Terrace","EH12 5DR",elca@btconnect.com,"0131 337 8188",,"0131 337 9825",,"55.94614795769281,-3.218693733215332"
"Edinburgh Young Carers Project",,"Edinburgh Young Carers Project works with young carers in Edinburgh.  They offer support to young people affected by their parent's drug or alcohol use. They help young people cope with the stress and complexities of their home life.  They offers one to one, group work, trips away and information and support.","One to one and group sessions.  Residential and day trips and information and support.  Young Carers Friday drop - in from 1 pm - 4 pm to provide informal and low key support to young carers aged 14 and over.","Monday - Friday 9 am - 5 pm.  Group sessions will take place in the evenings at varying times.","Full details of the referral process are on the website.","Norton Park, 57 Albion Road","EH7 5QY",info@youngcarers.org.uk,"0131 475 2322",,"0131 475 2324","<a href=""http://www.youngcarers.org.uk/"">Edinburgh Young Carers website</a>","55.961332815124415,-3.1670236587524414"
"Families Anonymous",,"Families Anonymous meetings are for families and friends of people those with a drug or related behaviour problem. The group aims to help the family and friends of people with a current, suspected or former drug problem.  They provide mutual support. They offer a forum to share experiences and worries.","Peer support.","Monday - Friday 1 pm to 4 pm and 6 pm to 10 pm.  Saturday - Sunday 2 pm to 10 pm.","For the nearest group check the website or contact Families Anonymous directly.","The Doddington & Rollo Community Association, Charlotte Despard Avenue, London","SW11 5HD",office@famanon.org.uk,"0845 1200 660",,,"<a href=""http://famanon.org.uk/"">Families Anonymous website</a>",
"Fast Forward - Positive Lifestyles",,"Fast Forward is a service for young people aged 11 - 25 years.  It is an education and prevention service.  It teaches young people about alcohol, drugs and tobacco. It gives information, advice and training to professionals and parents. 16 - 25 year olds can work for Fast Forward as volunteers.","Education and prevention.  Peer support.","Enquires can be made during normal office hours.","By telephone or in writing.","4 Bernard Street","EH6 6PP",admin@fastforward.org.uk,"0131 554 4300",,"0131 554 4330","<a href=""http://www.fastforward.org.uk/"">Fast Forward website</a>","55.97603146341716,-3.1676673889160156"
"Forthland Lodge Care Centre",,"Forthland Lodge Care Centre has a specially built twelve bedded unit.  It gives 24 - hour care for men and women with alcohol related brain damage.","Residential care.","The service can be contacted during normal office hours.","Contact your own social worker, or call Social Care Direct on 0131 200 2324.","8 Alemoor Park","EH7 6US",forthlands@meallmorelodge.co.uk,"0131 555 0601",,"0131 554 7208",,"55.965200157655346,-3.158140182495117"
"Genesis Project - Crossreach",,"The Genesis Project provides housing support for around fifteen men or women struggling with drugs and / or alcohol problems.   They may live in their own houses or in a B & B.","Housing support. Rehabilitation.","Enquiries can be made during normal office hours.","By telephone or in writing.","Cunningham House, 205 Cowgate","EH1 1JH",rankeillor@crossreach.org.uk,"0131 225 4901",,"0131 220 0064","<a href=""http://www.crossreach.org.uk/rankeillor-initiative"">Genesis Project website</a>","55.94852699176173,-3.1884384155273438"
"Granton Youth Centre",,"Granton Youth Centre works 7 days a week with young people in Forth and north Edinburgh communities.  Their programme includes streetwork sessions with young street drinkers.  They aim to raise awareness of drug and alcohol issues.  This is done through drop ins, streetwork, activities, volunteering and groupwork.","Information.  Support and advice.  One to one support and counselling.  Peer groupwork.  Research and consultation.  Diversionary activities.","Enquiries can be made during normal office hours.","By telephone or email, from young person family member or professional.","3 - 11 West Granton Road","EH5 1HG",info@grantonyouth.com,"0131 467 5854",,,"<a href=""http://www.grantonyouth.com"">Granton Youth Centre website</a>","55.98028150212826,-3.226504325866699"
"Harm Reduction Team - NHS Lothian",,"Low Threshold Medication Programme for injecting drug users via drop - in:  substitute prescribing, motivational interviewing, relapse prevention and clinical psychology.  Self - referral is encouraged for clients motivated to change.  Once stable, referral to other support and treatment options.  Needle Exchange drop - in.  Women's Clinic and Midwife Service:  family planning and sexual health service for clients involved in the sex industry and / or drug and alcohol problems.  Dental Service: drop - in and appointment drug users unable to access dental care.  Wound Care Clinic: for clients with drug-related skin care problems. NEON - Needle Exchange Outreach Network:  support to pharmacies and drug agencies offering needle exchange and outreach services.   Training on harm reduction for individuals and organisations as per HRT training manual.","Substitute prescribing and support. Motivational interviewing. Relapse prevention and clinical psychology. Needle exchange and signposting. Dental service. Wound care clinic. Women's Clinic and Midwife Service.  For pharmacies and other agencies: support to needle exchange providers, training on all aspects of harm reduction and blood borne viruses.","Main Reception: Monday - Friday 9.00 am  -4.00 pm.  The Exchange: Monday and Thursday 10.00 am - 4.30 pm, Tuesday, Wednesday and Friday 12.30 pm - 4.30 pm. Needle exchange drop - in  Monday to Friday 12.30 - 4.30pm.","All drop - ins are via The Exchange at the Spittal Street Centre.","Spittal Street Centre, 22 - 24 Spittal Street","EH3 9DU",,"0131 537 8300",,"0131 537 8303","<a href=""http://www.nhslothian.scot.nhs.uk/Services/A-Z/HarmReductionTeam/Pages/default.aspx"">Harm Reduction Team website</a>","55.94660455132265,-3.2024502754211426"
