Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Activities,Prices,Timetables,"More information",Location
"Dalry Swim Centre","Caledonian Crescent","EH11 2AL","0131 313 3964",mail@edinburghleisure.co.uk,"Monday - Friday: 7am-10pm
Saturday - Sunday:","Swimming pool
Gym
Multi-purpose room
Sauna","Aquafit
Fitness classes
Swimming lessons
Swimming times for adults only
Swimming times for adults and children
Swimming times for women only",http://www.edinburghleisure.co.uk/detail-288,http://www.edinburghleisure.co.uk/sites/default/files/DSCpoolproApril13_0.pdf,,"55.942665,-3.218126"
"Drumbrae Leisure Centre","30 Drumbrae Terrace","EH4 7SF","0131 312 7957",,"Monday - Friday: 7am - 10pm
Saturday: 9am - 7pm
Sunday: 9am - 9pm","Café
Creche
Dance studio
Football pitch
General purpose room 
Gym
Sports hall
25m swimming pool","Aquafit
Badminton
Coached activities
Equipment hire
Fitness classes
Football
Indoor 5-a-side football
Short tennis
Swimming lessons
Swimming times for adults and children
Swimming times for women only",http://www.edinburghleisure.co.uk/detail-289,http://www.edinburghleisure.co.uk/resources/docs/Swim%20Pool%20Progs/DrumbraePoolProgJan2012.jpg,http://www.edinburghleisure.co.uk,"55.955937,-3.292188"
"Drumbrae Park",,,"0131 529 7440",sportspitch@edinburghleisure.co.uk,,,Football,,,,
"Edinburgh International Climbing Arena, Ratho","South Platt Hill","EH28 8AA","0131 333 6333",info.eica@edinburghleisure.co.uk,"Centre:
Mon-Fri, 10am-10pm
Sat-Sun, 10am-7pm

Gym:
Mon-Fri, 6.30am-10pm
Sat-Sun, 9.30am-6pm","Aerial assault course (100ft above the climbing arena)
Café
Conference and event venue hire
Large gym (70 stations)
Indoor climbing arena - the world's largest - with bouldering room and climbing walls up to international competition standard
Mobile climbing tower can be booked for events at other venues
Spa (jacuzzi, steam room and sauna)
Scrambles softplay
Tiso store","Abseiling (25m drop)
Aerial assault 
Bouldering
Climbing
Climbing courses - wide range, for individuals and groups, including nationally recognised qualifications
Equipment hire and sale
Fitness classes
Massage therapist","http://www.eica-ratho.com/content/membership-prices/1169/
http://www.eica-ratho.com/content/activity-prices/2430/",http://www.eica-ratho.com/content/timetable/1165/,www.eica-ratho.com/content/opening-hours-/2429/,"55.9225,-3.40061"
"Fernieside Recreation Ground","Fernieside Road","EH17 7HY","0131 669 0404",sportspitch@edinburghleisure.co.uk,,,Football,,,,"55.911702,-3.130413"
"Glenogle Swim Centre","Glenogle Road","EH3 5JB","0131 343 6376",,"Mon-Fri, 7am-10pm
Sat-Sun, 8am-6pm","Activity room
Fitness studio
Gym (19 pieces of equipment)
Sauna
Steamroom
Swimming pool","Aquafit
Coached activities
Dance classes
Fitness classes
Gym classes
Older adult activities
School holiday activities
Swimming lessons
Swimming times for adults only
Swimming times for women only",http://www.edinburghleisure.co.uk/resources/images/Glenogle%202010/Glenoglepricelist2010.bmp,http://www.edinburghleisure.co.uk/resources/images/Glenogle%202010/Glenogle_info_June_2010.pdf,,"55.961714,-3.204484"
"Gracemount Leisure Centre","Gracemount Drive","EH16 6RN","0131 658 1940",,"Mon-Fri, 6.30am-10pm
Sat, 9am-7pm
Sun, 9am-7pm (Pool closes at 5pm)","Café
Fitness studio
Gym",,,,,"55.903837,-3.156816"
"Gyle Park","Glasgow Road","EH12 8LJ","0131 669 0404 (option 2)",sportspitch@edinburghleisure.co.uk,,"Small Outdoor Gym","Cricket
Football
Rugby",,,,"55.939795941949825,-3.300926683587022"
"Hailes Quarry Park","Dumbryden Drive","EH14 2TF","0131 527 3800",,,"Mountain bike trail
Cycle paths
Playing fields","Cycling
Football
Mountain biking",,,,"55.920115,-3.271983"
"Hunters Hall Park","Niddrie Mains Road","EH16 4ND","0131 529 3111",sportspitch@edinburghleisure.co.uk,,"Parking
Playing fields","Football
Hockey
Rugby",,,,"55.93233,-3.128693"
"Inch Park","Old Dalkeith Road","EH16 4TD","0131 529 5151",sportspitch@edinburghleisure.co.uk,,,"Cricket
Football
Rugby",,,,"55.918698,-3.135625"
"Inverleith Park","Arboretum Road","EH3 5NZ","0131 529 5050",sportspitch@edinburghleisure.co.uk,,"Ball court
Tennis court","Basketball
Cricket
Football
Rugby
Tennis",,,,"55.96391989417718,-3.2165894511854276"
"Jack Kane Sports Centre","208 Niddrie Mains Drive","EH16 4NE","0131 669 0404",,"Mon-Fri, 3pm-10pm
Sat-Sun, 9.30am-5pm","All weather floodlit astroturf pitch for hockey
American football pitch
Floodlit training facility for football and rugby
8 grass football pitches (11-a-side pitches in large park)
General purpose room
Gym
Multi-purpose sports hall
Rugby pitch (grass)","American football
Badminton
coached activities
equipment hire
fitness classes
football
gymnastics
hockey
indoor 5-a-side football
rugby
table tennis",http://www.edinburghleisure.co.uk/detail-437,,,"55.935316,-3.122306"
"Kirkliston Leisure Centre","Kirlands Park Street","EH29 4700","0131 333 4700",,"Mondays, Wednesdays and Fridays 17.00pm-22.00pm, Tuesdays 16.30pm-22.00pm, Saturdays 10.00-13.30, Sunday - closed.","2G and 3G pitches
Activity room
Cafe
Floodlit training facility
Grass football pitch
Gym
Multi-purpose room
Scampers softplay
Sports hall
Swimming pool
Tennis court","Aquafit
Badminton
Coached activities
Fitness classes
Gymnastics
Indoor 5-a-side football
Outdoor basketball
Outdoor 5-a-side and 7-a-side football
Swimming lessons
Tennis",http://www.edinburghleisure.co.uk/list-84,,,"55.95809,-3.413898"
"Leith Links Bowling","John's Place","EH6 7QR","0131 669 0878",,"Mid-April to September:
Mon-Fri, 12noon-9pm
Sat, 11am-5pm
Sun, 11am-5pm",,,,,,"55.972304,-3.168408"
"Leith Victoria Swim Centre","Junction Place","EH6 5JA","0131 555 4728",,"Centre:
Mon-Fri, 6am-10pm
Sat, 9am-8pm
Sun, 9am-8.30pm

Pool:
Mon, Wed, Thu, 6am-9.30pm
Tue, 6am-7.40pm
Fri, 6am-1.40pm
Sat, 9am-2.40pm
Sun, 9am-4:40pm","2 fitness studios
Gym
Hot baths
Limited free parking
RPM studio
Sauna
Swimming pool","Fitness classes
Swimming",http://www.edinburghleisure.co.uk/detail-439,http://www.edinburghleisure.co.uk/detail-438http://www.edinburghleisure.co.uk/resources/LVSC-swimprog-09.jpg,,"55.971598,-3.174684"
"Meadowbank Sports Centre","London Road","EH7 6AE","0131 661 5351",,"Mon-Sun, 7.30am-10pm","Athletics (400m 8-lane track, indoor track and jumping and throwing areas)
Café
Conference and meeting facilities
2 fitness studios
Fitness classes
150 free car parking spaces
Frost Beauty
Gym (70 pieces of equipment, Power Plate, free weights)
3 7-a-side all weather pitches/full-size Hockey pitch
Rainbow Room softplay
3 squash courts
3 sports halls
Velodrome (250m outdoor track)
","Athletics
Badminton
Basketball
Coached activities
Cycling
Equipment hire
Fencing classes
Fitness classes
Gym classes
Gymnastics
Hockey
Indoor 5-a-side football
Judo
Outdoor 7-a-side football
School holiday activities
Squash
Table tennis
Volleyball",http://www.edinburghleisure.co.uk/detail-441,http://www.edinburghleisure.co.uk/list-87,"PROJECT TEAM SET TO DRAW UP OPTIONS FOR MEADOWBANK
The City of Edinburgh Council has appointed a multi-disciplinary project team to start work on drawing up a range of options for Meadowbank Sports Centre and Stadium that will be put out to public consultation later this year.
Deloitte will be working with Edinburgh-based architects Reiach & Hall and The Sports Consultancy to draft up a variety of different options for the facility.
As part of this process the Council will be working closely with sportscotland, Edinburgh Leisure and Scottish governing bodies of sport to get their feedback on the proposals.
These will then be subject to an extensive public consultation that will aim to hear all views on the future of Meadowbank which will inform a future report to Council.","55.95611969847032,-3.156251907348633"
"Montgomery Street Park","Montgomery Street","EH7 5NH","0131 529 5050",,,,"Basketball
Football",,,,"55.959184,-3.177111"
"Morgan Playing Fields","Kings Meadows","EH16 5UT","0131 669 0404",sportspitch@edinburghleisure.co.uk,,,Football,,,,"55.93086098025374,-3.1554794311523438"
"Newcraighall Park",,"EH21 8SG","0131 529 3111",,,,Football,,,,"55.93429,-3.089724"
"Paties Road Recreation Ground","Katesmill Road","EH14 1JF","0131 527 3800",sportspitch@edinburghleisure.co.uk,,,Football,,,,"55.914307,-3.253892"
"Pentland Regional Park",,,"0131 445 3383",pentlandhills@edinburgh.gov.uk,,,Hillwalking,,,,
"Pentland View Park","Pentland View, Currie","EH14 5NP","0131 527 3800",,,"Playing fields",Football,,,,"55.896041,-3.313236"
"Port Edgar Marina and Sailing School","Shore Road, South Queensferry","EH30 9SQ","0131 331 3330",,"Winter:
Mon-Sun, 9am-4.30pm

Summer:
Mon-Sun, 9am-7.30pm","300 serviced berths in the marina
Sailing school","Range of courses in water sports for adults and juniors, for groups and individuals, including:
Dinghy cruising
Canoeing
Powerboat
Racing
River kayaking
Sailing
Sea kayaking
Shore-based certificated courses (e.g. engine maintenance, radio and radar operation etc)","For 2010 prices for the Port Edgar Sailing School, please phone 0131 331 3330.
www.edinburghleisure.co.uk/list-667",,"http://www.edinburghleisure.co.uk/list-105
Staff can be contacted on VHF channel 80, call sign 'Port Edgar Control', during office hours.","55.991301,-3.401687"
"Portobello Golf Course","Pavilion, Stanley Street","EH15 1JJ","0131 669 4361",,,"With Arthur's Seat as an attractive backdrop this nine hole parkland course is a beautifully prepared and forgiving course. It plays to its 2566 yards par 32, and the small tight greens make for accurate approach shots. The signature hole is the long par 3 9th. This 198 yard hole requires a straight long iron, avoiding the bunkers at 150 yards, and plays up to a sloping green making it a great hole to finish on.",Golf,"Weekday - Member £6 Non Member £8
Weekend - Member £7.50 Non Member £10",,,"55.94767872697685,-3.1134209636365995"
"Portobello Indoor Bowls and Leisure Centre","20 Westbank Street","EH15 1DR","0131 669 0878",,"Winter:
Mon, 10am-10pm
Tues, 9am-10pm
Wed, 10am-10pm
Thurs, 9am-10pm
Fri, 10am-10pm
Sat-Sun, 9am-9pm

Summer:
Mon, Wed, Fri, 10am-2pm
Tue, Thu, Sat, Sun, 10am-4pm","Bar
Bowling rink (6 match play)
Café
Free car parking
Multi-purpose room
Softplay","Aerobic toning
Bowling
Coached activities
Equipment hire
Gym classes
Softplay",http://www.edinburghleisure.co.uk/detail-290,,,"55.957072,-3.118297"
"Portobello Park","Milton Road East","EH15 1JJ","0131 529 3111",sportspitch@edinburghleisure.co.uk,,,Football,,,,"55.945501,-3.090967"
"Portobello Swim Centre","57 The Promenade","EH15 2BS","0131 669 6888",,"Mon-Fri, 6am-10pm
Sat, 9am-4.45pm
Sun, 9am-8.45pm

Turkish Baths:
Mon, 3pm-9pm (mixed)
Tue, 8am-9pm (men only)
Wed, 8am-9pm (women only - closed 1pm-3pm for staff training)
Thu-Fri, 8am-9pm (mixed)
Sat-Sun, 9am-3.40pm (mixed)","Aerotone
Café
Creche
Fitness studio
Gym
Hot baths
Meeting rooms
Multi-purpose room
Small swimming pool (available for hire for parties)
Swimming pool (25m with moveable floor)
Turkish Baths (3 hot rooms, steam room, relaxation area and cold plunge pool)","Coached activities
Fitness classes
Gym classes
Swimming lessons
Turkish Baths",http://www.edinburghleisure.co.uk/detail-442,http://www.edinburghleisure.co.uk/list-108,,"55.952992,-3.106392"
"Powderhall Bowling","Broughton Road",,"0131 669 0878",,"Mid-April to September:
Mon-Fri, 12noon-9pm
Sat, 11am-5pm
Sun, 11am-5pm",,,,,,"55.965321,-3.190072"
"Princes Golf Course","Braid Hills Drive","EH10 6JY","0131 447 3568",,,"The Princes is a beautiful 9 hole course located at the Braid Hills, just 10 minutes drive from the City Centre.  The course has been designed to be both a fun, quick test for an experienced golfer and an inviting introduction for the beginner.  With commanding views all over the city, you will want to take a minute to enjoy the scenery.  Families will enjoy an outing, with our junior tees offering an option for the younsters.

The Princes course is open from March-November and during the winter months you can tackle our Braids Winter Course, which is a combination of holes from the Braid Hills and Princes courses",Golf,"Weekday - Member £6 Non Member £8
Weekend - Member £7.50 Non Member £10",,,"55.916628,-3.188989"
"Queensferry High Recreation Centre","30 Ashburnham Road","EH30 9JN","0131 319 3222",,"Mon-Fri, 9am-10pm
Sat, 10am-5pm
Sun, 9am-5pm","Grass football pitch
Gym
Multi-purpose room
Sports hall
Swimming pool","Badminton
Basketball
Equipment hire
Indoor 5-a-side football
Outdoor football
School holiday activities
Swimming lessons
Swimming times for adults only
Swimming times for women only",http://www.edinburghleisure.co.uk/venues/queensferry-high-recreation-centre/prices,http://www.edinburghleisure.co.uk/venues/queensferry-high-recreation-centre/opening-hours,,"55.985754,-3.387168"
"Ravelston Park and Woods","Craigcrook Road","EH4 3PG","0131 447 7145",,,"Ball court","Basketball
Football",,,,"55.956087,-3.26032"
"Roseburn Park","Riversdale Crescent","EH12 5PH","0131 529 7440",sportspitch@edinburghleisure.co.uk,,,"Cricket
Football",,,,"55.943537,-3.245982"
"Royal Commonwealth Pool","Dalkeith Road","EH16 5BB","0131 667 7211",info.rcp@edinburghleisure.co.uk,"Venue:
Monday - Friday: 5.30am - 10.00pm (Closed Wednesday: 9 - 10am for staff training)
Saturday: 5.30am - 8.00pm
Sunday: 7.30am - 8pm

Main Pool and Dive Pool:
Monday - Friday: 5.30am - 9.30pm
Saturday: 5.30am - 5pm
Sunday: 7.30am - 5pm

Gym:
Monday - Friday: 5.30am - 10.00pm
Saturday: 5.30am - 8pm
Sunday: 7.30am - 8pm

Soft Play:
Monday - Sunday: 9am - 6pm","Swimming pools, diving pool, gym, soft play, Cafe","Swimming, Diving, Gym, Fitness Classes",http://www.thecommiepool.co.uk/,http://www.thecommiepool.co.uk/,http://www.thecommiepool.co.uk/,"55.935613,-3.169769"
"Saughton Park","Balgreen Road","EH11 3BQ","0131 529 7921",sportspitch@edinburghleisure.co.uk,,,"BMX
Football
Inline skating
Skateboarding",,,,"55.937721,-3.247924"
"Saughton Skatepark","Balgreen Road","EH11 3BQ","0131 529 7921",parks@edinburgh.gov.uk,"Winter:
Dawn-10pm

Summer: 
Dawn-dusk",,"BMX 
Inline skating
Skateboarding",Free,,,"55.937721,-3.247924"
"Saughton Sports Complex","Stevenson Drive","EH11 3HB","0131 444 0422",,"Mon-Fri, 8.30am-10.30pm
Sat-Sun, 8.30am-6.30pm","All weather 3G* pitch suitable for football matches (up to 11-a-side), football training, and rugby training
Athletics track
Changing facilities
Free car parking
Grass football pitches suitable for 11-a-side","Athletics
Football (7-a-side and 11-a-side)
Rugby",http://www.edinburghleisure.co.uk/detail-444,,,"55.93383,-3.256828"
"Seafield Recreation Ground","Craigentinny Avenue","EH7 6RD","0131 669 0404",sportspitch@edinburghleisure.co.uk,,,Football,,,,"55.960932,-3.136333"
"Sighthill Park","Broomhouse Road","EH11 3UP","0131 527 3800",sportspitch@edinburghleisure.co.uk,,,"Football
Skateboard park",,,,"55.927412,-3.283188"
"Silverknowes Golf Course","Silverknowes Parkway","EH4 5LB","0131 336 3843",,,"Silverknowes is based on the south shores of the River Forth with commanding views over to the Kingdom of Fife and Cramond Island.  A Par 71 stretching out to 6300 yards, with lush, generous fairways it invites golfers to have fun hitting their driver.  A day at Silverknowes will have you marvelling at the views, and enjoying the challenge of this beautiful park land, tree lined course.  The course is suitable for golfers of all abilities and ages, with golf buggies available for hire.",Golf,"Weekday - Member £13.50 Non Member £18
Weekend - Member £15.75 Non Member £21",,,"55.972338,-3.268571"
"St Margaret's Park","Corstorphine High Street","EH12 7SX","0131 669 0878",,"Mid-April to September:
Mon-Fri, 12noon-9pm
Sat, 11am-5pm
Sun, 11am-5pm","Bowling green
Tennis court","Bowling
Tennis",,,,"55.940549,-3.284855"
"The Meadows and Bruntsfield Links","Melville Drive","EH9 9EX","0131 458 2100(Edinburgh Leisure) 0131 443 0101(Tennis) 0845 250 4394(Meadows Croquet Club)",sportspitch@edinburghleisure.co.uktennis@edinburghleisure.co.ukenquiries@meadowscroquet.org.uk,"Staff and charges apply April-September:
Mon-Fri, 9am-9pm
Sat-Sun, 10am-6pm","Bowling (for clubs and organisations, via the Meadows Croquet Club)
Café
Cricket
Croquet (3 full-sized lawns and a pavilion; also used for bowling)
Cycle paths
Pitch and putt
Tennis
Toilets","Bowling
Cricket
Croquet
Cycling
Pitch and putt
Tennis",,,"The tennis complex is in the East Meadows. The Meadows Croquet Club is at the west end of the Meadows, between Leven Terrace and Melville Drive.","55.939945,-3.191865"
"Union Park","Saughton Road North","EH12 7EF","0131 529 7440",sportspitch@edinburghleisure.co.uk,,,Rugby,,,,"55.936614,-3.278738"
"Victoria Park","Newhaven Road","EH6 5PY","0131 529 5050
0131 669 0878 (bowling)",,"Mid-April to September:
Mon-Fri, 12noon-9pm
Sat, 11am-5pm
Sun, 11am-5pm","Ball court
Bowling green
Cycle route","Basketball
Bowling
Cycling
Football",,,,"55.974292,-3.18978"
"Warrender Swim Centre","Thirlestane Road","EH9 1AP","0131 447 0052",,"Mon-Fri, 7am-10pm
Sat, 9am-6pm
Sun, 9am-8pm","Gym (36 pieces of equipment)
Sauna
Swimming pool (5 lanes)","Aquafit
Swimming lessons
Swimming times for adults and children
Swimming times for adults only",http://www.edinburghleisure.co.uk/detail-445,http://www.edinburghleisure.co.uk/list-115,,"55.935599,-3.198279"
"West Pilton Park","West Pilton Avenue","EH4 4BU","0131 529 5050",,,"Playing fields",Football,,,,"55.969426,-3.245773"
