Name,"Days and times","Services provided","How to arrange a place","How to access directly",Venue,Postcode,"Phone number",Email,"Area served","Service website","More information from Care Inspectorate",Location,"Second location"
"Calton Welfare Service","Tuesdays 10.30am - 2pm. Thursdays 9.30am - 2pm.","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"London Road Church, 1a Easter Road","EH7 5PH","0131 661 0678",,"North East",,,"55.9580897144821,-3.1719160079956055",
Canalside,"7.30am - 6.30pm every day","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"26 Hailesland Place","EH14 2SL","0131 458 9860",info@bield.co.uk,"South West","<a href=""http://www.bield.co.uk/Care+Services/Canalside"">Canalside</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008178642"">Quality grades and inspection reports</a>","55.91689071641188,-3.2802343368530273",
"Capability Scotland - E2","Monday to Friday, 9am till 3pm","Day service for people with a learning disability or physical disability - baking, arts and crafts, communication support & hydrotherapy sessions","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","11 Ellersly Road","EH12 6HY","0131 347 1078",E2@capability-scotland.org.uk,Edinburgh,"<a href=""http://www.capability-scotland.org.uk/what-can-capability-do-for-me/services-we-can-provideor-develop/day-care-services/e2-day-service/"">Capability Scotland E2</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003011113"">Quality grades and inspection reports</a>","55.946700675611346,-3.247532844543457",
"Capability Scotland - New Trinity Centre","Monday to Friday,  9am till 3.15pm","Day service for people with a learning disability or physical disability - work skills, communisty based projects baking & arts and crafts","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","New Trinity Centre, 7a Loaning Road","EH7 6JE","0131 661 1212",advice@capability-scotland.org.uk,Edinburgh,"<a href=""http://www.capability-scotland.org.uk/what-can-capability-do-for-me/services-we-can-provideor-develop/day-care-services/new-trinity-day-service/"">Capability Scotland - New Trinity Centre</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003011114"">Quality grades and inspection reports</a>","55.9601557211219,-3.1485700607299805",
"Caring in Craigmillar","Tuesday - Saturday, 11am - 3.30pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"SPACE, Units 10 - 15, 11 Harewood Road","EH16 4NT","0131 659 2920",info@caringincraigmillar-daysupport.co.uk,"South East",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2007155288"">Quality grades and inspection reports</a>","55.934947712802305,-3.1324338912963867",
"Columcille Centre","Daily service","Day service for people with a learning disability","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"2 Newbattle Terrace","EH10 4RT","0131 447 7404",admin@columcillecentre.co.uk,Edinburgh,"<a href=""http://www.columcille-centre.co.uk"">Columcille Centre</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003011064"">Quality grades and inspection reports</a>","55.93126967290681,-3.2082653045654297",
"Corstorphine Dementia Project","Monday - Friday, 9.00am - 5.00pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Carrick Knowe Church, 118-132 Saughton Road North","EH12 7DR","0131 478 7784",cordempro@aol.com,"North West","<a href=""http://www.corstorphinedementiaproject.com"">Corstorphine Dementia Project</a>",,"55.93501982774137,-3.2776594161987305",
"Craighall Centre - City of Edinburgh Council","Monday to Friday","Day service for people with a learning disability or physical disability","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,Craighall,"EH6 4RB","0131 200 2324",socialcaredirect@edinburgh.gov.uk,"Edinburgh North","<a href=""http://www.craighall.org.uk/"">Craighall Centre</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003016213"">Quality grades and inspection reports</a>","55.97382221929286,-3.193802833557129",
Crossroads,,"One to one day services including people with dementia. Carer short breaks and respite day care","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Springwell House 1 Gorgie Road","EH11 2LA","0131 346 1596",edinburgh@crossroads-scotland.co.uk,Edinburgh,"<a href=""http://crossroads-scotland.co.uk/index.php?option=com_locator&view=location&layout=default&id=16&Itemid=8"">Crossroads Edinburgh</a>","<a href = ""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004069236"">Quality grades and inspection reports</a>","55.93888979922763,-3.2279205322265625",
"Currie Kirk Day Club","Fridays, 9.30am-2.30pm","Day services for people over 65, including people with dementia.",,"Self referral","Gibson Craig Hall, Lanark Road West","EH14 5EP","0131 451 5141",,"South West",,,"55.901111008924225,-3.291177749633789",
"Deaf Action","Various meeting times","Social activities for people who are deaf or have a hearing impairment","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self Referral","49 Albany Street","EH1 3QY","0131 556 3128",admin@deafaction.org,Edinburgh,"<a href = ""http://deafaction.org/other_clubs.html"">Deaf Action Clubs</a>",,"55.957513134807755,-3.1895971298217773",
"Deanbank Centre - City of Edinburgh Council","Monday to Friday","Day service for people with a learning disability and autism","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,Deanbank,"EH10 4SG","0131 200 2324",socialcaredirect@edinburgh.gov.uk,Edinburgh,,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003017861"">Quality grades and inspection reports</a>","55.928396712609434,-3.2014524936676025",
"Dove Centre","Monday - Friday, 9am - 4pm","Lunch clubs and day services for people over 50, including people with dementia. Carer short breaks and respite day care.",,Self-referral,"22 Hailesland Place","EH14 2SL","0131 453 4656",dovecentre@hotmail.com,"South West","<a href=""http://www.dovecentre.org"">Dove Centre</a>",,"55.91705906281438,-3.2797622680664062",
"Drumbrae and Granton Support Service","Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"81 Drumbrae Drive","EH4 7ES","0131 553 8294",,"North West",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003017510"">Quality grades and standards</a>","55.955591140531055,-3.287186622619629",
"Drylaw Rainbow Club","Monday - Friday, 9.00am - 5.00pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Drylaw Parish Church, Groathill Road North","EH4 2RG","0131 343 6643",,"North West",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008180109"">Quality grades and inspection reports</a>","55.966281022798576,-3.2500648498535156",
"Edinburgh Elderly Chinese Support","Monday - Thursday, 10.00am - 4.00pm. Friday, 10.00am - 1.00pm","Day service for Chinese people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"25 Home Street","EH3 9JR","0131 228 5808",ecesa@btconnect.com,Edinburgh,,,"55.94299971824836,-3.2033729553222656",
"Edinburgh Synagogue Lunch Club","Tuesday, Thursday, lunch served at 12.30","Lunch club for people over 60.",,Self-referral,"4 Salisbury Road","EH16 5AB",,secretary@ehcong.com,Edinburgh,"<a href=""http://www.ehcong.com/index.php/lunch-club"">Edinburgh Synagogue Lunch Club</a>",,"55.93814467949191,-3.1744909286499023",
"Epilepsy Scotland - Lighthouse Support Service",,"One to one support for people up to age 60 with a learning disability or physical disability, including epilepsy.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","Orchard Brae House, 30 Queensferry Road","EH4 2HS","0131 226 5458",helpline@epilepsyscotland.org.uk,Edinburgh,"<a href=""http://www.epilepsyscotland.org.uk/support-group-details/info_50.html#lothian-group"">Epilepsy Scotland - Lothian Group</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008188065"">Quality grades and inspection reports</a>","55.95619177399379,-3.223586082458496",
"Epilepsy Scotland - Lighthouse Youth Project","Meetings during term-time every 2 weeks on Wednesday, 6 - 8pm. Day activities during October / February / Summer holidays.","Social groups and activites for people with epilepsy up to age 19 - independent living, leisure opportunities, finding employment, voluntary work, college courses, providing additional support to families and carers.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral or referral from a parent",Various,"EH4 2HS","0131 226 5458",helpline@epilepsyscotland.org.uk,Edinburgh,"<a href=""http://www.epilepsyscotland.org.uk/lighthouse-youth-project/info_135.html"">Lighthouse Youth Project</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008188065"">Quality grades and inspection reports</a>","55.95537491020308,-3.2234573364257812",
"Eric Liddell Day Care Service","Monday - Friday, 10-2.30pm","Day Care service provides care for older people with dementia or cognitive impairment. Transport and meals provided","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"15 Morningside Road","EH10 4DP","0131 447 4520",,"South West","<a href=""http://www.ericliddell.org"">Eric Liddell Centre</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006139974"">Quality grades and inspection reports</a>","55.93389001160688,-3.209681510925293",
"Ferry Folk Lunch Club","Wednesday, 11.30am - 1pm","Lunch clubs for people over 65, including people with dementia.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","Rosebrry Hall, High Street, South Queensferry","EH30 9LL","0131 331 2113",,"South Queensferry",,,"55.99018444108166,-3.396846055984497",
"Firrhill Centre - City of Edinburgh Council","Monday - Friday","Day service and lunch club for people with a learning disability or physical disability","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,Firrhill,"EH14 1DW","0131 200 2324",socialcaredirect@edinburgh.gov.uk,"Edinburgh South","<a href=""http://www.firrhillcentre.com/DaySupportServices.html"">Firrhill Centre</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003016214"">Quality grades and inspection reports</a>","55.916217323491374,-3.239593505859375",
"Forever Young","Monday, Tuesday, Wednesday and Friday, 10.30am - 2pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Carrickvale Community Centre, 2 Saughton Mains Street","EH11 3HH","0131 443 9671",,"South West","<a href=""http://carrickvalecommunitycentre.com/index.html"">Carrickvale Community Centre</a>",,"55.93126366275196,-3.264108896255493",
"Garvald Edinburgh","Monday - Thursday 9am-4pm, Friday 9am -3pm","Day service for people with a learning disability","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"2 Montpelier Terrace","EH10 4NF","0131 516 2771",admin@garvaldedinburgh.org.uk,"Edinburgh / Gorgie","<a href=""http://www.garvaldedinburgh.org.uk/individuals/creative-day-services/"">Garvald Edinburgh</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004056011"">Quality grades and inspection reports</a>","55.93888979922763,-3.2131147384643555",
"Harlow Monday Club",Mondays,"Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Deanpark Clinic, 31 Marchbank Gardens","EH14 7ET",,,"South West",,,"55.87954786189979,-3.340787887573242",
"Holyrood Abbey - Wednesday Centre","Wednesday 10am - 2pm","Lunch clubs and day services for people with dementia over 65. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Holyrood Abbey Church of Scotland, 83 London Road","EH7 5TT","0131 661 6002",admin@holyroodabbey.org,"North East","<a href=""http://www.holyroodabbey.org/groups.php?groups_id=8"">Holyrood Abbey Wednesday Centre</a>",,"55.956600199425225,-3.1636762619018555",
"Inch Golden Years Club","Tuesday, 1pm - 4pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,,"EH16 5UF","0131 664 4710",,"South East",,,"55.92473007314742,-3.158740997314453",
"Inch Wednesday Club","Wednesday 11am - 4.30pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,,"EH16 5UF","0131 664 7529",,"South East",,,"55.92470602846506,-3.158869743347168",
"Inclusion Alliance","One-to-one support is provided for 31 hours a week and 50 weeks a year, can be used flexibly between 7.30 am and 5 pm Monday to Friday according to individual needs.","Day service for people with a learning disability.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Edinburgh, home based","EH7 5RA","0131 477 6501",admin@inclusionalliance.org.uk,Edinburgh,"<a href=""http://www.inclusionalliance.org.uk"">Inclusion Alliance</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004064935"">Quality grades and inspection reports</a>","55.96123672715999,-3.170156478881836",
Libertus,"Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"20 Gracemount Drive","EH16 6RN","0131 664 7424",enquiries@libertus.org.uk,"South East","<a href=""http://www.libertus.org.uk"">Libertus</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003050734"">Quality grades and inspection reports</a>","55.903589040383984,-3.1568098068237305",
"Lifecare - Companion Club","Monday - Friday,  8.30am - 4pm","One to one day services for people over 65 with dementia.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"53 Milton Road East","EH15 2NL","0131 657 4101",companionclub@lifecare-edinburgh.org.uk,"North West","<a href=""http://www.lifecare-edinburgh.org.uk/tp1.asp?parent_id=108&select_id=108&expand=108"">Lifecare - Companion Club</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006117301"">Quality grades and inspection reports</a>","55.945162658358925,-3.0950546264648438",
"Lifecare - Dean Club","Tuesday - Thursday, 9am - 4pm","Lunch clubs and day services for people over 65. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"2 Cheyne Street","EH4 1JB","0131 343 0946",deanclub@lifecare-edinburgh.org.uk,"North West","<a href=""http://www.lifecare-edinburgh.org.uk/tp1.asp?parent_id=108&select_id=108&expand=108"">Lifecare - Dean Club</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003050698"">Quality grades and inspection reports</a>","55.958137762400625,-3.212857246398926",
"Lifecare - Outreach","Monday - Friday","Day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"2 Cheyne Street","EH4 1JB","0131 343 0944",outreach@lifecare-edinburgh.org.uk,Edinburgh,"<a href=""http://www.lifecare-edinburgh.org.uk/tp1.asp?parent_id=108&select_id=108&expand=108"">Lifecare - Outreach</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006118880"">Quality grades and inspection reports</a>","55.95820983416657,-3.2126426696777344",
"Lifecare - St Bernard's Club","Monday - Friday","Lunch clubs and day services for people over 65 with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"2 Cheyne Street","EH4 1JB","0131 343 0945",stbernards@lifecare-edinburgh.org.uk,"North West","<a href=""http://www.lifecare-edinburgh.org.uk/tp1.asp?parent_id=108&select_id=108&expand=108"">Lifecare - St Bernard's Club</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004086340"">Quality grades and inspection reports</a>","55.95825788193599,-3.212728500366211",
"Lochend and North East District",,"Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Marionville Court, 1 Lochend Road South","EH7 6BP","0131 652 8167",,"North East",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2007145240""> Quality grades and inspection reports</a>","55.95981940197441,-3.1568098068237305",
"Longstone Resource Centre - City of Edinburgh Council","Monday to Thursday, 9am - 3.30pm. Friday, 9am - 2pm.","Day service for people with a learning disability.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,Longstone,"EH14 2DA","0131 200 2324",socialcaredirect@edinburgh.gov.uk,Edinburgh,,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003016209"">Quality grades and inspection reports</a>","55.924558153487325,-3.2641403676825576",
MECOPP,"Various meeting times","One to one day services for people who are black or minority ethnic (BME).  Carer short breaks and respite.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"172 Leith Walk","EH6 5EA","0131 467 2994",info@mecopp.org.uk,Edinburgh,"<a href=""http://www.mecopp.org.uk"">MECCOP</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2005103068"">Quality grades and inspection reports</a>","55.9675780211191,-3.1746625900268555",
Milan,Tuesdays,"Day services for people who are black or minority ethnic (BME).","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Portlee Centre, 17 Hawkhill Avenue","EH7 6BU","0131 475 2307",,Edinburgh,"<a href=""http://www.milanswo.co.uk/"">Milan</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2009235154"">Quality grades and inspection reports</a>","55.963302565823334,-3.1645774841308594",
"Murrayfield Dementia Project","Tuesday, Thursday and Friday, 9.30am - 2.30pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Murrayfield Parish Church Centre, 2b Ormidale Terrace","EH12 6EQ","0131 337 1091",murrayfield.club@btconnect.com,"North West","<a href=""http://www.mct.org.uk/murrayfield_club.html"">Murrayfield Dementia Project</a>",,"55.946580520213196,-3.2409238815307617",
"Nari Kallyan Shango ( NKS )",Various,"One to one day services and group support for South Asian women",,"Self referral","Darroch Annexe, 7 Gillespie Street","EH3 9NH","0131 221 1915",nks@nkshealth.co.uk,Edinburgh,"<a href=""http://www.nkshealth.co.uk/"">Nari Kallyan Shangho</a>",,"55.941004899739916,-3.207106590270996",
"North East Edinburgh Elderly Care Action Group ( NEECAG )","Last Tuesday of the month 3.00pm - 4.30pm. First Wednesday of the month 2.00pm - 4.00pm.","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Tuesday - Portobello Baptist Church, 185 Portobello High Street. Wednesday - Gordon Court Sheltered Housing Complex, 31 Gordon Court, Leith.",,"0131 553 2559",pilmenyproject@btconnect.com,Edinburgh,"<a href=""http://www.pilmenydevelopmentproject.co.uk/olderpeople"">North East Edinburgh Elderly Care Action Group</a>",,,
