Site_Name,RecyclingS,BankTypeNa,Latitude,Longitude
"Arthur Street","Nos. 9-13 Arthur Street","Bottle Bank - Mixed",55.965395571407,-3.1773002642619
"Ashburnham Road | South Queensferry","Queensferry High School - Ashburnham Road",Packaging,55.98554799944,-3.3857922767396
"Ashburnham Road | South Queensferry","Queensferry High School - Ashburnham Road","Paper Bank",55.98554799944,-3.3857922767396
"Ashburnham Road | South Queensferry","Queensferry High School - Ashburnham Road",Packaging,55.98554799944,-3.3857922767396
"Ashburnham Road | South Queensferry","Queensferry High School - Ashburnham Road","Paper Bank",55.98554799944,-3.3857922767396
"Ashburnham Road | South Queensferry","Queensferry High School - Ashburnham Road",Packaging,55.98554799944,-3.3857922767396
"Ashley Drive","Ashley Drive - Blank Wall","Paper Bank",55.931401781776,-3.227201363008
"Ashley Place","Nos. 16 - 30 Ashley Place","Paper Bank",55.969910977207,-3.1843109700062
"Ashley Place","Nos. 16 - 30 Ashley Place","Bottle Bank - Mixed",55.969910977207,-3.1843109700062
"Ashley Place","Nos. 16 - 30 Ashley Place",Packaging,55.969910977207,-3.1843109700062
"Ashley Place","Nos. 16 - 30 Ashley Place",Packaging,55.969910977207,-3.1843109700062
"Ashley Terrace","Craiglockhart Primary School - No. 90 Ashley Terrace",Packaging,55.931927297542,-3.2276661658232
"Ashley Terrace","Outside No 51 Ashley Terrace","Paper Bank",55.933098334668,-3.2291758665048
"Ashley Terrace","Outside No 51 Ashley Terrace",Packaging,55.933098334668,-3.2291758665048
"Ashley Terrace","Craiglockhart Primary School - No. 90 Ashley Terrace","Paper Bank",55.931927297542,-3.2276661658232
"Assembly Street","Between Nos. 1 & 3 Assembly Street",Packaging,55.975336928025,-3.164638475749
"Assembly Street","Between Nos. 1 & 3 Assembly Street","Paper Bank",55.975336928025,-3.164638475749
"Assembly Street","Outside no. 49 Assembly Street",Packaging,55.975322084569,-3.166208427367
"Assembly Street","Outside no. 49 Assembly Street","Paper Bank",55.975322084569,-3.166208427367
"Avon Road","Avenel - Avon Road",Packaging,55.969172454945,-3.3080110827454
"Avon Road","Avenel - Avon Road","Bottle Bank - Mixed",55.969172454945,-3.3080110827454
"Avon Road","Avenel - Avon Road","Paper Bank",55.969172454945,-3.3080110827454
"Avon Road","Avenel - Avon Road",Packaging,55.969172454945,-3.3080110827454
"Avon Road","Avenel - Avon Road","Paper Bank",55.969172454945,-3.3080110827454
"Baberton Mains Wynd","Juniper Green Primary School - No. 20 Baberton Mains Wynd","Paper Bank",55.906320542827,-3.284715122847
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot",Packaging,55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Bottle Bank - Brown",55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Paper Bank",55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Bottle Bank - Clear",55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Bottle Bank - Clear",55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot",Packaging,55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Paper Bank",55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Paper Bank",55.924979370159,-3.2170119696514
"Balcarres Street","No. 1 Balcarres Street",Packaging,55.925317440041,-3.2109730826157
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot",Packaging,55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot",Packaging,55.924979370159,-3.2170119696514
"Balcarres Street","No. 1 Balcarres Street","Paper Bank",55.925317440041,-3.2109730826157
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot",Packaging,55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Bottle Bank - Green",55.924979370159,-3.2170119696514
"Balcarres Street","No. 1 Balcarres Street",Packaging,55.925317440041,-3.2109730826157
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Textile Bank",55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Bottle Bank - Green",55.924979370159,-3.2170119696514
"Balcarres Street","Nos. 38-39 Balcarres Street - Cleansing Depot","Bottle Bank - Green",55.924979370159,-3.2170119696514
"Balfour Place","Pilrig Park School - No. 12 Balfour Place","Can Banks",55.967755128278,-3.1804960973354
"Balfour Place","Pilrig Park School - No. 12 Balfour Place",Packaging,55.967755128278,-3.1804960973354
"Balfour Place","Pilrig Park School - No. 12 Balfour Place","Paper Bank",55.967755128278,-3.1804960973354
"Balfour Street","No 29 Balfour Street","Paper Bank",55.966580692721,-3.1774003419208
"Balfour Street","No 29 Balfour Street",Packaging,55.966580692721,-3.1774003419208
"Balfour Street","Balfour Street Park Entrance",Packaging,55.968021671318,-3.1789341101891
"Balfour Street","Opposite No. 47 Balfour Street",Packaging,55.967423498621,-3.1785314071644
"Balfour Street","Balfour Street Park Entrance","Paper Bank",55.968021671318,-3.1789341101891
"Balfour Street","RHS No 6 Balfour Street","Paper Bank",55.965909314177,-3.1761944251705
"Balfour Street","Opposite No. 47 Balfour Street","Paper Bank",55.967423498621,-3.1785314071644
"Balfour Street","RHS No 6 Balfour Street",Packaging,55.965909314177,-3.1761944251705
"Balfour Street","RHS No. 7 Balfour Street","Paper Bank",55.965835922955,-3.1763524039804
"Balfour Street","RHS No. 7 Balfour Street",Packaging,55.965835922955,-3.1763524039804
"Balfour Street","LHS No. 35 Balfour Street",Packaging,55.966899942554,-3.1778426063739
"Balgreen Road","Balgreen Primary School - No. 171 Balgreen Road",Packaging,55.93770228795,-3.2485005863643
"Balgreen Road","Balgreen Primary School - No. 171 Balgreen Road","Paper Bank",55.93770228795,-3.2485005863643
"Ballantyne Road","No. 1 Ballantyne Road","Paper Bank",55.974487055926,-3.1784257372995
"Ballantyne Road","No. 1 Ballantyne Road",Packaging,55.974487055926,-3.1784257372995
"Balmwell Terrace","Packaging bin with green lid",Packaging,55.901758494599,-3.1623682459111
"Bangholm Terrace","Nos. 13 to 14 Bangholm Terrace","Paper Bank",55.969613044501,-3.2057715744069
"Bangholm Terrace","Nos. 13 to 14 Bangholm Terrace",Packaging,55.969613044501,-3.2057715744069
"Bangholm Terrace","Nos. 13 to 14 Bangholm Terrace",Packaging,55.969613044501,-3.2057715744069
"Bangholm Terrace","Nos. 13 to 14 Bangholm Terrace","Bottle Bank - Mixed",55.969613044501,-3.2057715744069
"Bangholm Terrace","Nos. 3 - 9 Bangholm Terrace",Packaging,55.969279790343,-3.2067705965648
"Bangholm Terrace","Nos. 3 - 9 Bangholm Terrace","Paper Bank",55.969279790343,-3.2067705965648
"Bangholm Terrace","Nos. 3 - 9 Bangholm Terrace","Bottle Bank - Mixed",55.969279790343,-3.2067705965648
"Bangholm Terrace","Nos. 3 - 9 Bangholm Terrace",Packaging,55.969279790343,-3.2067705965648
"Bangor Road","No. 11 Bangor Road","Paper Bank",55.973355117602,-3.1774619428201
"Bangor Road","No. 11 Bangor Road",Packaging,55.973355117602,-3.1774619428201
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Bottle Bank - Mixed",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Bottle Bank - Mixed",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Bottle Bank - Mixed",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Bottle Bank - Mixed",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Paper Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Bottle Bank - Mixed",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue",Packaging,55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Paper Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Paper Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Bottle Bank - Mixed",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Paper Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Textile Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Textile Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Textile Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Textile Bank",55.926222950699,-3.2916634285118
"Bankhead Avenue","Sighthill Community Recycling Centre - Bankhead Avenue","Textile Bank",55.926222950699,-3.2916634285118
"Barclay Terrace","No. 4 Barclay Terrace",Packaging,55.939625107459,-3.2042791938071
"Barclay Terrace","No. 4 Barclay Terrace","Paper Bank",55.939625107459,-3.2042791938071
"Barleyhill Terrace","Nos. 1,2,4,8,10,12 Barleyhill Terrace",Packaging,55.966778809091,-3.158389503381
"Barleyhill Terrace","Nos. 1,2,4,8,10,12 Barleyhill Terrace",Packaging,55.966778809091,-3.158389503381
"Barleyhill Terrace","Nos. 1,2,4,8,10,12 Barleyhill Terrace","Paper Bank",55.966778809091,-3.158389503381
"Barleyhill Terrace","Nos. 1,2,4,8,10,12 Barleyhill Terrace","Bottle Bank - Mixed",55.966778809091,-3.158389503381
"Barnton Avenue West","No. 2 Barnton Avenue West","Paper Bank",55.966075594027,-3.3068652185715
"Barnton Avenue West","No. 34 Barnton Avenue West (flats 1-7, a & b)","Bottle Bank - Mixed",55.968274553818,-3.3003063080302
"Barnton Avenue West","No. 34 Barnton Avenue West (flats 1-7, a & b)","Paper Bank",55.968274553818,-3.3003063080302
"Barnton Court","Barnton Court - Garage on LHS entrance",Packaging,55.961729322785,-3.3032105114143
"Barnton Court","Barnton Court - Garage on LHS entrance","Paper Bank",55.961729322785,-3.3032105114143
"Barnton Grove","Barnton Grove - Burgess View","Paper Bank",55.961739495083,-3.3047967506256
"Barnton Grove","Barnton Grove - Burgess View",Packaging,55.961739495083,-3.3047967506256
"Barnton Grove","Barnton Grove - Burgess View",Packaging,55.961739495083,-3.3047967506256
"Barnton Grove","Barnton Grove - Burgess View","Bottle Bank - Mixed",55.961739495083,-3.3047967506256
"Barnton Grove","Barnton Grove - Burgess View",Packaging,55.961739495083,-3.3047967506256
"Barnton Grove","Barnton Grove - Burgess View","Bottle Bank - Mixed",55.961739495083,-3.3047967506256
"Barnton Grove","Barnton Grove - Burgess View","Paper Bank",55.961739495083,-3.3047967506256
"Baronscourt Road","Baronscourt Road - Gable End No. 7 Piershill Place","Paper Bank",55.954477602315,-3.1459140709216
"Baronscourt Road","Baronscourt Road - Gable End No. 7 Piershill Place",Packaging,55.954477602315,-3.1459140709216
"Baronscourt Road","Baronscourt Road - Gable End No. 8 Piershill Place","Paper Bank",55.95443750073,-3.146361328271
"Barony Street","Barony Street",Packaging,55.957887122261,-3.1909753004134
"Bath Street","No. 55 Bath Street","Bottle Bank - Mixed",55.954810847862,-3.1104967173669
"Bath Street","No. 55 Bath Street",Packaging,55.954810847862,-3.1104967173669
"Bath Street","No. 55 Bath Street","Paper Bank",55.954810847862,-3.1104967173669
"Bath Street","No. 50 Bath Street",Packaging,55.954554559616,-3.1110178989015
"Bath Street","No. 55 Bath Street","Bottle Bank - Mixed",55.954810847862,-3.1104967173669
"Bath Street","No. 50 Bath Street","Paper Bank",55.954554559616,-3.1110178989015
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid","Paper Bank",55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid","Bottle Bank - Clear",55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid","Textile Bank",55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid","Paper Bank",55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid","Bottle Bank - Brown",55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid","Bottle Bank - Green",55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid","Can Banks",55.883121729913,-3.3393107709299
"Bavelaw Road | Balerno","Bavelaw Road - Car Park Opposite Scotmid",Packaging,55.883121729913,-3.3393107709299
"Beaverbank Place","17 Beaverbank Place",Packaging,55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place",Packaging,55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place",Packaging,55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place",Packaging,55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place",Packaging,55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place","Bottle Bank - Mixed",55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place","Paper Bank",55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place","Paper Bank",55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place",Packaging,55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place","Paper Bank",55.96410426454,-3.1947707704766
"Beaverbank Place","17 Beaverbank Place",Packaging,55.96410426454,-3.1947707704766
