Name,Address,Postcode,Location,"Registered Social Landlord",Telephone,"More Information","Project details","Number of homes","Project timescales"
"Elizabeth Maginnis Court/Royston Wardieburn ","Royston Mains Crescent","EH5 1NT","55.977484212796845,-3.232823610305786","Dunedin Canmore Housing Asssociation","0131 478 8888",http://www.dunedincanmore.org.uk/group/default.asp?ID=270,"68 care homes and alongside community and day care facilities at Royston Wardieburn by Dunedin Canmore Housing Association.  These homes will be available to older people with high support needs who may otherwise need to be accommodated in residential care.","68 new affordable fully accessible homes.","Work began in September 2009 and completed in June 2011."
"Former BT site Murihouse Phase 1","Muirhouse Avenue","EH4 4AE","55.9701648827791,-3.2545173168182373","Muirhouse Housing Association","0131 336 5282",http://www.muirhouseha.org.uk/podium/mha/ces_general.nsf/wpg/welcome_page!OpenDocument,"202 affordable homes will be built in total, with 58 in Phase 1. The homes will be built to the Greener Homes Standard which means that homes willl have low heating costs and produce less carbon emissions.","24 homes for midmarket rent and 34 for social rent.","Work began on site in April 2013 and phase 1 will complete in March 2014."
"Forth Quarter Plot 19","Waterfront Avenue/Colonsay View","EH5 1FH","55.976583754733795,-3.252553939819336","Hillcrest Housing Association","0844 892 1099",http://keytochoice.scotsman.com/shared_forthquart.cfm,"136 homes for social rent, midmarket rent and shared ownership. The flats are generously proportioned with balconies or feature bay windows to most apartments while those on the ground floor feature private terraces.","71 homes for rent, 23 for midmarket rent and 42 for low cost ownership","Work began on site for 91 homes in  April 2010 and completed in December 2011.
Work started in June 2012 on an additional 22 homes for social rent and 23 for mid market rent which will be completed by February 2013"
Link6,"Fox Street/Popular Lane/Salamander Place","EH6 7HD","55.973714155202245,-3.1624746322631836","Port of Leith Housing Association","0131 554 0403",http://www.polha.co.uk/new_homes/development_programme/fox_street,"The 98 homes, ranging from one-bedroom through to four-bedroom main-door duplex apartments. Features will include secure underground parking and a central landscaped courtyard. Solar thermal panels will be on the roof providing hot water for a number of properties","60 homes for social rent and 40 for low cost ownership.","Work started on site in Janury 2011 and completed in March 2013."
"Great Junction Street",Leith,"EH6 5LD","55.97186626262911,-3.1737213135147613","Port of Leith Housing Association","0131 554 0403",http://www.polha.co.uk/new_homes/development_programme/great_junction_street,"The development will consist of three, four and five storey high modern buildings incorporating commercial/retail units on the ground floor.","20 homes for social rent and 12 for midmarket rent","Work began on site in May 2012 and is due for completion in March 2014"
"Greendykes A","Niddrie Mains Road","EH16 4EF","55.930933102799884,-3.1285715103149414","Places for People","0800 432 0002 (freephone)",http://www.placesforpeople.co.uk/find_a_home.aspx/homes_in_scotland.aspx,"12 homes for mid market rent and 22 for shared ownership.
The mid market home will be managed by Lothain Homes and the shared ownership homes will be managed by Castle Rock Edinvar.
Details on shared ownership homes 
http://keytochoice.scotsman.com/Shared_Greendykes.cfm","34 affordable homes","Work began on site in November 2010 and  completed in April 2012."
"Greendykes C","Greendykes Rd/Matthew St ","EH16 4GW","55.92862511473662,-3.128657341003418","City of Edinburgh","0131 529 6349",http://www.edinburgh.gov.uk/info/209/regeneration_and_town_centre_management/969/21st_century_homes_for_edinburgh/6,"A mix of modern houses and flats designed to be energy efficient and affordable to heat. 46 properties will be for midmarket rent and 14 will be allocated for social housing.","60 midmarket and social rent homes","Work began in April 2013 and will be complete by Spring 2014"
"Horizon Lochend, Phase 2 ","Lochend Park View","EH7 5FB","55.95984842969621,-3.1632367371639702","Hillcrest Housing Association","0844 892 1099",http://www.hillcrest.org.uk/Housing+Association/Rent/,"There will be 48 affordable homes built on site with a mix of one, two and three bedroom homes.","30 homes for social rent and 18 for midmarket rent","Work began on site in July 2013 and will complete by February 2015."
"Hyvots Phase 5","Hyvots Terrace/Burndale Place","EH17 8QA","55.90433482468454,-3.140287399291992","Dunedin Canmore Housing Asssociation","0131-478 8888",http://www.dunedincanmore.org.uk/group/default.asp?ID=270,"42 homes for social rent and 18 for low cost ownership
Details on Low cost ownership homes
http://keytochoice.scotsman.com/burndale_place.cfm","Part of a large regeneration development in Moredun/Hyvots area.","Work began in November 2010 and completed in June 2012"
"Hyvots Phase 6","Hyvots Gardens","EH17 8PS","55.90478489480669,-3.137388110117172","Dunedin Canmore Housing Asssociation","0131 478 8888","Part of the Morden Hyvots Regeneration

http://www.dunedincanmore.org.uk/group/default.asp?ID=259","32 of the homes will be flats and 10 will be houses.","42 Homes for social rent","Work began in April 2012 and completed in  May 2013."
"King's Place, Wauchope Square","Wauchope Square","EH16 4NU","55.93470732870261,-3.1293439865112305","Link Group","08451 400 100",http://linkhousing.org.uk/our-services/development/new-homes/developments-in-the-east-of-scotland/wauchope-square-edinburgh/,"58 new build houses and flats for rent and shared ownership
Details for shared ownership homes available at 
http://linkhousing.org.uk/our-services/find-a-property/buy-a-home-from-us/shared-ownership-homes-available-at-kings-place-edinburgh/","31 homes to rent, 15 Shared Ownership, 12 New Supply Shared Equity","Work began on site in  October 2010 and completed in September 2012."
"Kirkliston Phase 1 ","Kirklands Park Street","EH29 9EY","55.959276881488634,-3.4138247965893243","Homes in Scotland","0131 336 5876",http://www.homegroup.org.uk/contactus/officelocationsandtelephonenumbers/Pages/scotland.aspx,"Phase 1 of a larger development in Kirkliston to be built over the next few years. The homes will be a mix of flats, cottages and houses.","81 affordables homes for rent and midmarket","Work began on site in February 2012 and is due for completion in November 2013."
"Kirkliston Phase 2","Queensferry Road","EH29 9","55.95966125101107,-3.4011383054894395","Homes in Scotland","0131 336 5876",http://www.homegroup.org.uk/contactus/officelocationsandtelephonenumbers/Pages/scotland.aspx,"The affordable homes, a mix of 2 and 3 bedroom houses, cottage apartments and apartments. All properties are designed to be built to the latest building and energy efficiency standards including renewable energy in the form of photo voltaic roof tiles.","81 homes in total with 39 social rent and 42 mid market rent.","Work began in May 2013 and is due to complete in October 2014"
"Lanark Road West","Lanark Road West","EH14 5EP","55.901026801190575,-3.2913923263549805","Link Housing Association","08451 400100",http://linkhousing.org.uk/our-services/development/new-homes/developments-in-the-east-of-scotland/lanark-road-west-edinburgh-city-of-edinburgh/,"32 homes for rent specifically designed for wheelchair users.","32 homes for social rent","Construction started on site in October 2011 and completed in June 2013"
"Leith Fort","North Fort Street","EH6 4HP","55.97718906520764,-3.184870362129004","Port of Leith Housing Association","0131 554 0403",https://www.edinburgh.gov.uk/info/209/regeneration_and_town_centre_management/969/21st_century_homes_for_edinburgh/5,"The redevelopment of Fort House is a joint project between Port of Leith and City of Edinburgh Council which will see construction of 102 new homes. 65 of these homes will be provided through Port of Leith HA. 10 of the homes will be houses while the remaining 55 will be flats.


","65 for mid market rent","Work began on site with the demolition of the old council blocks in June and will be completed by February 2015."
"Lighthouse Court","Granton Park Avenue","EH5 1HS","55.98088175244369,-3.2318687438964844","Castle Rock Edinvar","0131 657 0600","The homes are now available to see online

http://www.lighthousecourt.co.uk/","These homes will be delivered through Phase 1 of the National Housing Trust which the City of Edinburgh Council,  works in partnership with developers, the Scottish Futures Trust (SFT) and the Scottish Government to deliver affordable housing.

The development will comprise 62 low energy homes in a mix of townhouses, maisonettes and flats.","62 homes for mid market rent","Work started on site in October 2011 and completed in May 2013."
"Western Harbour S2, Lindsay Road","Lindsay Road, Leith","EH6 6LR","55.9801554483784,-3.1895434856414795","Port of Leith Housing Association","0131 554 0403",http://www.polha.co.uk/new_homes/development_programme/lindsay_road,"In total there will be 111 properties within this development (including 10 designed for tenants with special needs). ","58 homes for social rent and 53 for midmarket rent","Work started on site in July 2011 and is due for completion in August 2013"
"Little Road","Little Road","EH16 6TE","55.90915601437736,-3.162523984647123","Dunedin Canmore Housing Asssociation","0131 478 8888",http://www.canmore-housing.org.uk/housing/default.asp?ID=8207,"32 flats will be built on site and will provide homes for older people. The homes will be a mixture of one and two bedrooms flats.","32 homes, 16 for social rent and 16 for mid market rent","Work began on site in January and is due to complete in June 2014"
"Lower London Road","Lower London Road","EH7 6AA","55.95599957229965,-3.158848285675049","Hillcrest Housing Association","0844 892 1099",http://hillcrest.org.uk/Housing+Association/,"36 homes for rent, with 4 homes for wheeelchairs users.","a mix of 1,2 and 3 bedroom flats including 2 for those with disability/mobility difficulties.","Work began in June 2010 and completed in November 2011."
"Magdalene Drive","St Martins Chruch, Magdalene Drive","EH15 3DB","55.94137543114981,-3.1143751143099507","Port of Leith Housing Association","0131 554 0403",http://www.polha.co.uk/new_homes/development_programme/magdalene_drive,"All of the houses will have their own private gardens and parking spaces are available on site. Two of the flats will be wheelchair accessible","23 homes for social rent","Work began on site in September 2012 and due to complete by November 2013."
"Newhaven Road Phase 1","Newhaven Road","EH6 5QA","55.97011184610702,-3.1871509552001953","Port of Leith Housing Association ","0131 554 0403",http://www.polha.co.uk/housing/applying_for_a_house_to_rent,"Part of a larger development at City Haven in Leith that will deliver 31 affordable homes in total.","8 homes for Social Rent","Work began on site in March 2013 and will complete in December 2013"
"Niddrie House Park","Niddrie House Park","EH16 4UL","55.93039718906782,-3.123531818346237","Link Group","08451 400 100 ",http://linkhousing.org.uk/our-services/development/new-homes/developments-in-the-east-of-scotland/greendykes-school-edinburgh/,"22 homes for social rent will be built with a mix of flats and houses. There will also be 6 houses for midmarket rent.
","28 homes for social rent and midmarket rent","Work began on site in September 2012 and due to complete by October 2013."
"North Varcity","Pilton Avenue","EH5 2NE","55.971420723873756,-3.2358169555664062","Castle Rock Edinvar","0131 657 0600",http://www.castlerockedinvar.co.uk/find_a_home/homes_to_rent/edinburgh_-_mid_market_rent.aspx,"These homes will be delivered through Phase 1 of the National Housing Trust which the City of Edinburgh Council, works in partnership with developers, the Scottish Futures Trust (SFT) and the Scottish Government to deliver affordable housing","89 homes for mid market rent","Work started on site in October 2011 and is  completed in July 2013."
"Oxgangs 3B","Firrhill Park/Drive","EH13 9DW","55.91204944257071,-3.224202275123389","Dunedin Canmore Housing Asssociation","0131 478 8888",http://www.dunedincanmore.org.uk/group/default.asp?ID=301,"Phase 3 of the regeneration of the Oxgangs area which began in 2003. There will be a mix of houses and flats on site including 5 which have been designed to accommodate the needs of  older people.","34 homes for social rent and midmarket rent","Work began on site in June 2012 and is due to complete in October 2013"
Quartermile,"Chalmers Street/Archibald Street, Quartermile","EH3 9FE","55.943600547063006,-3.1969356536865234","Hillcrest Housing Association","0844 892 1099","Midmarket rent homes are now available 

http://www.hillcrest.org.uk/Northern+Housing/Mid+Market+Rent/#/Northern+Housing/Mid+Market+Rent/2092/Q10+Quartermile+Edinburgh/
","A range of affordable housing accommodation which includes wheelchair accessible and elderly amenity flats. There will also be larger sized family homes with dedicated terraced spaces which will benefit from magnificent views including Edinburgh Castle and the Meadows.","174 homes wiith 98 for affordable rent and 76 mid-market","work began on site in February 2011 and will complete by August 2013"
"Salamander Place","1 - 21 Salamander Place","EH6 7JJ","55.97275857539941,-3.1616706849672482","Hillcrest Housing Association","0844 892 1099",http://www.hillcrest.org.uk/Housing+Association/Rent/,"These homes will be delivered through Phase 1 of the National Housing Trust which the City of Edinburgh Council, works in partnership with developers, the Scottish Futures Trust (SFT) and the Scottish Government to deliver affordable housing.

The homes will be developed jointly by Hillcrest Housing Association, Hart Builders & Teague Ltd","145 homes for mid market rent","Work started on site in May 2012 and due to complete in Spring 2014"
"St Nicholas School","349 Gorgie Road","EH11 2QU","55.936303,-3.240622","Dunedin Canmore Housing Asssociation","0133 478 8888",http://keytochoice.scotsman.com/newdevelopments.cfm,"109 affordable units with a mix of social, mid and shared ownership accommodation. This will include 9 wheelchair adapted units and 12 amenity units specifically for the elderly.","40 homes for social rent, 31 for Shared ownership and 38 for mid market rent","Work began in November 2010  and completed in January 2013"
"Craigmillar Primary School","Niddrie Mains Terrace/Harewood Road","EH16 4NL","55.935284248036076,-3.131403923034668","Castlerock Edinvar","0131 657 0600",http://www.theprimary.co.uk/index.html,"The Primary is located next to the former site of Craigmillar Primary School. There are 83 townhouses and apartments for rent and shared ownership.","38 for rent and 45 for shared ownership","Work began on site in August 2009 and completed in April 2011."
"Hyvots Phase 4","Hyvots Terrace /Hyvots Mills Road","EH17 8QA","55.90515276517072,-3.139986991882324","Dunedin Canmore Housing Asssociation","0131 478 8888",http://www.dunedincanmore.org.uk/group/default.asp?ID=306,"58 homes rent
The development won the Scottish Homes Environmental Excellence Award 2012 and was also a finalist for the Sustainable Housing Awards 2011 in the largest social housing project category.  ","58 homes are for supported housing and are all suitable for wheelchairs users.","Work began in October 2009 and all 58 units was completed in April  2011."
"The Quayside","Coburg Street","EH6 6 ET","55.975818,-3.176306","Port of Leith Housing Association","0131 554 0403",http://www.the-quayside.co.uk,"60 homes for social rent and shared ownership","44 homes for rent.          16 one and two-bedroom  Shared ownership homes","Work began on site in July 2010 and the  development completed  in March 2012."
"Wauchope  2b Phase 1","Wauchope Square, Craigmillar ","EH16 4","55.934058284183166,-3.127155303955078","Castle Rock Edinvar","0131 657 0600",http://choice-edinburgh.co.uk/,"A total of 45 homes will be built in Phase 1 with 14 homes for shared equity funded with a grant from the City of Edinburgh Council Affordable Housing Supply Programme. 20 homes for midmarket rent will also be funded through the Scottish Government Innovation Fund.","14 homes for shared ownership and 20 for midmarket rent","Work began on site in May 2012 and is due to complete in August 2013."
"West Granton Road","294- 328 West Granton Road","EH5 1HY","55.976655792150254,-3.240237236022949","Port of Leith","0131 554 0403",http://www.polha.co.uk/new_homes/completed_developments/west_granton_road,"The development contains 17 flats (including 2 flats designed for tenants with special needs), made up as follows:

• 4 x 1 bedroom (2 person)
• 13 x 2 bedroom (3 person
","17 homes for Social Rent","Project started on site in January 2010 and completed in May 2011."
"West Pilton Crescent","West Pilton Crescent",EH4,"55.97326288454646,-3.2522002457699273","City of Edinburgh Council","0131 529 6349 for information on the development.",http://www.edinburgh.gov.uk/info/209/regeneration_and_town_centre_management/969/21st_century_homes_for_edinburgh/4,"The homes are the first stage of a wider masterplan for Pennywell and Muirhouse which could lead to 700 homes being delivered over the next few years.","34 homes for social rent.","Planning permission for 34 homes was granted in April 2013 and work began on site in July 2013."
"West Gait"," West Pilton Road/Terrace","EH4 4JA","55.97379820507658,-3.2426834106445312","Castle Rock Edinvar","0131 657 0600",http://www.westgait.co.uk/,"This affordable housing development will deliver 15 homes for social rent, 30 homes for mid market rent, 28 shared equity homes and 20 homes for shared ownership. ","93 affordable homes for rent and low cost ownership","Work began on site in July 2012 and due to complete in October 2013"
"Westfield ","Westfield Avenue","EH11 2QH","55.93834898794243,-3.243734836578369","Dunedin Canmore Housing Asssociation","0131 478 8888",http://www.dunedincanmore.org.uk/westfield/default.asp?ID=7990,"193 homes for social rent, midmarket rent and shared ownership
This development won the 2012 Scottish Homes Award for the Large Affordable Housing Development of the Year.
In September 2012, the development was awarded the 2012 Saltire Award for Large Scale Housing Development of the year. ","58 x 1 person studio flats                                              97 x 1 bed 2 persons flats                            38 x 2 bed 3 person flats","Work began on site in September 2009 and completed in February 2012."
"Windsor Place","21-23 Windsor Place","EH15 2AG","55.951175197479564,-3.1130450965065393","Port of Leith Housing Association","0131 554 0403",http://www.polha.co.uk/new_homes/development_programme/windsor_place,"The building will be environmentally friendly, highly insulated and will have Photovoltaic Panels on the roof providing electricity for the common area.
There will be 10 one-bedroom and 13 two-bedroom flats.","23 homes for social rent","Work began on site in July 2012 and is due for completion in October 2013"
