"Street Name","Locality","Street Adoption Status","Property Notice Description"
"A90 - Cramond Bridge to Dalmeny","Cramond","Adopted","A90From QUEENSFERRY ROAD at centre of bridge over River Almond extending Northwestward,westward, Northwestward, Northwards to City Boundary.Road split between PUBLIC & TRUNK sections:PUBLIC SECTION: From Queensferry Road at centre of Bridge over River Almond generally north & west to Dalmeny.Carriageways and adjacent footways adopted for maintenance. TRUNK SECTION: From Dalmeny west & northwards to the Forth Road BridgeMaintenance responsibility lies with Bear Scotland."
"A90 Cycle Track","","Adopted","A90 CYCLE TRACK"
"A900","","Adopted",""
"A901","","Adopted",""
"A902","","Adopted",""
"A903","","Adopted",""
"A904","","Adopted",""
"A904 - U221 at Echline to Linn Mill Burn","","Adopted","A904 - U221 AT ECHLINE TO LINN MILL BURNFrom BUILYEON ROAD at BO'NESS ROAD west to LINN MILL BURN.Carriageways and adjacent footways adopted for maintenance."
"A90T - City of Edinburgh Area","","Trunk - Scot Exec","A90TSection of A90 from Dalmeny west & northwards to the Forth Road Bridge.Responsible Authority is Trunk-Scot Exec."
"A90T - Dalmeny to Echline Roundabout","Cramond","Trunk - Scot Exec","A90 - DALMENY TO FORTH ROAD BRIDGETRUNK : From Dalmeny west & northwards to the Forth Road BridgeMaintenance responsibility lies with Bear Scotland."
"A90T - Echline Rbout to Fife Boundary","","Trunk - Scot Exec","A90TSection of A90 from Echline Roundabout northwards to the centre of the Forth Road Bridge (Fife Boundary).Responsible Authority is Trunk-Scot Exec."
"Abbey Close","Abbeyhill","Private","ABBEY CLOSEPRIVATE STREET.  A forecourt of Holyrood Palace extending northwards to ABBEYHILL.Not included for maintenance under the List of Public Roads."
"Abbey Lane","Abbeyhill","Adopted","ABBEY LANEFrom ABBEYHILL northwards to LONDON ROAD with branch eastwards toLOWER LONDON ROADCarriageways and adjacent footways adopted for maintenance."
"Abbey Mount","Abbeyhill","Adopted","ABBEY MOUNTFrom REGENT ROAD southwards to the south side of the Railway Bridge at ABBEYHILL.Carriageways and adjacent footways adopted for maintenance.  Including the Stairway between ABBEYHILL / ABBEY MOUNT and the triangular area adjacent.  Excluding lane behind No's 5 & 6."
"Abbey Strand","Abbeyhill","Adopted","ABBEY STRANDFrom east kerb line of HORSE WYND extending eastwards to the gates of Holyrood House.In two sections one private and one public.PUBLIC SECTION: From east kerb line of HORSE WYND to the West Gable of Abbey Court House.Carriageways and adjacent footways adopted for maintenance.  PRIVATE SECTION: From the west gable of the Abbey Court House eastwards to the gates of Holyrood House.Not included for maintenance under the list of public roads."
"Abbey Street","Abbeyhill","Adopted","ABBEY STREETFrom east end of Montrose Terrace southwards with cul-de-sac branch running eastwards.Carriageways and adjacent footways adopted for maintenance. Excluding all parking and landscaped areas."
"Abbeyhill","Abbeyhill","Adopted","ABBEYHILLFrom the junction of ABBEY STRAND and CANONGATE extending north-eastwards to ABBEY LANE at the west end of SPRING GARDENS.Carriageways and adjacent footways adopted for maintenance. Including the narrow triangular area between ABBEYHILL, ABBEY MOUNT and the adjacent stairway."
"Abbeyhill Crescent","Old Town","Adopted","ABBEYHILL CRESCENTFrom CALTON ROAD opposite Robertson's Court extending northwards, north-eastwards and eastwardsto ABBEYHILL, including cul-de-sac extending north-westward at No. 24 and a cul-de-sac extending northwardsand eastwards at Nos. 12.Carriageways and adjacent footways adopted for maintenance. Excluding parking areas."
"Abbeymount Stair","Abbeyhill","Adopted","ABBEYMOUNT STAIR"
"Abbotsford Court","Bruntsfield","Private","ABBOTSFORD COURTFrom flats at No. 18 COLINTON ROAD extending north-westwards then south-westwards toSOUTH ETTRICK ROAD opposite No. 20 COLINTON ROAD.Not included for maintenance under the List of Public Roads."
"Abbotsford Crescent","Morningside","Adopted","ABBOTSFORD CRESCENTFrom COLINTON ROAD opposite No. 14 extending southwards and eastwards to ABBOTSFORD PARKat No. 9Carriageways and adjacent footways adopted for maintenance."
"Abbotsford Park","Morningside","Adopted","ABBOTSFORD PARKFrom COLINTON ROAD extending southwards and eastwardsto MORNINGSIDE ROAD.Carriageways and adjacent footways adopted for maintenance."
"Abercorn Avenue","Willowbrae","Adopted","ABERCORN AVENUEFrom ABERCORN CRESCENT north-eastwards  to WILLOWBRAE ROAD.Carriageways adjacent footways and verges adopted for maintenance."
"Abercorn Cottages","Duddingston","Private","ABERCORN COTTAGESPRIVATE STREET. Accessed through a pend and to the rear of Nos 86 - 98 DUDDINGSTON ROADWEST.Not included for maintenance under the List of Public Roads."
"Abercorn Court","Willowbrae","Private","ABERCORN COURTPRIVATE STREET.  From 17 PAISLEY DRIVE southwards, a private internal access court.Not included for maintenance under the List of Public Roads."
"Abercorn Crescent","Willowbrae","Adopted","ABERCORN CRESCENTFrom PAISLEY CRESCENT eastwards to WILLOWBRAE ROAD.Carriageways adjacent footways and verges adopted for maintenance."
"Abercorn Drive","Willowbrae","Adopted","ABERCORN DRIVEFrom ULSTER DRIVE north-westwards to  ABERCORN CRESCENT Carriageways and adjacent footways adopted for maintenance."
"Abercorn Gardens","Mountcastle","Private","ABERCORN GARDENSPRIVATE STREET.  From  PIERSFIELD TERRACE extending south-eastwards, a cul-de-sac.Not included for maintenance under the List of Public Roads."
"Abercorn Grove","Willowbrae","Adopted","ABERCORN GROVEFrom ABERCORN CRESCENT extending northwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Abercorn Road","Willowbrae","Adopted","ABERCORN ROADFrom WILLOWBRAE ROAD, south-westwards to LILYHILL TERRACE.Carriageways and adjacent footways adopted for maintenance.Excluding private lane adjacent to No 15 servicing rear of PANMURE AVENUE."
"Abercorn Terrace","Portobello East","Adopted","ABERCORN TERRACEPart of PORTOBELLO HIGH STREET from BRUNSTANE ROAD on the north side to PITTVILLE STREETand on the south side to ST MARKS PLACE.Carriageways and adjacent footways adopted for maintenance.Excluding PRIVATE LANE: ST MARY'S PLACE LANE servicing the rear of Nos 25 - 47 (odds)"
"Abercromby Place","Broughton","Adopted","ABERCROMBY PLACEFrom DUBLIN STREET opposite ALBANY STREET curving south-westwards to DUNDAS STREETat The Caledonian Club (No. 1).Carriageways and adjacent footways adopted for maintenance."
"Abinger Gardens","Murrayfield","Adopted","ABINGER GARDENSFrom MURRAYFIELD GARDENS opposite No. 4, extending westwards to ORMIDALE TERRACEat the southern boundary of Murrayfield Parish Church.Carriageways and adjacent footways adopted for maintenance."
"Academy Park","Albion","Adopted","ACADEMY PARKFrom Easter Road extending south-eastwards, with two cul-de-sac branches, one extending north-eastwardsand one extending south-westwards and including 7 end-on parking bays on north-west side of road adjacent to bellmouth.   Carriageways and adjacent footways adopted for maintenance.  Excludes all other parking areas and all landscaped areas on both cul-de-sac branches."
"Academy Street","South Leith","Adopted","ACADEMY STREETFrom DUKE STREET extending north-eastwards to the junction at LAURIE STREET and ST ANDREWPLACE.  Carriageways and adjacent footways adopted for maintenance."
"Adams Well","Redford","Adopted","ADAMS WELLFrom REDFORD BANK extending northwards and north-eastwards to a cul-de-sac includingtwo cul-de-sacs extending north-westwards and two cul-de-sacs extending south-westwards.Carriageways and adjacent footways adopted for maintenance.  Excluding all landscaping."
"Addiston Crescent","Curriehill","Adopted","ADDISTON CRESCENTFrom DALMAHOY  CRESCENT northwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Addiston Farm Road","Riccarton/Muirwood","Adopted","ADDISTON FARM ROADFrom junction with RANSFIELD ROAD & GOGARMUIR ROAD extending southwards to A71.Carriageways and adjacent footways adopted for maintenance."
"Addiston Grove","Curriehill","Adopted","ADDISTON GROVEFrom ADDISTON CRESCENT extending north-west to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Addiston Mains","Riccarton/Muirwood","Private","ADDISTON MAINSPRIVATE ROAD: From the A71 - East Hermiston to Burnwynd northwards - an access road.  Not included for maintenance under the List of Public Roads."
"Addiston Park","Curriehill","Adopted","ADDISTON PARKFrom ADDISTON CRESCENT extending northwestwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Adelphi Grove","Portobello West","Adopted","ADELPHI GROVEFrom PORTOBELLO HIGH STREET extending south-westwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Including the strip of land between the pavement and former washhouse."
"Adelphi Place","Portobello West","Adopted","ADELPHI PLACEFrom PORTOBELLO HIGH STREET extending south-westwards, cul-de-sac with two cul-de-sac branches.Extending north-eastwards adjacent to No 36 and extending north-westwards adjacent to No 2 and running at the rear of Nos 56-75 Portobello High St. Carriageways and adjacent footways adopted for maintenance.North-west cul-de-sac includes 49m of footpath extending south-westwards from hammerhead and branching north-eastwards and south-eastward but excluding parking areas.Including footbridge to Rosefield Place."
"Admiral Terrace","Bruntsfield","Adopted","ADMIRAL TERRACEFrom WESTHALL GARDENS extending north-eastwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Admiralty Street","North Leith","Adopted","ADMIRALTY STREETFrom  NORTH JUNCTION STREET extending north-eastwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Includes parking area opposite No.17-23."
"Advocate's Close","Old Town","Adopted","ADVOCATE'S CLOSEFrom 357 HIGH STREETextending northwards end eastwatrds to COCKBURN STREET at No.6.Carriageways and adjacent footways adopted for maintenance."
"Affleck Court","Bughtlin","Private","AFFLECK COURTPRIVATE STREET.  On the north side of CRAIGIEVAR WYND.Not included for maintenance under the List of Public Roads."
"Afton Place","Trinity","Adopted","AFTON PLACEFrom GRANTON  ROAD extending eastwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Afton Terrace","Trinity","Adopted","AFTON TERRACEFrom WARDIE ROAD extending westwards to GRANTON ROAD.Carriageways and adjacent footways adopted for maintenance.Excluding private access lane and path adjoining at the gable end of No 1 and to the rear of Nos 1 to 12 AFTON TERRACE"
"Agnew Terrace","Warriston","Private","AGNEW TERRACEPRIVATE STREET.  From CONNAUGHT PLACE extending westwards to a cul-de-sac.Not included for maintenance under the List of Public Roads."
"Ainslie Place","Stockbridge","Adopted","AINSLIE PLACEFrom GLENFINLAS STREET running in a circle and returning to GLENFINLAS STREET.Carriageways and adjacent footways adopted for maintenance."
"Aird's Close","Old Town","Adopted","AIRD'S CLOSEFootways adopted for maintenance."
"Airlie Place","Broughton","Adopted","AIRLIE PLACEPart of BRANDON STREET.  From a point on the west side of BRANDON TERRACE, approximately20 metres north of HENDERSON ROW, extending northwards and comprising 5 houses.Carriageways and adjacent footways adopted for maintenance."
"Aitchison's Close","Tollcross","Private","AITCHISON'S CLOSEPRIVATE : From West Port southwards.  Formerly a close now access to flats with security door on street.Not included for maintenance under the List of Public Roads."
"Aitchison's Place","Portobello West","Adopted","AITCHISON'S PLACEFrom FIGGATE STREET to BEACH LANE.Carriageways and adjacent footways adopted for maintenance."
"Aitkenhill","Carrick Knowe","Private","AITKENHILLPRIVATE STREET.  From GORGIE ROAD opposite REID'S BUILDINGS extending south eastwards to a cul-de-sac.  Not included for maintenance under the List of Public Roads."
"Alan Breck Gardens","Clerwood","Adopted","ALAN BRECK GARDENSFrom DURAR DRIVE extending south-eastwards and north-eastwards to RANNOCH ROAD includingparking on north side between No.s9-13.  Carriageways and adjacent footways adopted for maintenance.   Includes remote footpath connecting with CLERWOOD WAY ."
"Albany Lane","Broughton","Adopted","ALBANY LANEFrom BARONY STREET extending southwards to ALBANY STREET.Carriageways and adjacent footways adopted for maintenance."
"Albany Street","Broughton","Adopted","ALBANY STREETFrom centre-line of DUBLIN STREET extending eastwards to BROUGHTON STREET.Carriageways and adjacent footways adopted for maintenance."
"Albany Street Lane","Broughton","Adopted","ALBANY STREET LANEFrom BROUGHTON STREET extending westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Albert Dock","North Leith","Private","Not included for maintenance under the List of Public Roads."
"Albert Place","Albion","Adopted","ALBERT PLACEPart of the south-east side of LEITH WALK. From the southside of ALBERT STREET extendingsouth-westwards to Leith Walk Railway Goods Station, opposite north end of CROALL PLACE.Carriageways and adjacent footways adopted for maintenance."
"Albert Road","South Leith","Private","ALBERT ROADPRIVATE STREET.  From BATH ROAD extending south-eastwards and north-eastwards to MARINEESPLANADE.Not included for maintenance under the List of Public Roads."
"Albert Street","Albion","Adopted","ALBERT STREETFrom LEITH WALK esxtending eastwards to EASTER ROAD.Carriageways and adjacent footways adopted for maintenance, Excluding cul-de-sac extending southwards between No's 33 to 41 Albert Street - responsibilityfor maintenance lies with the adjacent owners."
"Albert Terrace","Morningside","Adopted","ALBERT TERRACEFrom TIPPERLIN ROAD extending eastwards to southwest corner of ABBOTSFORD PARK.Carriageways and adjacent footways adopted for maintenance."
"Albion Gardens","Albion","Adopted","ALBION GARDENSFrom Albion Road south-west with branches south-east and north-west each ending in a hammerhead. Short spur north-east at rear of No.64.  Carriageways and adjacent footways are adopted for maintenance.  All parking is adopted except for that south of each hammerhead."
"Albion Place","Albion","Adopted","ALBION PLACEFrom ALBION ROAD extending north-eastwards to ST CLAIR STREET.Carriageways and adjacent footways adopted for maintenance."
"Albion Road","Albion","Adopted","ALBION ROADFrom EASTER ROAD extending eastwards and south-eastwards at ALBION PLACE andnorth-eastwards to a cul-de-sac. In two sections, one public and one private.PUBLIC SECTION: From EASTER ROAD extending eastward and south-eastwards at ALBION PLACE ending at No. 74.Carriageways and adjacent footways adopted for maintenance.PRIVATE SECTION: From No. 76 extending north-eastwards to a cul-de-sac."
"Albion Terrace","Albion","Adopted","ALBION TERRACEFrom ALBION ROAD extending south-westwards to the footbridge leading to BOTHWELL STREET.Carriageways and adjacent footways adopted for maintenance."
"Albyn Place","New Town","Adopted","ALBYN PLACEPart of the North side of QUEEN STREET: From the west side of WEMYSS PLACE extending westwardsto the east side of FORRES STREET.Carriageways and adjacent footways adopted for maintenance."
"Alcorn Rigg","Westerhailes","Adopted (ex housing)","ALCORN RIGGFrom Clovenstone Drive west branching north and south-west - a cul-de-sac.Carriageways and adjacent footways are adopted for maintenance."
"Alcorn Square","Wester Hailes","Adopted","ALCORN SQUAREFromCLOVENSTONE DRIVE extending southwards then splitting into two branches forming a loop.Carriageways and adjacent footways adopted for maintenance,including bellmouth to private courtyard."
"Alderbank Gardens","Polwarth","Adopted","ALDERBANK GARDENSFrom ALDERBANK TERRACE extending south-westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Alderbank Place","Polwarth","Adopted","ALDERBANK PLACEFrom  ALDERBANK TERRACE opposite SHAFTESBURY PARK extending south-westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Alderbank Terrace","Polwarth","Adopted","ALDERBANK TERRACEFrom SHAFTSBURY PARK extending north-westward and south-eastward ending in cul-de-sacs.All carraigeways and adjacent footways adopted for maintenance."
"Aldermoor Avenue","Firrhill","Prospectively Adopted","ALDERMOOR AVENUEPROSPECTIVELY ADOPTABLE: From Oxgangs Crescent northwest - a cul-de-sac with hammerhead.Including layby parking.  Not as yet included for maintenance under the List of Public Roads."
"Alemoor Crescent","Lochend","Partially Adopted","ALEMOOR CRESCENTFrom Alemoor Park south, west & north to rejoin Alemoor Park with branch east; loop road on west side & remotefootway to Hawkhill.    Street split into PROSPECTIVELY ADOPTABLE and PUBLICLY maintained sections.PUBLIC: (even No.s:26-86 & odd No.s 37-87incl). From Alemoor Park at No.19 south & east to the west boundary of No.24 Alemoor Crescent. Including loop road serving Nos 67 - 87. Including parking & remote footpathlinking Alemoor Crescent & Hawkhill.Carriageways and adjacent footways adopted for maintenance.PROSPECTIVELY ADOPTABLE: ( even Nos 2-24 & odd No.s 1-37incl).: From west boundary of No.24 Alemoor Crescent east and north-west to rejoin Alemoor Park. Including short spur east serving No.5-13.Not as yet included for maintenance under the List of Public Roads."
"Alemoor Park","Lochend","Adopted","ALEMOOR PARKFrom RESTALRIG ROAD Southwestwards finishing in a Cul-de-Sac and with loop road to the north servicing Nos 10 - 32. Street split into Public and Prospectively adoptable sections.PUBLIC SECTION: From east end and including loop road servicing Nos 10 - 32. Carriageways and adjacentfootways adopted for maintenance. Excluding remote footway north-westwards to loop road.PROSPECTIVELY ADOPTED SECTION: from RESTALRIG ROAD to the east end of the loop road servicingNos 10 - 32. Not as yet included for maintenance under the List of Public Roads."
"Alexander Drive","Slateford","Adopted","ALEXANDER DRIVEFrom GORGIE ROAD extending north-westwards and north-eastwards to a cul-de-sac including a loop on thewest side.Carriageways and adjacent footways adopted for maintenance."
"Alfred Place","Newington","Adopted","ALFRED PLACEPUBLIC SECTION: From MAYFIELD TERRACE extending northwards to northern gable ends of No.s 2&4.  Carriageways and adjacent footways adopted for maintenance.PROSPECTIVELY ADOPTABLE SECTION: From PUBLIC section northwards then branching south-west & north-east.  Not as yet included for maintenance under the List of Public Roads."
"Alison's Close","Tollcross","Private","ALISON'S CLOSE"
"Allan Park","Kirkliston","Adopted","ALLAN PARKFrom MAIN STREET extending northwards, branching eastwards to a cul-de-sac and westwards to a 'T' junction..Including a branch opposite No. 73 extending northwards, branching eastwards to a cul-de-sacand westwards to a 'T' junction running north/south.Carriageways and adjacent footways adopted for maintenance."
"Allan Park Crescent","Slateford Road","Adopted","ALLAN PARK CRESCENTFrom ALLAN PARK ROAD extending north-eastwards, south-eastwards and south-westwards to thesouthern boundary of No 59 ALLAN PARK CRESCENT.Carriageways and adjacent footways adopted for maintenance.Remote footway at No.69 running south-east to Craiglockhart Road North is public."
"Allan Park Drive","Slateford Road","Adopted","ALLAN PARK DRIVEFrom ALLAN PARK ROAD extending south-westwards, south-eastwards and north-eastwards, returning toALLAN PARK ROAD.Carriageways and adjacent footways adopted for maintenance."
"Allan Park Gardens","Slateford","Adopted","ALLAN PARK GARDENSFrom ALLAN PARK DRIVE extending north-westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Allan Park Loan","Slateford","Adopted","ALLAN PARK LOANFrom ALLAN PARK CRESCENT extending south-eastwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Allan Park Road","Slateford Road","Adopted","ALLAN PARK ROADFrom SLATEFORD ROAD extending north-eastwards and south-eastwards to the eastern end of ALLAN PARK DRIVE.Carriageways and adjacent footways adopted for maintenance."
"Allan Street","Stockbridge","Adopted","ALLAN STREETFrom RAEBURN PLACE a Cul-de-Sac extending southwards.Carriageways and adjacent footways adopted for maintenance."
"Allanfield","Broughton","Adopted","ALLANFIELDFrom BRUNSWICK ROAD extending northwards and westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance.  Including remote footpaths serving the entrances to flats adjacent to courtyardsand the footpaths serving blocks 19, 20, 23 and 24 and lay-by parking. Excluding parking courtyards and accesses outside No's 1, 4, 10 & 16and all landscaped and grass areas."
"Allanfield Place","Broughton","Adopted","ALLANFIELD PLACEPUBLIC: From Allanfield north-eastwards ending in a hammerhead with bellmouth to private carpark. Includes 2 parallel & 20 end-on parking bays on north side & 10 end-on bays on south side. Also includes 3 remote footways: 2 south to Brunswick Road & 1 north for approx 45m.Carriageways & adjacent footways are adopted for maintenance."
"Allendale","Hailes","Private","ALLENDALEPRIVATE STREET.  From SPYLAW STREET extending northwards to the Water of Leith then westwardsand southwards.Not included for maintenance under the List of Public Roads."
"Allermuir Court","Firrhill","Adopted","ALLERMUIR COURTPublic except parking areas."
"Allermuir Road","Colinton","Private","ALLERMUIR ROADPRIVATE STREET:  From WOODHALL ROAD extending south-eastwards to WEST CARNETHY AVENUE.Not included for maintenance under the List of Public Roads."
"Allison Place","Kirkliston","Adopted","ALLISON PLACEFrom ALMONDHILL ROAD extending  southwards to a cul-de-sac with a turning circle.Carriageways and adjacent footways adopted for maintenance."
"Alloway Loan","Liberton","Adopted (ex housing)","ALLOWAY LOANOff KIRK BRAE (Pedestrian) eastwards to GLEN VARLOCH CRESCENT.Includes 2 branches northwards to MOSSGIEL WALK and CUMNOR CRESCENT respectivelyand 1 branch southwards also pedestrian."
"Almond Avenue","Ingliston","Private","ALMOND AVENUE"
"Almond Bank Cottages","Cramond","Adopted","ALMOND BANK COTTAGESPart of WHITEHOUSE ROAD, opposite the northwest side of No. 2 CRAMOND AVENUE.Carriageways and adjacent footways adopted for maintenance.  Excluding lane to the east of number 5."
"Almond Court","Craigmillar","Private","ALMOND COURTPRIVATE STREET.  Part of the THISTLE FOUNDATION from GREENDYKES ROAD extendingnorth-eastwards to EAST COURT.Not included for maintenance under the List of Public Roads."
"Almond Green","Bughtlin","Adopted","ALMOND GREENFrom MAYBURY DRIVE extending northwards and eastwards to a loopIncluding a branch extending eastwards to a loop.Carriageways and adjacent footways adopted for maintenance. Excluding parking areas. Area between properties at No.s20-23 & the public footway running north-south  between No.s20-23 is private."
"Almond Grove","South Queensferry","Adopted","ALMOND GROVEFrom STEWART CLARK AVENUE extending eastwards to a cul-de-sacCarriageways and adjacent footways adopted for maintenance. Includes access south then west to lockups."
"Almond Road","Edinburgh Airport","Private","ALMOND ROAD"
"Almond Square","Bughtlin","Adopted","ALMOND SQUAREFrom MAYBURY DRIVE extending northwards and eastwards to a turning area.Carriageways and adjacent footways adopted for maintenance. Including remote footpaths at No's 4, 20 and 23 Excluding parking areas."
"Almondbank Terrace","Polwarth","Adopted","ALMONDBANK TERRACEFrom SHAFTSBURY PARK extending north-westwards and south-eastwards ending in cul-de-sacsCarriageways and adjacent footways adopted for maintenance.Including the Central Square between Nos. 14 & 15."
"Almondhill","Kirkliston","Private","ALMONDHILLPRIVATE: Remote footway from Almondhill Steading south-westwards to Almondhill Road.Not included for maintenance under the List of Public Roads."
"Almondhill Cottages","Kirkliston","Prospectively Adopted","ALMONDHILL COTTAGESPROSPECTIVELY ADOPTABLE: From East Mains Road north-westwards to Almondhill Footpath."
"Almondhill Road","Kirkliston","Adopted","ALMONDHILL ROADFrom QUEENSFERRY ROAD eastwards, south-eastwards and westwards, a cul-de-sac, including turning circle and parking areas.  Carriageways and adjacent footways adopted for maintenance. Grassed areas are not included for maintenance."
"Almondhill Steading","Kirkliston","Private","ALMONDHILL STEADINGPRIVATE ROAD: From ALMONDHILL COTTAGES north-westward turning west and then returning to  ALMONDHILL COTTAGES.  Not included for maintenance under the List of Public Roads."
"Almondside","Kirkliston","Adopted","ALMONDSIDEFrom STATION ROAD extending eastwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Alnwickhill Court","Alnwickhill","Adopted","ALNWICKHILL COURTFrom Howdenhall Drive extending westwards to a 'T' junction running southwards and northwards.Carriageways and adjacent footways adopted for maintenance.Public including all remote footways and interconnecting paths behind properties.Excluding all landscaping and parking areas."
"Alnwickhill Crescent","Alnwickhill","Adopted","ALNWICKHILL CRESCENTFrom ALNWICKHILL DRIVE extending south-eastwards then south-westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Public including all remote footways and interconnecting paths behind properties.Excluding all grassed areas."
"Alnwickhill Drive","Alnwickhill","Adopted","ALNWICKHILL DRIVEFrom ALNWICKHILL RD extending westwards and south-westwards to a point approx 35m west ofthe junction with ALNWICKHILL TERRACE.Carriageways and adjacent footways adopted for maintenance.  Public including all remote footways and interconnecting paths behind properties.Excluding parking areas. Also excluding private access to No.14."
"Alnwickhill Gardens","Alnwickhill","Adopted","ALNWICKHILL GARDENSFrom ALNWICKHILL DRIVE extending northwards terminating in a loop on the east side.Carriageways and adjacent footways adopted for maintenance. Public including all remote footways and interconnecting paths behind properties.Excluding all parking areas."
"Alnwickhill Grove","Alnwickhill","Adopted","ALNWICKHILL GROVEFrom ALNWICKHILL DRIVE extending southwards for approximately 65mCarriageways and adjacent footways adopted for maintenance. Public including all remote footways and interconnecting paths behind properties."
"Alnwickhill Loan","Alnwickhill","Adopted","ALNWICKHILL LOANFrom ALNWICKHILL DRIVE extending southwards for approximately 66m.Carriageways and adjacent footways adopted for maintenance.Public including all remote footways and interconnecting paths behind properties."
"Alnwickhill Park","Alnwickhill","Adopted","ALNWICKHILL PARKFrom ALNWICKHILL DRIVE extending southwards terminating in a loop on the west side.Carriageways and adjacent footways adopted for maintenance. Public including all remote footways and interconnecting paths behind properties.Excluding parking areas."
"Alnwickhill Road","Alnwickhill","Adopted","ALNWICKHILL ROADFrom LIBERTON BRAE extending southwards to HOWDEN HALL ROAD.Carriageways and adjacent footways adopted for maintenance."
"Alnwickhill Terrace","Alnwickhill","Adopted","ALNWICKHILL TERRACEFrom ALNWICKHILL DRIVE extending northwards and eastwards to a turning area.Carriageways and adjacent footways adopted for maintenance.Public including all remote footways and interconnecting paths behind properties.Excluding end-on parking outside No.s 15 and 16."
