Name,News,Blog,Details,Address,Postcode,Telephone,Email,Facebook,Twitter,"Opening hours","Bus routes",Location,Facilities,"Learning and Information Point","Bookbug Sessions",Rhymetimes,"English Classes","Book groups","Other events","Business Workshops","Room hire","Room hire in Central Library","Libraries home page"
"Currie Library",,,,"210 Lanark Road West","EH14 5NX","0131 529 5609",currie.library@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Currie-Library/52095364562 "">Catch up with the latest news on our Facebook page</a>",,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm","Lothian 44, 45. First Bus 44","55.895716,-3.311398","Free wifi
Car park
Disabled access
Community room for hire (see below)
Display/exhibition space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Gaming consoles
Photocopier
Fax machine
Currie & Balerno News archive
Local history displays from the Local History Society
Public access telephone for Council services
Library Link",,"A free event for 0 to 4 year olds and their parents/carers. Thursdays and Fridays from 10.30 - 11.00am",,,"First Wednesday of every month at 7-8pm","Chatterbooks reading group for 4 - 12 year olds: 3rd Tuesday of every month from 3.45 - 4.45pm and 3rd Thursday of the month from 3.30 - 4.30pm
Parent Information Point: Thursdays from 2.00 - 2.30pm
Gordon Macdonald MSP surgery: third Monday of the month at 6.30pm
Mother and baby group - drop in every Thursday from 2 - 4pm
Learn IT beginners' computer classes
Tiger tales: stories for children aged 5 - 8, every Friday from 2 - 2.30pm",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
charges to be identified within project budget.
",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Drumbrae Library Hub",,,,"81 Drum Brae Drive","EH4 7FE","0131 529 5244",drumbrae.library@edinburgh.gov.uk,"<a href=""http://www.facebook.com/pages/Drumbrae-Library-and-Community-Hub/120887931319361"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon & Wed 8.30am-8pm. Tue 10am-8pm. Thurs & Fri 8.30am-5pm. Sat 10am-5pm","Lothian 1, 21, 26","55.9552788074474,-3.2871437072753906","Free wifi
Self service
Access to Council services and the Police Safer Neighbourhood Team
Cafe area offering tea, coffee, soup, home baking and a range of snacks and sandwiches 
Community meeting rooms (contact us for details)
Day care centre
Toilets
Baby changing
Full disabled access and lifts
",,"Singing sessions for the under 5s, every Wednesday and Saturday, 10.30am to 11am",,,"Book Club – Last Monday of the Month 6-7.30pm (places limited please contact for more information)
Parents'/ Carers' Book Club: meets monthly (second Wednesday of each month, 6:30 - 7:30 pm)
Chatterbooks – Mondays 4-5pm. Fortnightly Book group for young readers ages 8-11
","PARENT INFORMATION POINT - advice and information for parents
LEARN IT - computer classes for beginners and IT buddy sessions (contact us for details)
Hubbub – Tuesdays 5.30pm – Games and Activities for ages 12-16
Funky Fridays – Fridays 2-4pm – Weekly crafts and activities for ages 6+
Coderdojo – Saturdays 2-4pm - Fortnightly computer programming club for ages 10-16 
Gamecraft! – Wednesdays 5.30pm - Weekly Game design club for Ages 12+
Film Club – Third Wednesday of the month – 6.45pm. (please contact for individual showings)
Family Film Club – Regularly showing children’s and family films (please contact for individual showings)
","Drumbrae Library is a <a href=""http://www.edinburgh.gov.uk/info/20012/libraries/114/business_hubs"" rel=""nofollow""><strong>Business Hub</strong></a> which provides support and advice for starting or growing your business. Professional workshops are run by the Business Gateway at the Hub and you can also access a fantastic range of databases and up-to-date business books. <a href=""http://www.bgateway.com/events?location=Edinburgh?expression=stockbridge+leith+drumbrae&location=-999&date=99&submit.x=22&submit.y=4&submit=Go&site=202 "" rel=""nofollow"">Check the Business Gateway site for details of workshops taking place in the library</a>",,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Edinburgh and Scottish Collection","We’ve discovered a structural problem with an area of central library that is not open to the public.
We’ve closed this area to staff while checks are carried out. Until these checks are complete and remedial work carried out staff cannot fetch any of the books or other material stored in this space. This includes most of our material relating to Edinburgh, including Valuation Rolls and Electoral Registers, as well as our older Scottish material. 
We’re sorry for any inconvenience caused. Please speak to staff to see if alternatives can be arranged.
",,"The place to find out about Scotland and its capital. Fantastic heritage collections cover history, maps, literature, local and family history as well as up to date information about your local area.","George IV Bridge","EH1 1EG","0131 242 8070",central.edinburghandscottish.library@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>","<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian 23, 27, 42, 42, 45, 67","55.94847893191394,-3.192472457885742","Free wifi
Study space
Self issue
Photocopier",,,,,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Fountainbridge Library",,,,"137 Dundee Street","EH11 1BG","0131 529 5616",fountainbridge.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/pages/Fountainbridge-Library/129067145526?ref=pb "" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","Lothian 1, 34, 35 (direct) 22, 30, 2, 3, 4, 25, 33, 44, 27 (nearby). First Bus: 27, 28 (nearby)","55.940044,-3.218765","Free wifi
Disabled access
Community room for hire (see below)
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchair
Induction loop
Housebound service (within our boundary)
Learning Centre (12 computers) - please note that the computers are very busy on Monday afternoons and Tuesday and Friday mornings. 
Library Link
Fax service
Photocopying",,"A free event for 0 to 5 year olds and their parents/carers, every Saturday at 10.30, alternate Thursdays at 10.30 and the last Friday of the month at 11.00.",,,"Two groups: one on the second Monday of every month at 6.30pm and another on the third Monday of every month at 6.30pm
We also have a 'Chatabout' book group for adult students learning English as a second language at intermediate level. Second Tuesday of the month at 10am","Children's crafts (incorporating Tiger Tales): Saturdays 3 - 4pm 
Chatterbooks continues on 3rd Wednesday of the month during term time 3:45 - 4:45 for children aged 8 - 10
We have an additional 'Chatterbooks +' group for children aged 10+,  on fourth Wednesday of each month during term time, 3:45 - 4:45pm
Councillor's surgery
Writers' group
Stevenson College ESOL Group 
Learn IT computer classs and drop-in IT help",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
Charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Gilmerton Library",,,,"13 Newtoft Street","EH17 8RG","0131 529 5628",gilmerton.library@edinburgh.gov.uk,"<a href=""http://www.facebook.com/pages/Gilmerton-Library/55137752133#!/pages/Gilmerton-Library/55137752133?sk=wall "" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a> ",,"Mon & Wed 1-8pm. Tues & Fri 10am-5pm. Sat 10am-2pm
","Lothian 3, 7 18, 29","55.905323,-3.134162","Free wifi
Disabled access
Induction (hearing) loop
Car park
Community room for hire (see below)
Plasma screen
Library Link
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles",,"A free event for 0 to 4 year olds and their parents/carers. Every other Friday from 10.30 - 11.15am
",,,"Last Friday of every month 11am-12 noon
Last Wednesday of the month at 6.30pm","Story time for under fives: last Tuesday of the month at 10.30am
Councillors' surgeries
Friday Fun Club for kids: fortnightly from 2.30 - 3pm
NHS Lothian Stop Smoking Group; Fridays from 1.00 - 3.00pm
Learn IT classes for beginner computer users",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Granton Library",,,,"29 Wardieburn Terrace","EH5 1DD","0131 529 5630",granton.library@edinburgh.gov.uk," <a href="" http://www.facebook.com/grantonlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","Lothian 8, 14, 19, 16","55.976933,-3.224764","Free wifi
Disabled access
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Induction loop
fax machine
Photocopier
Scanner",,"A free event for 0 to 4 year olds and their parents/carers. Every Thursday from 11am - 12noon",,,,"Chatterbooks reading group for 4 - 12 year olds: every other Monday from 3.30 - 4.30pm during term time.
Learn IT beginners' computer classes
The Knitting Club meets every Monday at 6.30pm. Beginners welcome.
Housebound service.
Homework Help Club on Mondays, Tuesdays and Thursdays after school, and on Wednesdays at 7pm
Crafty Fridays for kids at 2pm
Saturday Craft Club (for all ages): first and third Saturday of the month at 11.30am
Tiny Sticky Fingers: crafts and stories for 3 -5 yr olds. Second and fourth Saturdays of the month at 11.30am 
Class visits
Get in touch if you would like to bring a nursery or toddler group to the library for a Cuddly Bear Storytime visit (or we can visit you!) ",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Kirkliston Library",,,,"16 Station Road","EH29 9BE","0131 529 5510",kirkliston.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/kirklistonlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","First Bus 38","55.955263,-3.401527","Free wifi
Disabled access
Car park
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Induction loop
Libraries 4U young people's section",,"A free event for 0 to 4 year olds and their parents/carers. Fridays 10.30-11am",,,"Last Wednesday of every month from 7-8pm
Chatterbooks reading group for 8 - 12 year olds","Teen cafe for 12+ years on every Monday 6.00-7.30pm 
Family crafts (all ages welcome) every Friday 2.00 - 3.00pm
Learn IT beginners' computer classes",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Leith Library",,"<a href=""http://leithlibrary.wordpress.com/"" rel=""nofollow"">You can also read about all that’s happening here on the 'Leith Library' blog</a>",,"28-30 Ferry Road","EH6 4AE","0131 529 5517",leith.library@edinburgh.gov.uk," <a href="" http://www.facebook.com/leithlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>","<a href=http://twitter.com/leithlibrary/ rel=”nofollow”>@leithlibrary</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian 7 ,10, 14, 21, 34","55.975278,-3.180773","Free wifi
Self service
Disabled access
Car park
Community room for hire (see below)
Library Link
Display/exhibition Space for public use
Wheelchairs
Gaming consoles",,"A free event for 0 to 4 year olds and their parents/carers. First and third Tuesday of every month at 10.30-11.15am. Second and fourth Wednesday of every month: 10.30-11.15am",,,"Second Tuesday of the month at 6.45pm ","Knitting group every Wednesday at 6.30pm
Friday Crafts for children up to 10 years old  - 2.30 - 3.30pm
MSP's surgery
Learn IT beginners' computer classes",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
Charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"McDonald Road Library",,,,"2 McDonald Road","EH7 4LU","0131 529 5636",mcdonaldroad.library@edinburgh.gov.uk,"<a href=""http://www.facebook.com/mcdonaldroadlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a> ",,"Mon, Tue, Wed 10am-8pm. Thu, Fri, Sat 10am-5pm. Sun 1-5pm
","Lothian 7, 10, 12, 14, 16, 22, 25, 49. Edinburgh Coach Lines 13","55.962668,-3.183913","Free wifi
Self service
Disabled access 
Community room for hire (see below)
Library Link 
Toilets 
Baby changing facilites
Gaming club 
Induction loop 
Community Connections - dedicated community information area","Displays featuring information on ‘Environment and Conservation’, ‘Learning,’ ‘Volunteering’, ‘What’s On Locally’, ‘Advice for Older People, ‘Housing’, and ‘Business & Development’","A free event for 0 to 4 year olds and their parents/carers, Fridays from 10.30 to 11.15am.
Polish Bookbug sessions are on Mondays from 10.30 - 11.15am
",,"ESOL Classes are available from Edinburgh college. They take place in our library every Wednesday and Thursday. If you wish to book a place on these  courses you need to contact Duncan Place. Tel: 0131 535 4630 Email: caroline.battes@edinburghcollege.ac.uk We have ESOL Crisis English classes from 1pm to 3pm on Thursdays, you are welcome to turn up on the day without appointment.","Join Anna for her book group of fantastic fiction last Monday of every month at 6.30-7.30pm. Contact the library as there may be a waiting list. 
The 'Found in Translation' group for contemporary European literature translated into English meets every 3rd Monday of the month at 6pm - contact the library to put your name down.
We also run an ESOL reading group: 'Chatabout' on the last Thursday of the month from 10.30 - 11.30am. Contact wendy.pearson@edinburgh.gov.uk or call 0131 242 8022 for details
Our independent book group with Chris and friends, new members are welcome. Please get in touch via email: edinburghbookgroup@gmail.com","Gaming for our Teenagers every Wednesday 5.30pm, all teens are welcome to join, just turn up on the night.
Craft for children (Fridays 3-4pm, drop in)
Councillors' surgeries
Learn IT beginners' computer classes
","McDonald Road Library is a <a href=""http://www.edinburgh.gov.uk/info/20012/libraries/114/business_hubs"" rel=""nofollow""><strong>Business Hub</strong></a> which provides support and advice for starting or growing your business. Professional workshops are run by the Business Gateway at the Hub and you can also access a fantastic range of databases and up-to-date business books. <a href=""http://www.bgateway.com/events?location=Edinburgh?expression=stockbridge+leith+drumbrae&location=-999&date=99&submit.x=22&submit.y=4&submit=Go&site=202 "" rel=""nofollow"">Check the Business Gateway site for details of workshops taking place in the library</a>","Commercial:
3 hour block: £82.40, then £15 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £22, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
For partner projects, charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Mobile Libraries",,,"The mobile library service offers a window to the full range of library services. You can join on board and choose from a wide range of books for children and adults. There are over 2,000 books and talking books to choose from - or request any of our 500,000 loan items for free and collect them on your next visit.
All of our mobile library buses are fully accessible and wheelchair friendly.",,,"0131 529 5683",access.services@edinburgh.gov.uk,"<a href=""http://www.edinburgh.gov.uk/directory/16/mobile_library_stops"" rel=""nofollow"">Find your nearest mobile library stop</a> ",,,,,,,,,,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Moredun Library",,,,"92 Moredun Park Road","EH17 7HL","0131 529 5652",moredun.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/moredunlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","Lothian 8, 18 (direct), 3, 29, 33, 49 (walking distance)","55.913705,-3.134901","Free wifi
Disabled access
Car park
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Gaming consoles
Induction Loop
",,"A free event for 0 to 4 year olds and their parents/carers. Every Thursday from 11.00 - 11.30am",,,"Last Thursday of the month at 10.15am
","Councillor's surgery
Children and young people's activities:
Adult craft group - first Thursday of the month, 10.15 - 11.15am
Craft events for under 12s - every Monday and Wednesday from 6.30pm and every Friday from 2.00 - 2.30pm",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Morningside Library ",,,,"184 Morningside Road, EH10 4PU","EH10 4PU","0131 529 5654",morningside.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/morningsidelibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>","<a href=""http://twitter.com/south_team"">@south_team<a/>","Monday - Wednesday: 10am - 8pm
Thursday -Saturday: 10am - 5pm","Lothian 5, 11, 15, 15A, 16, 23. Stagecoach 100, 101, 102","55.929017,-3.209807","Free wifi
Self service
Disabled access
Community Rooms for hire (see below)
Toilets (including for disabled users)
Baby changing facilities
x-boc and PS3 gaming consoles
Bookable learning centre with 8 pcs 
Photocopier 
Plasma screen
Bookable art gallery - ask staff for details
Morningside Heritage Association display",,"Every Tuesday: 10.30 - 11.00am ",,,"Two groups meeting on first Thursday of the month at 2.30pm and last Monday of the month at 6.30pm. Ask staff for details. ","Cuddly Bear's storytime for under fives - Thursdays at 10.30am
Children's crafts once a month on Friday afternoons. 
Learn IT beginners computer class
Library Link fortnightly on Friday mornings
Craft group - every Wednesday, 6.30 - 7.45pm",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
Charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Muirhouse Library",,,,"15 Pennywell Court","EH4 4TZ","0131 529 5528",muirhouse.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/muirhouselibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm. Sun 1 - 5pm
","Lothian 8, 16, 17, 24, 27, 37","55.97128,-3.253459","Free wifi
Disabled access
Car park
Library Link
Community room for hire
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Induction loop
Bookable learning centre with 10 pcs",,"A free event for 0 to 4 year olds and their parents/carers. Every Tuesday and Friday at 10.30am",,,,"Breakfast Club for kids, Saturdays at 10.30am
Housebound rounds
Councillors' surgeries
Muirhouse Youth Development Group (www.mydg.org.uk)
""Make Your Own Mark"" Art Club for teens. Every Wednesday 6.00 - 7.30pm",,"Commercial:
3 hour block: £82.40, then £15 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £22, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
For partner projects, charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Music Library","We’ve discovered a structural problem with an area of central library that is not open to the public.
We’ve closed this area to staff while checks are carried out. Until these checks are complete and remedial work carried out staff cannot fetch music scores, older CDs and DVDs or other material stored in this space.
We’re sorry for any inconvenience caused. Please speak to staff to see if alternatives can be arranged.
",,"The Music Library contains the largest collection of publicly accessible material on music and dance in Scotland. Whether you need help identifying a piece of music or want to take up the didgeridoo, expert staff are on hand to help.
We also offer music streaming, a soundproof pod, and a digital piano.","George IV Bridge","EH1 1EG","0131 242 8050",central.music.library@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>","<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon - Wed: 10am - 8pm, Thu - Sat: 10am - 5pm",,"55.94837439320652,-3.1923340674591145",,,,,,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Newington Library",,,,"17-21 Fountainhall Road","EH9 2LN","0131 529 5536",newington.library@edinburgh.gov.uk,"<a href=""http://www.facebook.com/pages/Newington-Library/129335230458"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm. Sun 1 - 5pm","Lothian 5 (to Grange Road), 42, 67 (to Mayfield Road) 3, 7, 8, 29, 31 and 49 (to Mayfield Gardens)","55.93249,-3.179513","Free wifi
Self service
Disabled access
Car park
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Induction Loop
Patio area
Photcopier",,"A free event for 0 to 4 year olds and their parents/carers. Every Wednesday from 11.00 - 11.30am and 2.00 - 2.30pm and on the first Saturday of the month at 11am.
Baby Bookbug session for 12 months and under: every Monday, 11.00 - 11.30am (term time only)",,,"First Tuesday of every month at 6.45pm and third Wednesday of every month at 6.45pm","Children's craft session: 2.30pm-3.30pm every Friday (term-time only)
Learn IT beginners' computer classes
'Get stitched' knitting and sewing group meets every Wednesday at 6.30pm - beginners and experienced knitters welcome!
Councillor's surgery 3rd Monday of the month
The Italian Circle meets every other Tuesday at 6.30pm for conversation in Italian with occasional excursions to see Italian films. ",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Oxgangs Library",,,,"343 Oxgangs Road North","EH13 9LY","0131 529 5549",oxgangs.library@edinburgh.gov.uk,"Get the latest news on <a href="" http://www.facebook.com/oxgangslibrary"" rel=""nofollow""><strong>Facebook</strong></a>",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm. Sun 1-5pm
","Lothian 4, 5, 16, 18, 27","55.905359,-3.223403","Free wifi
Self service
Disabled access
Car park
Community room for hire (see below)
Display/exhibition space for public use
Toilets
Toilets for disabled users
Baby Changing facilities
Induction Loop",,"These are free events for 0 to 3 year olds and their parents/carers, taking place alternate Thursdays and Fridays 10.30 - 11.00am and on the first Saturday of the month 10.30 - 11.00am ",,,"First Wednesday of every month at 10.15-11am and 6.30-7.30pm
Our book group for people with visual impairment meets on the second Tuesday of the month from 3.00 - 4.30pm
Books, Brew and Blether – Sundays 1.30-2.30 – fortnightly
Yap and Yarn – Tuesdays 10.30 – 12.00","Chatterbooks book group for 7 - 12 year olds: first Monday of the month from 4 - 5pm
Storytimes for ages 2-5: Mondays 10.30-11.00; Saturdays 11.00 -11.30 (apart from 1st Saturday in the month)
Silver Surfer Drop-in, every Thursday 4 - 5pm
Job club, every Tuesday 1- 3pm
Councillor's surgery
Children's arts and crafts - Fridays from 2.30-3.30pm
Library Link coffee mornings every other Wednesday / Thursday / Friday from 10.30
Homework Help Drop-in: Mon - Thurs, 3.30 - 4.30 (term time only)
Job Club – Tuesdays 1-3pm
Breastfeeding cafe – Wednesdays 1.30-2.30
Learn IT beginners' computer classes
Family History Classes
Parenting classes
",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
Charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Piershill Library",,,,"30 Piersfield Terrace","EH8 7BQ","0131 529 5685",piershill.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/piershilllibrary"" rel=""nofollow""><strong>Get the latest news on our Facebook page</strong></a>",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian 4, 5 ,15, 26","55.955079,-3.142552","Free wifi
Self service
Disabled access
Community room for hire (see below)
Plasma screen
Library Link
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Induction Loop
Photobooth",,"A free event for 0 to 4 year olds and their parents/carers. Every Wednesday from 2.00 - 2.30pm.
Polish rhymetimes every second Saturday at 11am",,,"Mondays, fortnightly at 6.30pm
","Children's crafts: last Friday of the month, 3 - 4pm
Storytime with Jim and the Magic Story Time rug is every Friday at 10.30am. There's another storytime every other Saturday at 11am
Job Club: Tuesdays 1.30 - 3.30pm 
NHS Stop Smoking sessions Wednesday from 10.30 - noon and 5.30 - 7.30pm
Councillors' surgeries
Learn IT beginners' computer classes",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
Partner projects:
Charges to be identified within project budget.",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
