"Sheltered Housing Complex Name / Address",Postcode,Provider,Area,"Web Page Link","No of Units","Unit Types","Community Room",Laundry,Guestroom,Location
"Saunders Court","EH12 7TE","<a href="" http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Corstorphine,"<a title=""Saunders Court"" href=""http://www.bield.co.uk/e6fd80dbbb8640889ed7c48619297ff4?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Saunders Court</a>",35,"Studio Flats:		0
1 Bedroom Flats:		35
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalow:	0
2 Bedroom Bungalow:	0
",No,No,Yes,"55.93890181717043,-3.290855884552002"
"Shore Road","EH30 9RE","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>","South Queensferry",,42,"Studio Flats:		0
1 Bedroom Flats:		21
2 Bedroom Flats:		21
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.9916126557152,-3.402543067932129"
"Southhouse Avenue","EH17 8BZ","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Southhouse,,49,"Studio Flats:			0
1 Bedroom Flats:		44
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			5
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.9014478380309,-3.1552648544311523"
"St Colms, 154 Dalry Road","EH11 2BQ","<a href="" http://www.edinburgh.gov.uk/directory_record/179344/dunedin_canmore_housing""> Dunedin Canmore Housing </a>","Gorgie / Dalry",,23,"Studio Flats:		0
1 Bedroom Flats:		21
2 Bedroom Flats:		1
3 Bedroom Flats:		1
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.942389867469636,-3.2218480110168457"
"St Margaret's Court","EH14 5DG","<a href="" http://www.edinburgh.gov.uk/directory_record/179345/hanover_scotland_housing_association""> Hanover (Scotland) Housing Association </a>","Juniper Green","<a href="" http://www.hsha.org.uk/Property%20Search/Pages/st-margarets-court-edinburgh.aspx ""> St Margaret’s Court </a>",28,"Studio Flats:		0
1 Bedroom Flats:		27
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.90382961753162,-3.2836246490478516"
"Stenhouse Mill Wynd","EH11 3XX","<a href="" http://www.edinburgh.gov.uk/directory_record/179344/dunedin_canmore_housing""> Dunedin Canmore Housing </a>",Stenhouse,,26,"Studio Flats:		0
1 Bedroom Flats:		26
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.92975508440228,-3.255321979522705"
"Stewart Road","EH14 5SH","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Currie,,19,"Studio Flats:		0
1 Bedroom Flats:		19
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.89232836073798,-3.3228063583374023"
"Stuart Court","EH12 8UU","<a href="" http://www.edinburgh.gov.uk/directory_record/179341/cairn_housing_association""> Cairn Housing Association </a>","East Craigs","<a href="" http://www.cairnha.com/Upload/Documents/Stuart%20Court%20Leaflet.pdf""> Stuart Court </a>",54,"Studio Flats:		19
1 Bedroom Flats:		30
2 Bedroom Flats:		5
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,Yes,"55.95025710655518,-3.302410840988159"
"Sunnyside Court, South Oswald Road","EH9 2HH","<a href="" http://www.edinburgh.gov.uk/directory_record/179345/hanover_scotland_housing_association""> Hanover (Scotland) Housing Association </a>",Newington,"<a href="" http://www.hsha.org.uk/Property%20Search/Pages/sunnyside-court-edinburgh.aspx ""> Sunnyside Court </a>",51,"Studio Flats:		24
1 Bedroom Flats:		26
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.928174319770996,-3.195669651031494"
"Sutherland Street","EH12 5HP","<a href="" http://www.edinburgh.gov.uk/directory_record/179348/manor_estates_housing_association""> Manor Estates Housing Association </a>",Roseburn,,41,"Studio Flats:		0
1 Bedroom Flats:		41
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.94436959434453,-3.226708173751831"
"The Quarries, Hyvot Mill Road","EH17 8FZ","<a href="" http://www.edinburgh.gov.uk/directory_record/179344/dunedin_canmore_housing""> Dunedin Canmore Housing </a>",Gilmerton,,58,"Studio Flats:		0
1 Bedroom Flats:		58
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.90518885038311,-3.140040636062622"
"Thomson's Court","EH1 2LJ","<a href="" http://www.edinburgh.gov.uk/directory_record/179346/hillcrest_housing_association""> Hillcrest Housing Association </a>","Old Town",,22,"Studio Flats:		0
1 Bedroom Flats:		18
2 Bedroom Flats:		4
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.94770996623692,-3.1960129737854004"
"Thorntree Street","EH6 8PU","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Leith,"<a title=""Thorntree Street"" href=""http://www.bield.co.uk/9a69170ba9f4400caa79d85edec8a4c0?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Thorntree Street</a>",12,"Studio Flats:		8
1 Bedroom Flats:		4
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.9678782460154,-3.1708860397338867"
"Tressilian Gardens","EH16 6BD","<a href="" http://www.edinburgh.gov.uk/directory_record/179348/manor_estates_housing_association""> Manor Estates Housing Association </a>",Gilmerton,,38,"Studio Flats:		0
1 Bedroom Flats:		37
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.91799697938881,-3.161144256591797"
"Veitch's Square","EH4 1HS","<a href="" http://www.edinburgh.gov.uk/directory_record/179345/hanover_scotland_housing_association""> Hanover (Scotland) Housing Association </a>",Stockbridge,"<a href="" http://www.hsha.org.uk/Property%20Search/Pages/veitchs-square-edinburgh.aspx ""> Veitch’s Square </a>",49,"Studio Flats:		0
1 Bedroom Flats:		48
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.95876237991392,-3.208651542663574"
"Wardieburn Drive","EH5 1BX","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Wardie,,24,"Studio Flats:		0
1 Bedroom Flats:		24
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.97679386349016,-3.2238543033599854"
"Wesley Court","EH5 1LG","<a href="" http://www.edinburgh.gov.uk/directory_record/179350/methodist_housing_association""> Methodist Housing Association </a>",Granton,"<a href="" http://www.mha.org.uk/hs02.aspx ""> Wesley Court </a>",30,"Studio Flats:			0
1 Bedroom Flats:		23
2 Bedroom Flats:		6
3 Bedroom Flats:		1
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,Yes,"55.97526304498902,-3.2370829582214355"
"West Adam Street","EH8 9SX","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>",Southside,,22,"Studio Flats:			0
1 Bedroom Flats:		20
2 Bedroom Flats:		2
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.94715125503401,-3.1834280490875244"
"Willowbrae Road","EH8 7EZ","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Northfield,,30,"Studio Flats:		0
1 Bedroom Flats:		8
2 Bedroom Flats:		2
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			22
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.953975390263246,-3.1471645832061768"
Woodthorpe,"EH13 0AA","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Colinton,,169,"Studio Flats:		49
1 Bedroom Flats:		89
2 Bedroom Flats:		21
3 Bedroom Flats:		10
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.90712537419988,-3.2498931884765625"
