Name,Neighbourhood(s),Details,Approved,Download
"Cramond conservation area",North,"The Cramond Conservation Area Character Appraisal emphasises the enclosed, compact and informal spatial structure, the vernacular style of many of the buildings, the predominance of traditional building materials, and the prevalence of residential uses.",30/01/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1101/cramond_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Currie conservation area",South-west,"The Currie Conservation Area Character Appraisal emphasises the vernacular form of development, the natural setting of The Water of Leith and the predominant residential use.",26/09/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/767/currie_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Dalmeny conservation area",West,"The Dalmeny Conservation Area Character Appraisal emphasises the rural character of this village conservation area, the landmark buildings, predominant vernacular building forms and materials, and the mainly residential character.",01/08/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/768/dalmeny_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Dalry Colonies Conservation Area",South-west,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Dean conservation area","North, Central, West","The Dean Conservation Area Character Appraisal emphasises the distinctive village character of the streetscape within Dean Village, the heritage of high quality buildings, the limited range of building materials, the predominance of residential uses, and the importance of the Water of Leith.",02/10/2003,"<a href=""http://www.edinburgh.gov.uk/downloads/file/766/dean_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Duddingston conservation area","East, South","The Duddingston Conservation Area Character Appraisal emphasises the substantial green setting which provides a rural appearance, the landscaped setting around Duddingston House, the predominance of traditional building materials and the mainly residential use.",07/02/2002,"<a href=""http://www.edinburgh.gov.uk/downloads/file/761/duddingston_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Gilmerton conservation area",South,"The Gilmerton Conservation Area Character Appraisal emphasises the predominance of a limited number of building types within the historic core, the strong representation of buildings in the vernacular tradition displaying domestic scale and attractive proportions, and the predominance of traditional materials (stone, wet dash, Scots slate and pantiles) providing a unifying element within the townscape.",01/08/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/756/gilmerton_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Grange conservation area",South,"The Grange Conservation Area Character Appraisal emphasises the high quality stone built architecture of restricted height enclosed by stone boundary walls, the uniformity resulting from the use of local grey sandstone for buildings and boundary walls and Scots slate for roofs, the formal and picturesque detached and semi-detached dwellings of generous scale and fine proportions,  the low density grain of the area, and the spacious and uncluttered streetscape.",2014,"<p><a href=""http://www.edinburgh.gov.uk/download/downloads/id/4062/grange_conservation_area_character_appraisal_final"">Download Character Appraisal</a></p>"
"Hawthornbank (North Fort Street) Colonies Conservation Area","City Centre and Leith",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Hermiston conservation area",South-west,"The Hermiston Conservation Area Character Appraisal emphasises the predominant building form of small-scale, vernacular terraced cottages, the consistency in the use of traditional building materials, the linear street pattern and intimate grouping of the buildings, the uncluttered streets, and the key landscape and amenity feature of the Union Canal.",11/05/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1096/hermiston_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Inverleith conservation area",North,"The Inverleith Conservation Area is characterised by extensive blocks of public and private open space bounded by areas of Georgian and Victorian villas, with key views southwards towards the city skyline providing a distinctive setting.",10/08/2006,"<a href=""http://www.edinburgh.gov.uk/downloads/file/746/inverleith_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Juniper Green conservation area",South-west,"The Juniper Green Conservation Area Character Appraisal emphasises the traditional village character, and the  wide and interesting mix of architectural styles and forms.",09/08/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/762/juniper_green_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Kirkliston conservation area",West,"The Kirkliston Conservation Area Character Appraisal emphasises the predominant building form of small-scale, mainly symmetrical vernacular cottages and houses with simple pitched roofs, providing a unified character; the consistency in the use of traditional materials and the prevalence of residential use.",26/09/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/769/kirkliston_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Leith conservation area",North,"The Leith Conservation Area Character Appraisal emphasises the areas unique and complex architectural character, the concentration of buildings of significant historic and architectural quality, the unifying effect of traditional materials, the multiplicity of land use activities, and the importance of the Water of Leith and Leith Links for their natural heritage, open space and recreational value.",18/04/2002,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1099/leith_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Lochend (Restalrig Park) Colonies Conservation Area",East,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Marchmont, Meadows & Bruntsfield conservation area","South, South-west","The Conservation Area is characterised by tenemental housing, mostly in the Scots Baronial style.",18/05/2006,"<a href=""http://www.edinburgh.gov.uk/downloads/download/216/conservation_area_character_appraisals"">Download Character Appraisal</a>"
"Merchiston and Greenhill conservation area",South,"The Merchiston & Greenhill Conservation Area Character Appraisal emphasises the consistent domestic grain, scale and building mass; the high quality stone built architecture of restricted height, generous scale and fine proportions enclosed by stone boundary walls and hedges which define the visual and physical seclusion of the villas; the uniformity resulting from the predominant use of traditional building materials; and the predominance of residential uses within the area.",03/04/2003,"<a href=""http://www.edinburgh.gov.uk/downloads/file/749/merchiston_greenhill_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Morningside conservation area",South,"The Morningside Conservation Area has a  predominantly residential area characterised by Victorian and Edwardian villas with pockets of tenemental development at Woodburn Terrace and Comiston Road.",04/10/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1104/morningside_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Morton Mains conservation area",South-west,"The Morton Mains Conservation Area Character Appraisal emphasises the significance of local topography and landscape to the form and setting of the conservation area, the vernacular and rural nature of the farm buildings contrasting with the classical appearance of Morton House, the extensive views out to the surrounding countryside, mature trees and woodland as a key feature and the use of traditional building materials, predominantly sandstone and Scots slate.",27/03/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/764/morton_mains_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"New Town conservation area","Central, North, West","The New Town Conservation Area represents a planned urban concept of European significance with an overriding character of Georgian formality. Stone built terrace houses and tenements, built to the highest standards, overlook communal private gardens; to the rear are lanes with mews buildings, many of which are now in housing use.   The importance of the area lies in the formal plan layout of buildings, streets, mews and gardens and in the quality of the buildings themselves",,"<a href=""http://www.edinburgh.gov.uk/downloads/file/750/new_town_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Newhaven conservation area",North,"The Newhaven Conservation Area Character Appraisal emphasises the importance of the harbour area, the historic alignment and traditional character of the buildings, the prominent views to Fife across the Firth of Forth, and the use of traditional materials.",11/05/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1097/newhaven_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Old Town conservation area",Central,"The Old Town Conservation Area Character Appraisal emphasises the survival of the original medieval street pattern; the wealth of important landmark buildings; the survival of an outstanding collection of archaeological remains, medieval buildings, and 17th-century town houses; the consistent and harmonious height and mass of buildings; the importance of stone as a construction material for both buildings and the public realm; the vitality and variety of different uses; and the continuing presence of a residential community.",10/02/2005,"<a href=""http://www.edinburgh.gov.uk/downloads/file/744/old_town_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Pilrig conservation area","City Centre and Leith","Pilrig is shown on maps as early as 1654 and is recorded as Peilrig in 1438. The name is Anglian pyll hrycg, a ridge by a stream, and Pilrig House, which was built near the centre of the original estate, stands on a ridge near the Broughton Burn. Another potential derivation of the name is from a tower (pil/peel) at the end of a field (rigg). It is also suggested that the name may have originated from an earlier building on the present site of Pilrig House as the strength and thickness of the basement walls may have been the foundations of an earlier towerhouse.",--,"<a href=""http://www.edinburgh.gov.uk/downloads/file/772/pilrig_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Plewlands conservation area","South, South-west","The Plewlands Conservation Area is characterised by distinctive Victorian/Edwardian terraced housing.",03/12/2009,"<a href=""http://www.edinburgh.gov.uk/downloads/file/760/plewlands_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Portobello conservation area",East,"The Portobello Conservation Area Character Appraisal emphasises the village/small town character of the area, the importance of the long sea-front promenade, the high quality architecture, and the predominant use of traditional building materials.",11/05/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1100/portobello_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Queensferry conservation area",West,"The Queensferry Conservation Area Character Appraisal emphasises the importance of the medieval core, the  settlement pattern of stone built houses with their lang riggs, and the strong Scots vernacular character of the architecture.",30/01/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/757/queensferry_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Ratho conservation area",South-west,"The Ratho Conservation Area Character Appraisal emphasises the strong representation of vernacular development within the village core, the predominant building form of small-scale vernacular cottages providing a unified character, the consistency in the use of traditional building materials, the uncluttered streetscape and the prevalence of residential use.",21/11/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/765/ratho_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Rosebank Colonies Conservation Area","City Centre and Leith",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Shandon conservation area",South-west,"The Shandon Conservation Area Character Appraisal emphasises the street layout, which excludes through traffic; the uniform, high density layout; the uncluttered streets; the  integrity of architectural design in use of materials; and  the predominant residential use.",18/04/2002,"<a href=""http://www.edinburgh.gov.uk/downloads/file/770/shandon_conservation_area_character_appraisal"">Download Character Appraisal</a>"
Shaw,"City Centre and Leith",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Slateford (Flowers) Colonies Conservation Area",South-west,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"South Side conservation area",South,"The South Side Conservation Area Character Appraisal emphasises the harmonious scale, massing and materials and the significance of key institutional buildings within the area.",08/08/2002,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1103/southside_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Stockbridge Colonies Conservation Area",North,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Swanston conservation area",South-west,"The Swanston Conservation Area Character Appraisal emphasises the distinctive vernacular architecture with the only thatched properties remaining within the Edinburgh City boundary, the predominance of traditional materials, the setting of the village within an agricultural landscape, the intimate relationship between the buildings and the landscape, and the spectacular panoramic views out over the village.",01/06/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/751/swanston_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Thistle Foundation conservation area",East,"The Thistle Village is a unique development of specially adapted housing with integrated streetscapes linked to public buildings that serve the special needs of the tenants. The estate constitutes a remarkable complex without precedent in the United Kingdom in terms of its design, function, scale and quality.",04/10/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/754/thistle_foundation_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Trinity conservation area",North,"The Trinity Conservation Area Character Appraisal emphasises the wealth of detached villas set in substantial plots with generous spacing to their neighbours and the high quality stone built architecture of restricted height.",04/10/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/753/trinity_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Victoria Park conservation area",North,,16/04/1998,"<a href=""http://www.edinburgh.gov.uk/downloads/file/752/victoria_park_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Waverley Park conservation area",South,"The Conservation Area focuses on the late Victorian housing development of Waverley Park.  Designed by David Cousin, Edinburghs first city architect, the houses are distinctively laid out around communal gardens and curved access roads.  The layout incorporates an early example of the segregation of pedestrian and vehicular traffic, which is unusual in Scotland and, for its period, unique in Edinburgh.  The conservation area includes Newington Cemetery, also laid out by David Cousin.",,"<a href=""http://www.edinburgh.gov.uk/downloads/file/755/waverley_park_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"West End conservation area","Central, South-west","Georgian and Victorian tenements characterise the eastern side of the conservation area while to the west and south are the domestic Georgian buildings of Grove Street and Gardners Crescent, the mid 19th Century artisan housing of Rosebank Cottages and the brick built quadrangle of Rosemount Buildings.   Further west more Victorian and Georgian tenements lead to Haymarket, defining an inner city urban scale.  The area contains much of the city centres new commercial development including the completed Saltire Court and site of the Conference Centre.",09/03/2006,"<a href=""http://www.edinburgh.gov.uk/downloads/file/745/west_end_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"West Murrayfield conservation area","West, North","An area of mostly detached Edwardian villas set in large walled gardens",10/04/1986,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1102/west_murrayfield_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
