Area,Approved,Type,Description,Download,"Download 2","Download 3","Download 4","Related external website",Phone,E-mail,Website
"Fort Kinnaird",03/11/2004,"Development brief","Following consultation, the Council Planning Committee approved the following finalised Fort Kinnaird Development Brief on 26 May 2005.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1873/fort_kinnaird"">Fort Kinnaird Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
Fountainbridge,15/05/2008,"Development brief","Following consultation, the Planning Committee approved the Fountainbridge Development Brief on 3rd November 2004.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1874/fountainbridge"">Fountainbridge Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Freelands Road",30/09/2004,"Development brief","Following consultation, a finalised version of the Freelands Road Development Brief was approved by the Planning Committee on 15 May 2008. The brief sets out a land use and design framework to guide the development of the site.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1875/freelands_road"">Freelands Road Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Granton waterfront development",,"Development brief","Granton Waterfront is the name given to the land between West Granton Road and the Firth of Forth, east of Marine Drive and up to and including Granton Harbour.

It was an area of gas works, petrol storage and industrial and storage uses, which by the late 1990Âs was falling into disuse and dereliction.

At that point the Council began to acquire land within the area and began the process of comprehensive, planned redevelopment.",,,,,"<a href=""http://www.waterfront-ed.com/"">Edinburgh Waterfront</a>","0131 529 3550",planning@edinburgh.gov.uk,
Haymarket,26/02/2010,"Urban design framework","At its meeting of 26 February the Planning Committee approved a final version of the Haymarket Urban Design Framework.

The Framework is a first step in articulating how a successful gateway to the city centre can be achieved. The development principles emphasise the need to retain important townscape qualities of the area, including the protection of key views, buildings and features. The Framework acknowledges the important role that Haymarket plays on the western edge of the city centre, the aspiration to improve connections, strategically and locally, and demonstrates how the urban form should develop over time.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1894/haymarket_urban_design_framework"">Haymarket Urban Design Framework</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Heriot Watt University",,Masterplan,"The Heriot-Watt Edinburgh Campus at Riccarton has been developed since 1968 and from the outset, the development has been carefully considered so as to protect and enhance the historic landscape. In 2000, a long-term Master-plan for Riccarton was prepared by Landscape Architects Weddle Landscape Design.",,,,,"<a href=""http://www.hw.ac.uk/estate/landscape.htm"">Heriot-Watt Masterplan</a>","0131 529 3550",planning@edinburgh.gov.uk,
"King's stables/West Port",04/05/2010,"Development brief","The brief considers the future of land and properties at West Port and KingÂs Stables Road and surrounding properties that could contribute to the successful re-development of the site and wider area.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1887/west_portking_stables"">West Port/King Stables Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Kings buildings",26/02/2010,"Development framework","At its meeting of 26 February the Planning Committee approved a planning framework to guide the long term academic development of the University of Edinburgh's KingÂs Buildings campus, following a period of public consultation. The Framework addresses a number of long-standing issues at the King's Building campus, including car parking and poor pedestrian and vehicular circulation and will provide a basis for the determination of planning applications as they come forward.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1895/kings_building_planning_framework"">Kings Building Planning Framework</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Leith docks",Feb-07,"Development framework","The framework addresses an area of approximately 170 hectares covering Leith docks, in Forth PortsÂ ownership, and the surrounding area, including part of the historic core of Leith.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1896/leith_docks_development_framework"">Leith Docks Development Framework</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"North Kirkliston",05/10/2006,"Development brief","Following consultation, the Council approved the finalised version of the North Kirkliston Development Brief on 5 October 2006.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1877/north_kirkliston"">North Kirkliston Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"North Sighthill",04/10/2007,"Development brief","A number of significant developments are in prospect on sites in the North Sighthill area of the City: a major refurbishment of Napier UniversityÂs campus, developments at Stevenson College Edinburgh; and the renewal of the North Sighthill Housing Estate.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1878/north_sighthill"">North Sighthill Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"North West Portobello",05/05/2008,"Development brief","Following consultation, the Council's Planning Committee approved the finalised version of the North West Portobello Development Brief on 15 May 2008.","<a href=""http://www.edinburgh.gov.uk/downloads/file/2050/north_west_portobello"">North-West Portobello Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Picardy place",19/04/2007,"Development principles","On 19 April 2007 the Council approved the St James Quarter Development Brief to guide the preparation of detailed proposals for the redevelopment of the St James Centre, New St AndrewÂs House, the King James Thistle Hotel, and associated car parks. The brief also considered development opportunities that existed, or might exist, immediately beyond the boundaries of the St James Centre that could contribute to the successful redevelopment of the wider area: namely St Andrew Square, Picardy Place and Greenside Row. It is for this reason that the boundaries of the development brief were drawn to include areas that extended beyond the St James Centre.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1897/picardy_place_development_principles"">Picardy Place Development Principles</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Port Edgar",04/09/2008,"Development brief","Following consultation, a finalised version of the Port Edgar Development Brief was approved by the Planning Committee on 4 September 2008. The brief sets out a land use planning and design framework to guide the development of the site.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1879/port_edgar"">Port Edgar Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Princes Street Block 10",15/05/2008,"Development brief","On 15 May 2008 the Council approved a development brief to guide the future reuse and development of the former Royal High School on Regent Road and the surrounding area. This followed a period of formal consultation.

The overall aim of the development brief is to address the continued under-use of the former Royal High School and to promote investment in the buildings through sustainable uses. The brief seeks to coordinate the reuse and development within the area and consider options to better connect this part of the city centre. To maximise these opportunities, owners and developers will work together, alongside the Council and public sector bodies, to maximise the potential of this area and address current problems of under-use and poor connectivity.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1881/princes_st_block_10"">Princes Street Block 10 Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Princes Street Blocks 1-7a",14/05/2008,"Development brief","On 14 May 2009,Â the Planning Committee approved development briefs for the Princes Street blocks. Â The development briefs highlight the unique opportunities and constraints within each of the Princes Street blocks and are a material consideration in the assessment of applications that come forward within the brief area.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1880/princes_st_blocks_1-7a"">Princes Street Blocks 1-7a Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Redhall house",01/04/2004,"Development brief","Following consultation, the Council Planning Committee approved the finalised Redhall House Development Brief on 1 April 2004.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1882/redhall_road"">Redhall Road Development Brief</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/5347/redhall-figure_1"">Redhall Road Figure 1</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/5348/redhall-figure_2"">Redhall Road Figure 2</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/5349/redhall-figure_3"">Redhall Road Figure 3</a>",,"0131 529 3550",planning@edinburgh.gov.uk,
South,15/01/1998,"Development brief","This planning brief has been prepared for the site of the Royal Edinburgh Hospital in Morningside.  It was prepared in consultation with the Edinburgh Healthcare NHS Trust, the current owners of the hospital, to assist the Trust in its future development plans","<a href=""http://www.edinburgh.gov.uk/downloads/file/3335/royal_edinburgh_hospital"">Royal Edinburgh Hospital Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Salamander Street",19/04/2007,"Development brief","The Salamander Place Development Brief was approved in finalised form by the Planning Committee onÂ 19 AprilÂ 2007. Â The brief will be used when considering planning applications in its area.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1883/salamander_place"">Salamander Place Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Shrub Place, Pilrig",25/11/2004,"Urban design principles","The principles have been revised to take account of recent planning and listed building consent appeal decisions and the concerns of local amenity groups and residents raised during the planning application and appeal processes. The planning authority adopted the revised Statement on 25th November 2004.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1899/shrub_place_design_brief"">Shrub Place Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"City Centre",19/04/2008,"Development brief","On 19 April the Council approved a development brief to guide the future development of the St James Quarter, following an extensive period of public consultation. The brief states that the Council seeks to realise a retail-led mixed use city quarter of the highest quality, one that knits the area back into the surrounding urban fabric.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1885/st_james_quarter"">St James Quarter Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
East,06/08/2009,"Development brief","St Margaret's House in London Road is currently unoccupied and likely to be demolished in the near future.  A development brief has been prepared, setting out the requirements for the site of this building and the street block as a whole.  These are intended to deliver, in stages, a comprehensive and co-ordinated series of developments that will enhance one of the city centre's main approach roads.","<a href=""http://www.edinburgh.gov.uk/download/meetings/id/19276/st_margarets_house__meadowbank_house_development_brief-final"">St Margaret's House/Meadowbank House Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Stead's Place / Jane Street",05/10/2006,"Development brief","TheÂ SteadÂs Place/Jane Street Development BriefÂ was approved in finalised form by the Planning Committee on 7th August 2008. The brief will be used when considering planning applications in the area.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1884/steads_place"">Steads Place Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
Tynecastle,03/06/2004,"Development brief","Following consultation, the Council Planning Committee approved the finalised Tynecastle Development Brief on 3 June 2004.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1886/tynecastle"">Tynecastle Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"West Edinburgh",13/05/2010,"Strategic design framework","The West Edinburgh Strategic Design Framework sets out a long term vision for West Edinburgh and identifies strategic Design Principles which will apply across the area relating to landscaping, built development, movement and infrastructure.Â  It also provides more site-specific guidance for four sub areas: International Business Gateway, Royal Highland Centre, Edinburgh Airport and Newbridge / Ratho Station.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1900/west_edinburgh_strategic_design_framework"">West Edinburgh Strategic Design Framework</a>",,,,"<a href=""http://www.edimasterplan.co.uk/"">Edinburgh Airport Masterplan website</a>","0131 529 3550",planning@edinburgh.gov.uk,
"West Tollcross",12/01/2006,"Development brief","Following consultation, the Planning Committee approved the West Tollcross Development Brief on 12 January 2006.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1888/west_tollcross"">West Tollcross</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
