Image,Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Background,"History and heritage",Wildlife,Geology,"Visitor information","Public Toilets","Book sports facilities","Organise an event","Getting involved","Other useful links","Green Flag","Management Plan","Why don't you?","Location map"
,"Braid Hills","Braid Hills Drive","EH10 6JZ","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Walks
Views
Horse riding
Bridal path
Golf course
Seating
Picnic benches","The Braid Hills rise to a height of 675 feet and offer spectacular views on all sides. They are partially covered with whin, wild roses and patches of bramble. The Hills are mainly used by walkers and golfers using the two 18-hole courses, but Braid Hills is also the only park in the city where horse riding is permitted.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,"If the weather is very dry, listen for gorse seed pods snapping open.","55.914341381536055,-3.191356658935547"
http://www.edinburgh.gov.uk/images/Braidburn_Valley_Park_dp_220x150.jpg,"Braidburn Valley Park","168 Comiston Road","EH10 5TE","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Seating
Bike racks
Orienteering course
Cycle route","This peaceful green corridor follows the Braid Burn as it runs through a steep grassy valley in south Edinburgh. This park provides an excellent place to walk, cycle or jog on many different paths. The park has been awarded a Green Flag since 2007, in recognition of it being a quality greenspace.","Braidburn Valley Park has been a public park since 1933 when it was purchased by the Council from a local farmer. In 1935, 5000 Girl Guides planted cherry trees in a trefoil shape to commemorate the Silver Jubilee of King George V. Some of these girl guides returned in 2008 to join current girl guides in a re-planting programme for these cherry trees.","The burn is the focus of the park where you may be able to see a heron, small trout or even an otter. Local children have created wildflower meadows and put up bird boxes to help encourage more wildlife into the park.",,"On bus route 5,11,15,15A & 16. Access for disabled.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.braidburnvalleypark.org.uk/friends-braidburn-valley-park"">Friends of Braidburn Valley</a>","<a href=""http://www.braidburnvalleypark.org.uk/"">Braidburn Valley Park website</a>","Since 2007",,"Have a go at orienteering. Maps are available to download from http://www.braidburnvalleypark.org.uk/","55.91794888165493,-3.2141876220703125"
,"Brighton Park","Brighton Place","EH15 1LP","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Gardens
Seating
Monument","Brighton Park is a place for a quiet stroll to to take the air, a seat in the sun to read the papers and somewhere to chat to friends. Surrounded by a privet hedge, it has a fine shrubbery of varieties of holly, cotoneaster, hawthorn, flowering current and other shrubs. There is also peripheral displays of roses and a spring bulb show.","The Brighton development dates from 1823 and the park, though small and essentially a sitting-out area, still reflects some of the elegance of the buildings around it. The 18th century stone sundial, which sits in a corner beside Brighton Place, adds to the impression of past age.",,,"Serviced by Lothian Bus route 26.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.95131436087284,-3.1159114837646484"
,"Bruntsfield Links","Melville Drive","EH9 9EX","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Short hole golf course (free to play)
Toilets
Seating
Annual bedding displays
Play park
Designated barbeque areas","Bruntsfield Links adjoins the Meadows and offers a green place for a relaxing stroll or enjoy a game on the short golf course. Bruntsfield Links is the remainder of the Burgh Muir, which was woodland. In the past, the area has been used as a hunting ground, quarry and became one of the earliest known locations where the game of golf was played in Scotland. The Links was home to several golf clubs, the oldest being the Royal Burgess Club, which traces its roots back to 1735.
Trees in the park include elm, sycamore, maple, ash, lime, whitebeam, cherry, crab apple and oak.",,,,"Lothian bus routes 15,16,11.","99 Bruntsfield Place. 
Opening times: 10am-8pm. 
Disabled 24hr access. All toilets for the disabled require a RADAR key for access.","No booking required for short hole golf course. Just turn up and play.","<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.fombl.org.uk/"">Friends of the Meadows and Bruntsfield Links</a>",,,,"Have a go at Short Hole Golf for free. No need to book. Just turn up and play.","55.93977911692385,-3.2021713256835938"
http://www.edinburgh.gov.uk/images/Burdiehouse_Burn_Valley_Park_dp_220x150.jpg,"Burdiehouse Burn Valley Park Local Nature Reserve","Gilmerton Dykes Street","EH17 8LS","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage  Service
Guided walks
Seating
Interpretation panels
Skateboard and bmx park
Play area","This peaceful green corridor follows the Burdiehouse Burn from Old Burdiehouse Road to Gilmerton Road , running through Southhouse, Gilmerton and the picturesque hamlet of Ellen's Glen. Good tarmac footpaths meander up and down the slopes of this glen. The park has been awarded a Green Flag since 2010, in recognition of it being a quality greenspace.",,"This rich habitat includes meadows, young, native woodlands, mature woodland and old limestone quarries; plus the clear water of the Burdiehouse burn. If you pay attention you might be able to surprise a heron fishing in the gently flowing water. You will certainly spot the dipper, with its black and white plumage bobbing from rock to rock in the burn. A kestrel may appear and hover above the meadow in search of rodents and a sparrow hawk could fly swiftly above your head. There is so much to see! Listen for great-spotted Woodpecker, hammering in springtime on the tall trees of this charming redbrick village of Ellen 's Glen. The area includes Moredun wood which was once part of the Moredun Estate, famous for its fertile exotic gardens. Walk amongst these old trees to escape the city, so you are ready to go back to urban life with a satisfied smile on your face.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.burdiehousefriends.org.uk/"">Friends of Burdiehouse Burn Valley Park</a>",,"Since 2010","<a href=""http://www.edinburgh.gov.uk/downloads/file/7052/burdiehouse_burn_management_plan"">Burdiehouse Burn Management Plan</a>",,"55.90091853383582,-3.1486129760742187"
,"Cairntows Park","Duddingston Road West","EH16 4AW","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Community woodland
Seating","This is a tiny green handkerchief of grassland, little more than a village green. It was owned by the Liberton Trust and purchased by the Council in 1992.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.933000558705075,-3.1424331665039062"
,"Calton Hill","Calton Hill","EH7 5AA","0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Monuments
Historical features
SSSI
Walks
City views
Seating","Calton Hill is a hill in central Edinburgh, just to the east of the New Town and is included in the city's UNESCO World Heritage Site. It offers some of the best views of the city. The hill also houses several iconic monuments and buildings including the National Monument, the Dugald Stewart Monument, Nelson's Monument, the Old Royal High School, the Robert Burns Monument, the Political Martys' monument and the City Observatory.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.spanglefish.com/FriendsofHillsideCaltonArea/index.asp?pageid=75094"">Friends of Calton Hill</a>",,,,"Get up early and watch the sun rise over the city.","55.954709,-3.183294"
,"Cammo Estate","Cammo Road","EH4 8AW","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,"Visitor Centre and toilet:
Tuesday and Sunday: 2pm-4pm
Thursday:10am-4pm","Natural Heritage Service
Guided walks
Interpretation
Car park
Walks
Wildlife
Visitor centre
Orienteering
Seating
Historical features
Walled garden
Pinetum","Cammo is a large estate located in the north-west outskirts of Edinburgh. It's a large site with attractive woodlands, glades and grassland.","The house, policies and surrounding farmlands at Cammo were bequeathed to the National Trust for Scotland (NTS) in 1975 following the death of Percival Maitland-Tennent, the last occupier of Cammo House. In 1977 the house was partly destroyed by a two separate fires which left only the chimney stacks and outside walls standing.
The NTS feud the estate to the City of Edinburgh Council (CEC) in 1979. At this time the house was considered to be in dangerous condition and was therefore partially demolished and by 1980 the only remaining walls are those can that still be seen today. The policies of the Estate were originally part of a larger estate which was a designed landscape initially by Sir John Clerk of Penicuik.","Wildlife interest in the site is in both its habitat and its fauna. The veteran trees and associated parkland habitat, the rich and diverse fauna (particularly badgers and
birds), the number of plant species of restricted distribution and the ecological history all contribute to the significant ecological value that has led to esignation as a Site of Importance for Nature Conservation and recommendation for designation as a Local Nature Reserve. The Estate has considerable value as a local recreational and educational urban fringe
facility. The park is regarded as somewhat of a refuge by local users who value the ‘informal’ and ‘natural’ character of the site where they can spot wildlife and experience the changes in season.",,"Access is via the car park located on Cammo Walk on the southern edge, on the north-east side by North gate and by the Main gate on the east side. Cammo Road, Cammo Walk, Turnhouse Golf Course and farmers’ fields surround this site to provide its boundary.","Visitor centre toilets.
Opening times: Tuesday and Sunday 2pm-4pm, Thursday 10am-4pm.",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.facebook.com/pages/Friends-of-Cammo/121223461312839"">Friends of Cammo Facebook page</a",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/11009/cammo_estate_management_plan"">Cammo Management Plan</a>",,"55.958378001098566,-3.323192596435547"
,"Campbell Park","Woodhall Road","EH13 0HS","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Football
Cricket","The park is a peaceful island next to the city by-pass. It has impressive views of the Pentland Hills to the south. In the valley below, the Water of Leith makes its way down to the forth.","Campbell Park, named after the local farmer at Woodhall farm, who gifted the ground to the community, was dedicated as a recreation area for community use in 1936.",,,"Serviced by Lothian bus route 10.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.90457539720638,-3.272552490234375"
,"Clermiston Park","Clermiston Gardens","EH4 7LF","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Multi-use games area","Clermiston Park is one of the highest parks in the City and provides views of the Forth estuary and Fife coast, as well as the Pentlands to the south and even the peak of Ben Lomond 50 miles to the west. It is a community park, providing an open space for games and a place to stroll and relax. The park has surrounds of mixed cherry trees, whitebeam, sycamores and rowan. ","The land was acquired for the city in 1956.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of Parks</a>",,,,,"55.956600199425225,-3.2875728607177734"
,"Coates Crescent","Coates Crescent",,"0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Seating
Floral displays
Monument","This Georgian crescent, with its twin, Atholl Crescent, were part of Edinburgh's New Town western development and substantially completed by 1825. Both crescents face each other across the main approach road into west Princes Street and their fronting gardens provide a welcome splash of green in what is one of the busiest parts of town.","Coates Crescent came into the care of the City of Edinburgh Council in 1949. Coates Crescent is home to an important staue of William Ewart Gladstone (1809-98), the former British Prime Minister with strong Edinburgh connections. ",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.948666,-3.212451"
,"Colinton and Craiglockhart Dells","Lanark Road","EH14 1JF","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Service
Guided walks
River walks
Seating
Wildlife habitats (Woodland, river)
Cycleway (part of site)","Colinton and Craiglockhart Dells provide a beautiful tree clad section of the Water of Leith Walkway. The woodlands are classfied as ancient or long-established and the most common trees are ash, lime, elm, birch, willow and hawthorn. On higher banks are oak, yew, holly, hornbeam, cedar, sweet chestnut and beech. ","Redhall Castle and Redhall House, at the upstream entrance to Craiglockhart Dell, have long histories. The castle, built in the 13th century, was torched and razed by Cromwell in 1650. Redhall House, also reduced by Cromwell, was rebuilt in 1756 by George Ingles, who laid out the grounds, planted trees and bushes and created grottoes.","Protection from high banks and thick undergrowth make it a natural habitat for a range of wildlife. More than 80 species of birds have been recorded, including finches, tits, dippers, ousels, wrens and owls. Voles, frogs, rabbits, hares, weasles, stoats, foxes and occasionally roe deer have been seen.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.91568822084823,-3.256072998046875"
,"Colinton Mains Park","Oxgangs Road North","EH13 9EB","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Teenage area
Football pitches
Seating","An extensive grassed area mainly used for sports. There area also two play areas in the park, one designed with teenagers in mind and one for toddlers. ",,,,"Serviced by Lothian bus route 16.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of Parks</a>",,,,,"55.911214609894614,-3.2271480560302734"
http://www.edinburgh.gov.uk/images/Corstorphine_Hill_220x150.jpg,"Corstorphine Hill Local Nature Reserve","Clermiston Road North","EH12 6UP","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Service
Guided walks
Interpretation panels
Car park
Orienteering
Walled Garden","Corstorphine Hill Local Nature Reserve is a natural heritage park with large areas of mature woodland and grassland. At its highest point 531 feet (161 metres) visitors get stunning views of the city. On a clear day you can see the summit of Ben Lomond in the west, exceptional views of the Forth Estuary and Fife to the north, to the east central Edinburgh , the Lammermuir Hills and flatter terrain of East Lothian and to the south the rolling backdrop of the Pentland Hills. The park has been awarded a Green Flag since 2010, in recognition of it being a quality greenspace.","Corstorphine Hill Tower (also known as Clermiston Tower or the Scott Tower) is a memorial to Sir Walter Scott. You may also find cup-markings on the west slopes of the Hill. They were probably part of a sacred landscape of Neolithic or Bronze Age (c3600-1500 BC), but their precise purpose remains unknown. Artefacts were also found nearby.","This is a mature woodland site, where you will find mostly oak and birch. You will also see areas of open ground consisting of bare rock, and grassland. Whilst out exploring Corstorphine Hill you may see foxes, badgers and buzzards and look closely for nationally and regionally important flora like small balsam, lords and ladies, spring beauty and common spotted orchid.","The Hill is a Regionally Important Geological and Geomorphologic Site (RIGS) because the rocks and other interesting landforms are easily accessible. This complements earlier designations of Edinburgh 's Green Belt, Area of Great Landscape Value, Nature Conservation Site and Listed Wildlife Site.",,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.corstorphinehill.org.uk/"">Friends of Corstorphine Hill</a>",,"Since 2010","<a href=""http://www.edinburgh.gov.uk/downloads/file/7054/corstorphine_hill_management_plan"">Corstorphine Hill Management Plan</a>","Climb Corstorphine Tower for a different view of the city. The tower is open every Sunday afternoon during the summer months.","55.957417037360365,-3.2759857177734375"
http://www.edinburgh.gov.uk/images/Craigmillar_Castle_Park_dp_220x150.jpg,"Craigmillar Castle Park including Hawkhill Woods","Old Dalkeith Road","EH16 4TE","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Service
Guided walks
Interpretation panels
Orienteering
Play area
Seating
Mountain bike trail (proposed)","Craigmillar Castle Park is a natural heritage park with areas of mature and young woodland, grassland and old quarries. In 1997, over 40,000 trees were planted as part of the millennium forest for Scotland project. This park provides an excellent place to walk, cycle or jog on many different paths to explore the different habitats. The park has been awarded a Green Flag since 2010, in recognition of it being a quality greenspace.","Craigmillar Castle Park is set against the backdrop of Craigmillar Castle . An enormous baronial structure famously associated with Mary Queen of Scots, was built in the 15th century by Sir John Preston. It passed from the Prestons to Sir John Gilmour (a distant relative) in 1660 and remained with that family until 1946 when it passed to the state and then onto Historic Scotland who manage it today.","The area is a mixture of open parkland with groups of veteran trees; mature woodland located around the fringes of Craigmillar Hill; and recently created woodland established on the fields on the north and western edges of the Hill. The young woodlands at the north of the park are made up of many different native species: alder, birch, oak, ash and hawthorn are just some. These trees are excellent places to see and hear the many small birds that live in the park, such as bullfinch. Watch for the buzzards soaring over the grasslands in the park. They make a mewling cry as they call to each other. The range of grasslands and woodlands means there are plenty of rabbits and voles for them to eat.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://craigmillarwoods.tumblr.com/"">Craigmillar Woods Action Group</a>","<a href=""http://www.edinburgh.gov.uk/info/78/countryside_management_and_conservation/710/natural_heritage_sites"">Natural Heritage Ranger Service</a>","Since 2010",,,"55.92429726658257,-3.1441497802734375"
,"Cramond Foreshore","Cramond Glebe Road","EH4 6NS","0131 447 7145",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Service
Café
Toilets
Parking
Seaside walks
Wildlife
Bird watching
Seating
Grassed areas","The walk along the shoreline provides views across the Forth to the Fife coast,and on the distance, North Berwick Law can be seen.  A walkway links the foreshore to Cramond Island at low tide. The path along the shore is fringed with sycamores, hawthorn, elder and ash trees.","As one of Edinburgh's oldest villages, Cramond has the distinction of having the longest known period of human settlement. 
",,,,"Cramond Glebe Road
Opening times: 10am-6pm.
Baby changing facilities available.
No disabled access.
",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,"Keep an eye out for migratory birds visiting our shores in the winter months.","55.97864877413752,-3.2898902893066406"
,"Cramond Walled Garden","Marine Drive","EH4 5QD","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area
Teenage area","A secluded park tucked away in an old walled garden. It has play equipment for both toddlers and teenagers.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.976961349513566,-3.298606038442813"
,"Curriemuirend Park","Wester Hailes Road","EH14 5BR","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Community woodland","A park that was enriched with large amount of woodland planting during the millenium, it is now establishing well and providing a wildlife habitat next to the busy byepass.
",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.91318691060027,-3.287057876586914"
,"Dalmeny Street Park","Dalmeny Street","EH6 8PG","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Play area
Ball court
Playing field","Dalmeny Street Park provides a play park for children, as well as a ball court and playing field. It is a well used and safe park, making it a valuable asset in a busy and built-up part of town. The park is surrounded with a mixture of elm, hawthorn, poplar and cherry trees.
","This little park was formerly known as Iona Street and was first set out as a recreation area in 1902. It was maintained by the governors of Trinity Hospital who passed it into the city's safekeeping in 1922.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://2outoftheblue.org.uk/page31.htm"">Friends of Dalmeny Street Park</a>",,,,,"55.96411926232121,-3.172903060913086"
,"Davidsons Mains Park","East Barnton Avenue","EH4 6AQ","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Woodland walks
Play area
Millennium woodland
Wildlife
Seating","Davidsons Mains Park comprises sweeping grasslands in a mixed woodland setting. A natural bowl in the centre makes an ideal place for ball or team games. Trees are one of the park's most attractive features. The mixed woodland with natural regneration that includes chestnut, elm, oak, maple, Wheatley elm, ash, yew, sweet chestnut and whitebeams.
","The ground was acquired for the city from Dame Mary Ramsay-Steel-Maitland in 1922.","Grey squirrels have colonised the woodlands and magpies, tits and garden birds are common.",,"Serviced by Lothian bus number 41.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.dmsa.org.uk/FriendsofDavidsonsMainsPark"">Friends of Davidsons Mains Park</a>",,,,,"55.96380699804833,-3.276844024658203"
,Deaconess,"West Richmond Street",,"0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Childrens seating
Disabled access","Deaconess garden is a small but popular site in the southside of Edinburgh. It is surrounded by a chain link fence and is bordered by spring flowering cherry trees which provide spectacular colour in the spring months. The garden also accommodates rose and flower beds and part of the grass areas have been planted with approximately 5,000 natural bulbs.
The garden is beside the former Deaconess hospital which was opened in 1894, primarily to provide training for missionary deaconesses, but also to provide a much needed medical service to the local community. 
A flowering prunus was planted in the garden in 1987 to commemorate the centenary of the Church of Scotland Woman's Guild from 1887-1987, the tree is located to the left hand side of the medical centre and has a stone and plaque in place at the side of the tree to mark this event.",,,,"On bus route 2",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.945781,-3.182892"
