Toilet,"Refurbishment status",Facilities,"Opening times",Contact,Telephone,Email,Location
"Granton Square",,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.971548,-3.214099"
"Hamilton Place",,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.958328,-3.208183"
"Hawes Pier",,"No disabled access","10.00am to 6.00pm (Summer 8.00pm) ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.990160437023526,-3.385913372039795"
"High Street, South Queensferry",,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access) Baby changing ","10.00am to 6.00pm (Summer 8.00pm) ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.989986407156415,-3.396052122116089"
"Hope Park",,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.941208,-3.182876"
"Hunter Square","This facility will be closed for refurbishment from 30 September 2013 until further notice.","No disabled access","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.949617,-3.188094"
Joppa,,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.948821,-3.095105"
"Juniper Green",,"No disabled access","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.903418,-3.284995"
"London Road",,"No disabled access","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.95739301296125,-3.172903060913086"
"Middle Meadow Walk",,"No disabled access ","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.944657983137944,-3.1914424896240234"
"Mound (Gents only)","This facility will be closed for refurbishment from week commencing 22 July 2013 until further notice.","No disabled access","10.00am to 10.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.95160269794901,-3.197021484375"
"Mound (Paraplegic)",,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access)","24 Hour with Radar Key","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.95181894934699,-3.1956911087036133"
"Nicolson Square","This facility will be closed for refurbishment from 19 August 2013 until further notice.","Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 10.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.945849,-3.186321"
"Pipe Lane",,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm (Summer only)","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.956162,-3.114583"
"Ross Band Stand","This facility will be closed for refurbishment from 19 August 2013 until further notice.","Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm (Summer only)","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.950516,-3.200053"
"St John's Road",,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.94297568490188,-3.285641670227051"
"Taylor Gardens",,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.973691,-3.176841"
Tollcross,,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.943757,-3.204127"
"West End","This facility will be closed from week commencing 22 July 2013 until further notice for refurbishment.","Disabled access (all toilets for the disabled require a RADAR key for access) Baby changing ","10.00am to 10.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.95029314979132,-3.205540180206299"
