Picture,Name,News,Blog,Details,Address,Postcode,Telephone,Email,Twitter,"Opening hours","Bus routes",Facilities,"Bookbug Sessions","A-Z for families in Leith","Book groups","Other events","Business Workshops","Libraries home page",Location
,"Craigmillar Library","<a href=""http://www.facebook.com/craigmillarlibrary"" real=""nofollow"">Get the latest news on our facebook page including details of our summer events programme for children</a>",,,"101 Niddrie Mains Road","EH16 4DS","0131 529 5597",craigmillar.library@edinburgh.gov.uk,,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian bus nos 2, 14, 21, 30","Self Issue
Public Access Computers
WiFi
Cafe
Baby Changing Facilities
Community Room for Hire
Toilets
Induction Loop
Gaming Consoles
Photocopier 
Fax
Library Link
Disabled Access
Wheelchair",,,"First Monday of the Month 6.45","Craigmillar Books for Babies Baby and Toddler Time are last Saturday of the month - 11- 12.00am, and every Tuesday 11am - 12 noon 
Polish Rhymetimes, last Wednesday of the month, 10am - 11am
Greek Rhymetime , third Monday of the month, 1pm - 2pm",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.93314479569796,-3.1369614601135254"
http://www.edinburgh.gov.uk/images/currieLibrary.jpg,"Currie Library","<a href=""https://www.facebook.com/pages/Currie-Library/52095364562 "">Catch up with the latest news on our Facebook page including details of our summer events programme for children</a>",,,"210 Lanark Road West","EH14 5NX","0131 529 5609",currie.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm","Lothian 44, 45. First Bus 44","Car park
Disabled access
Community room for hire
Display/exhibition space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Gaming consoles
Photocopier
Fax machine
Currie & Balerno News archive
Local history displays from the Local History Society
Public access telephone for Council services
Library Link","A free event for 0 to 4 year olds and their parents/carers. Thursdays and Fridays from 10.30 - 11.00am",,"First Wednesday of every month at 7-8pm","Chatterbooks reading group for 4 - 12 year olds: 3rd Tuesday of every month from 3.45 - 4.45pm and 3rd Thursday of the month from 3.30 - 4.30pm
Parent Information Point: Thursdays from 2.00 - 2.30pm
Gordon Macdonald MSP surgery: third Monday of the month at 6.30pm
Mother and baby group - drop in every Thursday from 2 - 4pm
Learn IT beginners' computer classes
Tiger tales: stories for children aged 5 - 8, every Friday from 2 - 2.30pm",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.895716,-3.311398"
,"Drumbrae Library Hub","<a href=""http://www.facebook.com/pages/Drumbrae-Library-and-Community-Hub/120887931319361"" rel=""nofollow""><strong> Get the latest news on our Facebook page  including details of our summer events programme for children</strong></a>",,,"81 Drum Brae Drive","EH4 7FE","0131 529 5244",drumbrae.library@edinburgh.gov.uk,,"Mon & Wed 8.30am-8pm. Tue 10am-8pm. Thurs & Fri 8.30am-5pm. Sat 10am-5pm","Lothian 1, 21, 26","The Hub brings together lots of services under one roof: a new library for the area with self-service facilities, wi-fi, access to Council services and the Police Safer Neighbourhood Team, a cafe area , community meetings rooms and a day care centre.  ","Singing sessions for the under 5s, every Wednesday 10.30am to 11am",,"Parents'/ Carers' Book Club: meets monthly (second Wednesday of each month, 6:30 - 7:30 pm)
Chatterbooks reading group for 4- 12 year olds meets fortnightly on Mondays from 3.30 - 4.30pm. Contact the library for details","PARENT INFORMATION POINT - advice and information for parents
LEARN IT - computer classes for beginners and IT buddy sessions (contact us for details)","<a href=""http://www.business.scotland.gov.uk/bdotg/action/eventsearch?expression=stockbridge+leith+drumbrae&location=-999&date=99&submit.x=22&submit.y=4&submit=Go&site=202 "" rel=""nofollow"">Check the Business Gateway site for details of workshops taking place in the library</a>","<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.9552788074474,-3.2871437072753906"
http://www.edinburgh.gov.uk/images/dp_edinburgh_and_scottish_collection.jpg,"Edinburgh and Scottish Collection","<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>",,"Please note: The Edinburgh and Scottish Collection is currently closed for refurbishment. The rest of Central Library is open as normal.

The place to come to find out about Scotland and her capital city. Borrow books, maps and DVDs; research your family tree or the history of your house; get your questions about Edinburgh answered. We also have lots of study space and free WiFi.
","7-9 George IV Bridge","EH1 1EG","0131 242 8070",central.edinburghandscottish.library@edinburgh.gov.uk,"<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian 23, 27, 42, 42, 45, 67","Self service",,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.94847893191394,-3.192472457885742"
http://www.edinburgh.gov.uk/images/FT_Exterior_Web.jpg,"Fountainbridge Library","<a href="" http://www.facebook.com/pages/Fountainbridge-Library/129067145526?ref=pb "" rel=""nofollow""><strong> Get the latest news on our Facebook page  including details of our summer events programme for childre</strong></a>",,,"137 Dundee Street","EH11 1BG","0131 529 5616",fountainbridge.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","Lothian 1, 34, 35 (direct) 22, 30, 2, 3, 4, 25, 33, 44, 27 (nearby). First Bus: 44, 27, 28 (nearby)","Disabled access
Community room for hire
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Induction loop
Housebound service (within our boundary)
Learning Centre (12 computers) - please note that the computers are very busy on Monday afternoons and Tuesday and Friday mornings. 
Library Link
Fax service
Photocopying
","A free event for 0 to 5 year olds and their parents/carers. Last Thursday of every month from 10.30 - 11am and last Friday of every month from 11-11.30am",,"Two groups: one on the second Monday of every month at 6.30pm and another on the third Monday of every month at 6.30pm
We also have a 'Chatabout' book group for adult students learning English as a second language at intermediate level. first Wednesday of every month , 5 - 6pm","Tiger Tales: stories and fun for children aged 4 - 8, first Saturday of the month from 3 - 4pm
Chatterbooks continues on 3rd Wednesday of the month during term time 3:45 - 4:45 for children aged 8 - 10
We have an additional 'Chatterbooks +' group for children aged 10+,  on first Wednesday of each month during term time, 3:45 - 4:45pm
Councillor's surgery
Writers' group
Stevenson College ESOL Group 
Learn IT computer classs and drop-in IT help
Storytimes for under fives: Saturdays 10.30 - 11.00am",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.940044,-3.218765"
http://www.edinburgh.gov.uk/images/gilmerton.jpg,"Gilmerton Library","<a href=""http://www.facebook.com/pages/Gilmerton-Library/55137752133#!/pages/Gilmerton-Library/55137752133?sk=wall "" rel=""nofollow""><strong> Get the latest news on our Facebook page including details of our summer events programme for children</strong></a> ",,,"13 Newtoft Street","EH17 8RG","0131 529 5628",gilmerton.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues & Fri 10am-5pm. Sat 10am-2pm
","Lothian 3, 7 18, 29, 33","Disabled access
Car park
Community room for hire
Plasma screen
Library Link
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles","A free event for 0 to 4 year olds and their parents/carers. Every other Friday from 10.30 - 11.15am

Polish Rhymetime takes place on the second Tuesday of the month between 10.30 and 11am",,"Last Friday of every month 11am-12 noon
Last Wednesday of the month at 6.30pm","Councillors' surgeries
Friday Fun Club for kids: fortnightly from 2.30 - 3pm
NHS Lothian Stop Smoking Group; Fridays from 1.00 - 3.00pm
Learn IT classes for beginner computer users",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.905323,-3.134162"
http://www.edinburgh.gov.uk/images/grantonExterior_web.jpg,"Granton Library"," <a href="" http://www.facebook.com/grantonlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page including details of our summer events programme for children</strong></a>",,,"29 Wardieburn Terrace","EH5 1DD","0131 529 5630",granton.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","Lothian 8, 14, 19, 16","Disabled access
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Industion loop
fax machine
Photocopier
One scanner","A free event for 0 to 4 year olds and their parents/carers. Every Thursday from 11am - 12noon",,,"Granton Library Baby Cafe, fortnightly on Tuesdays, 11 - 12 noon
Chatterbooks reading group for 4 - 12 year olds: every other Tuesday at 3.45pm during term time.
Learn IT beginners' computer classes
The Knitting Club meets every Monday at 6.30pm. Beginners welcome.
Housebound service
Homework Help Club on Mondays, Tuesdays and Thursdays after school, and on Wednesdays at 7pm
Class visits
Crafty Fridays for kids at 2pm
Get in touch if you would like to bring a nursery or toddler group to the library for a Cuddly Bear Storytime visit (or we can visit you!) ",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.976933,-3.224764"
http://www.edinburgh.gov.uk/images/kl_exterior.jpg,"Kirkliston Library","<a href="" http://www.facebook.com/kirklistonlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page including details of our summer events programme for children</strong></a>",,,"16 Station Road","EH29 9BE","0131 529 5510",kirkliston.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","First Bus 38","Disabled access
Car park
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Induction loop
Libraries 4U young people's section","A free event for 0 to 4 year olds and their parents/carers. Fridays 10.30-11am",,"Last Wednesday of every month from 7-8pm","Chatterbooks reading group for 4 - 12 year olds: 3rd Wednesday of the month from 3.45 - 4.45pm during term time
Learn IT beginners' computer classes",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.955263,-3.401527"
http://www.edinburgh.gov.uk/images/LeithLibrary_Exterior_web.jpg,"Leith Library"," <a href="" http://www.facebook.com/leithlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page including details of our summer events programme for children</strong></a>","<a href=""http://leithlibrary.wordpress.com/"" rel=""nofollow"">You can also read about all that’s happening here on the 'Leith Library' blog</a>",,"28-30 Ferry Road","EH6 4AE","0131 529 5517",leith.library@edinburgh.gov.uk,"<a href=http://twitter.com/leithlibrary/ rel=”nofollow”>@leithlibrary</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian 7 ,10, 14, 21, 34","Self service
Disabled access
Car park
Community room for hire
Library Link
Display/exhibition Space for public use
Wheelchairs
Gaming consoles","A free event for 0 to 4 year olds and their parents/carers. First and third Tuesday of every month at 10.30-11.15am. Second and fourth Wednesday of every month: 10.30-11.15am","<a href="" http://www.glenholm.co.uk/drbells/AZ_2012_booklet.pdf "">This booklet contains information on what resources are available for parents/carers in the area. Originally put together by parents of young children in Leith, it has been updated by the North East Edinburgh Early Years Neighbourhood Forum</a>","Second Tuesday of the month at 6.45pm ","Knitting group every Wednesday at 6.30pm
Friday Crafts for children up to 10 years old  - 2.30 - 3.30pm
MSP's surgery
Learn IT beginners' computer classes",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.975278,-3.180773"
http://www.edinburgh.gov.uk/images/McDonaldRoad_exterior_web.jpg,"McDonald Road Library","<a href="" http://www.facebook.com/mcdonaldroadlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page including details of our summer events programme for children</strong></a> ",,,"2 McDonald Road","EH7 4LU","0131 529 5636",mcdonaldroad.library@edinburgh.gov.uk,,"Mon, Tue, Wed 10am-8pm. Thu, Fri, Sat 10am-5pm. Sun 1-5pm
","Lothian 7, 10, 12, 14, 16, 22, 25, 49. Edinburgh Coach Lines 13","Self service
Disabled access 
Community room for hire 
Wi-Fi 
Library Link 
Toilets 
Baby changing facilites 
Gaming consoles Induction loop
Photobooth 
Business Hub  
Community Connections - dedicated community information area","A free event for 0 to 4 year olds and their parents/carers. Second Friday of every month at 1-1.30pm, last Friday of every month at 10.30-11am, second Sunday of the month from 2.30 - 3.00pm. The Polish Bookbug session is every Monday 10.30-11.00am","<a href="" http://www.glenholm.co.uk/drbells/AZ_2012_booklet.pdf "">This booklet contains information on what resources are available for parents/carers in the area. Originally put together by parents of young children in Leith, it has been updated by the North East Edinburgh Early Years Neighbourhood Forum</a>","Last Monday of every month at 6.30-7.30pm. 
Urdu Reading Group (women only), last Monday of every month at 2-4pm. 
The 'Found in Translation' group for contemporary European literature translated into English meets on a Monday at 6pm every 8 weeks  - contact us for details.
We also run two ESOL groups in partnership with Stevenson College: 'Chatabout beginners' on the last Thursday of the month from 12-1pm and 'Chatabout more' on the last Thursday of the month from 10.30 - 11.30am.","Craft for children (Fridays 3-4pm, drop in)
Councillors' surgeries
Learn IT beginners' computer classes
","McDonald Road Library is a <a href=""http://www.edinburgh.gov.uk/info/455/library_services/1431/leith_business_hub"" rel=""nofollow""><strong>Business Hub</strong></a> which provides support and advice for starting or growing your business. Professional workshops are run by the Business Gateway at the Hub and you can also access a fantastic range of databases and up-to-date business books. <a href=""http://www.business.scotland.gov.uk/bdotg/action/eventsearch?expression=stockbridge+leith+drumbrae&location=-999&date=99&submit.x=22&submit.y=4&submit=Go&site=202 "" rel=""nofollow"">Check the Business Gateway site for details of workshops taking place in the library</a>","<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.962668,-3.183913"
http://www.edinburgh.gov.uk/images/green_mobile_library_dp_220_x_150.jpg,"Mobile Libraries","<a href=""http://www.edinburgh.gov.uk/directory/16/mobile_library_stops"" rel=""nofollow"">Find your nearest mobile library stop</a> ",,"The mobile library service offers a window to the full range of library services. You can join on board and choose from a wide range of books for children and adults. There are over 2,000 books and talking books to choose from - or request any of our 500,000 loan items for free and collect them on your next visit.
All of our mobile library buses are fully accessible and wheelchair friendly.",,,"0131 529 5683",access.services@edinburgh.gov.uk,,,,,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books",
http://www.edinburgh.gov.uk/images/moredunLibrary_web2.jpg,"Moredun Library","<a href="" http://www.facebook.com/moredunlibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page v</strong></a>",,,"92 Moredun Park Road","EH17 7HL","0131 529 5652",moredun.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues, Thurs, Fri & Sat 10am - 5pm
","Lothian 8, 18 (direct), 3, 29, 33, 49 (walking distance)","Disabled access
Car park
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Gaming consoles
Induction Loop
","A free event for 0 to 4 year olds and their parents/carers. Every Thursday from 11.00 - 11.30am",,"Last Thursday of the month at 10.15am
","Councillor's surgery
Children and young people's activities:
Craft events for under 12s - every Monday and Wednesday from 6.30pm and every Friday from 2.00 - 2.30pm",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.913705,-3.134901"
http://www.edinburgh.gov.uk/images/Morningside_Library.jpg,"Morningside Library ","<a href="" http://www.facebook.com/morningsidelibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Morningside Library has been closed since 8 December 2012 due to dry rot. It has been essential to close the building to allow us to investigate the problems and appoint a contractor to carry out the repair work. 
While the library is closed we're working hard to serve our community in alternative locations. We've got the library mobile parked on Falcon Road West where you can borrow and return books, and keep in touch with our staff team. Its opening hours are Monday 10am-7pm, Tuesday to Saturday 10am-4pm.
Our monthly bookgroups on Monday nights and Thursday afternoons are running from Newington Library, along with our fortnightly sewing group on Monday evenings which is still open for new members.
Our much needed library link and housebound service are also running from Newington Library, meaning that Morningside Library members with mobility issues can continue to access our services or have books, dvds and cds delivered to their homes.
Our staff team is gearing up for summer by visiting schools in the area to promote our reading challenge, and will soon be advertising summer activities in local church halls to ensure local children don't miss out.
Our Bookbug Sessions are currently being held in the Eric Liddell Centre at 10.30am every Tuesday morning.
Whilst the building is closed we are taking the opportunity to plan an even better library when we reopen. Your ideas and suggestions for any improvements we could deliver in time for the reopening are welcome, as well as any suggestions for service delivery while we're closed, so please get in touch at southteam@edinburgh.gov.uk and we can add your details to our mailing list. ","184 Morningside Road, EH10 4PU","EH10 4PU","0131 529 5151",southteam@edinburgh.gov.uk,"<a href=""http://twitter.com/south_team"">@south_team<a/>",,"Lothian 5, 11, 15, 15A, 16, 23. McEwans 100, 101, 102",,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.929017,-3.209807"
