Site,"Play facilities",Address,Postcode,Telephone,"Location map"
"King George V Park (South Queensferry)","Play area for toddlers and juniors.","Farquhar Terrace, South Queensferry","EH30 5RP","0131 529 7440","55.99118059635058,-3.4105682373046875"
"Kingsknowe Playarea ","Play area for toddlers and juniors. ",Kingsknowe,"EH14 2BY","0131 527 3800","55.921676279130764,-3.2648491859436035"
"Kirkliston Sports Centre","Play area for toddlers and juniors.
Ballcourt.",Kirkliston,"EH29 9EY","0131 529 7440","55.958265,-3.414786"
"Leith Links ","Two play areas; one designed for toddlers and juniors, and a large climbing net for juniors and teenagers.","Leith Links","EH6 7EZ","0131 529 5050","55.97095241489776,-3.165736198425293"
"Liberton Park   ","Play area for toddlers and juniors.","Liberton Gardens","EH16 6JS","0131 529 5151","55.91078165240903,-3.165864944458008"
"Lochend Park","Play area for toddlers and juniors.","Lochend Public Park","EH7 6BR","0131 529 3111","55.96169314286637,-3.1604576110839843"
"Loganlea Avenue","Toddler play area ","Loganlea Avenue","EH7 6NZ","0131 529 3111","55.9589065209856,-3.144106864929199"
"Magdalene Community Centre","Play area for toddlers and juniors. Located in the grounds of Brunstane School.","Brunstane Primary School, Magdalene","EH15 3BE","0131 529 3111","55.94209845754931,-3.104431629180908"
"Magnet Playarea (East Meadows)","There are 40 individual items of play and 4877m square of pure fun. Features include slides, drag ramp, scramble net, pedal roundabout, water play unit, basket buddy swing, tyre swing and specialist swing seats. The play spaces have been designed for easy access and for use by all ages and abilities. There are three ways to enter Magnet Play with entrance points at either end of the central footpath and a crawl through tunnel located in the hedge as a secret entry for children. The blend of exciting play equipment and sculpture set in a park landscape of trees, grass and safer surfaces is visually stunning and attracts over 300 children and adults each day.","off Melville Drive","EH8 9LW","0131 529 5151","55.940812622647734,-3.184661865234375"
"Marytree House","Play area for toddlers and juniors.","Marytree House, Craigour Green","EH17 7LB","0131 529 5151","55.91710716165225,-3.139514923095703"
"Meadowfield Gardens (No. 17)","Toddler play area ",Meadowfield,"EH8 7NZ","0131 529 3111","55.94418935025811,-3.1438493728637695"
"Meadowfield Park","The play area which was upgraded in 2010 includes a refurbished ‘flying fox’, buddy swing, space net, tunnel slide and balancing beam. There is also a 260m ‘blue’ grade bike track, which is suitable for intermediate riders with basic off road skills.","Meadowfield Drive","EH8 7JL","0131 529 3111","55.947998330155315,-3.145608901977539"
"Meadows (West)","Play area for toddlers and juniors.","Bruntsfield Links","EH8 9DY","0131 529 5151","55.940888331720025,-3.199681520636659"
"Meggateland Wynd","Play area for toddlers and juniors.","Meggateland Wynd","EH14 1XT","S. West","55.926990206682966,-3.2371044158935547"
"Moat House","Play area for toddlers","Moat Drive","EH14 1NS","0131 527 3800","55.93364962094433,-3.2392072677612305"
"Montgomery Street park","Play area for toddlers and juniors.
Basket ball hoops and goal ends",Leith,"EH7 5NH","0131 529 5050","55.95961520678051,-3.175649642944336"
"Moredun Maze ","Play area for toddlers and juniors.","Fernieside Drive","EH17 7HY","0131 529 5151","55.91357173806502,-3.1314468383789062"
"Moredun Teenage Area","Teen play area ","Moredun Park View","EH17 7NE","0131 529 5151","55.911334875004904,-3.1362318992614746"
"Morningside Park","Play area for toddlers and juniors.
Ballcourt
","Morningside Drive","EH10 5JP","0131 529 5151","55.922956737804455,-3.2173848152160645"
Morvenside,"Toddler play area ","Wester Hailes","EH14 2SQ","0131 527 3800","55.916352,-3.290732"
"Mount Lodge","Play area for toddlers and juniors.","Windsor Place","EH15 2AE","0131 529 3111","55.95049739416244,-3.110504150390625"
"Muir Wood Park","Play area for toddlers, juniors and teenagers.",Currie,"EH14 5JE","0131 527 3800","55.9012072461103,-3.3026790618896484"
"Muirhouse Linear Park","Play area for toddlers and juniors.
Ball court, Skateboard park and Bmx area",Muirhouse,"EH4 5NE","0131 529 5050","55.970460083964596,-3.2628965377807617"
"Muirhouse View","Toddler play area ",Muirhouse,"EH4 4SQ","0131 529 5050","55.972802,-3.261953"
"Murieston Park","Play area for toddlers and juniors.","Murieston Crescent","EH11 2LQ","0131 527 3800","55.940428065599875,-3.226504325866699"
"Murrayburn Green/Gardens opp 25","Fenced court for ball games including football and basketball.","Murrayburn Gardens","EH14 2QL","0131 527 3800","55.91873,-3.276436"
"Murrayburn Playarea (Block 12)","Play area for toddlers and juniors.","Murrayburn Place","EH14 2RR","0131 527 3800","55.916539,-3.284045"
"Newcraighall Park","Play area for toddlers and juniors.","Newcraighall Park View","EH21 8SB","0131 529 3111","55.93343326807276,-3.0876731872558594"
"Niddrie House Drive (Clock)","Play area for toddlers and juniors.",Craigmillar,"EH16 4UE","0131 529 3111","55.928627,-3.120919"
"Niddrie House Square","Play area for toddlers and juniors.",Craigmillar,"EH16 4UP","0131 529 3111","55.930664,-3.121234"
"Northfield Community Centre","Play area ","Northfield Road","EH8 7PP","0131 529 3111","55.95265991552359,-3.1382274627685547"
"Northview Court","Play area for toddlers. ","Pilton Crescent","EH4 4HG","0131 529 5050","55.97295769811544,-3.2518672943115234"
"Oxgangs Brae/View","Play area for toddlers and juniors.","Oxgangs Brae/View","EH13 9LS","0131 527 3800","55.90569403983141,-3.221118450164795"
"Peffer Playarea ","Play area for toddlers and juniors. A ball end for teenagers.","Peffer Place","EH16 4BB","0131 529 3111","55.935312,-3.139537"
"Peffermill Court Playarea ","Play area for toddlers and juniors.","Craigmillar Court","EH16 4AD","0131 529 3111","55.93101724560071,-3.14608097076416"
"Pentland View","Play area for toddlers and juniors.
Teen play area and the west end of the park.",Currie,"EH14 5NP","0131 527 3800","55.89538446660452,-3.313922882080078"
"Piershill Square East","Teen play area and ball court","Portobello Road","EH8 7BD","0131 529 3111","55.955831395034465,-3.145780563354492"
"Piershill Square West","Play area for toddlers and juniors.","Portobello Road","EH8 7AZ","0131 529 3111","55.955783344253085,-3.1479263305664062"
"Pilrig Park ","Two play areas; one off Pilrig Street and one off Balfour Street. Both designed for toddlers and juniors.","Pilrig Street","EH6 5BA","0131 529 5050","55.96841864495853,-3.180971145629883"
"Pirniefield Bank","Play area for toddlers and juniors.","Pirniefield off Claremont Park","EH6 7QH","0131 529 5050","55.96743,-3.149273"
"Prestonfield Park","Play area for toddlers and juniors.","Prestonfield Road","EH16 5EU","0131 529 5151","55.93235148559219,-3.1590843200683594"
"Primrose Street","Toddler play area ","Lochend Road","EH6 8DJ","0131 529 5050","55.968135,-3.164582"
"West Princes Street Gardens","Themed play area designed for toddlers and juniors. Large wooden castle with slide and climbing nets. ","Princes Street Gardens","EH2 2HG","0131 529 7061","55.95011293327504,-3.204660415649414"
"Ratho Park","Play area for toddlers and juniors.","Ratho Village","EH28 8PB","0131 527 3800","55.9218926976518,-3.376021385192871"
"Ratho Station Park","Play area for toddlers and juniors.","Hillwood Road, Ratho Station","EH28 8PR","0131 529 7440","55.93771202274539,-3.387479782104492"
"Ravelston Park","Play area for toddlers and juniors.
Ballcourt ","Craigcrook Road","EH4 3PH","0131 529 5050","55.95568724251137,-3.256072998046875"
"Redbraes Park","Play area for toddlers and juniors.","Redbraes Place","EH7 4LQ","0131 529 5050","55.968007,-3.187424"
"Redhall Park","Play area for toddlers and juniors.","Kilncroftside, Redhall Drive","EH14 2HG","0131 527 3800","55.92150795277898,-3.2565879821777344"
"Riverside Park","A new innovative swing that mimics what it feels like to be on a skateboard in a halfpipe was installed in 2010. The ‘Sky Carver’ is the first of its kind in Britain and allows young people to enjoy the sensation of adrenaline fuelled sports such as skateboarding, wake boarding and kite surfing - while being attached to a four metre high aerial rope. ",Newbridge,"EH28 8SU","0131 529 7440","55.938913835109496,-3.412327766418457"
"Roseburn Park","Play area ","Roseburn Crescent","EH12 5PH","0131 529 7440","55.94405717072822,-3.2393360137939453"
"Rosefield Park","Play area and ball court
",Portobello,"EH15 1BD","0131 529 3111","55.951987144043656,-3.1186580657958984"
"Sandport Street","Play area for toddlers and juniors.",Leith,"EH6 6EP","0131 529 5050","55.97639165430069,-3.1725597381591797"
"Saughton Mains Terrace","Play area designed for toddlers.",Stenhouse,"EH11 3NN","0131 527 3800","55.93208704528063,-3.2674241065979004"
"Saughton Park","Play area for toddlers and juniors
Wheels area for skateboarding / BMX
","Saughton Park","EH11 3BQ","0131 527 3800","55.935740969748814,-3.2481765747070312"
"Seven Acre Park","Play area with wide range of equipment for toddlers, juniors and teenagers.",Alnwickhill,"EH16 6TN","0131 529 5151","55.90743809568569,-3.175821304321289"
"Sighthill Drive","Play area for toddlers and juniors","Sighthill Drive","EH11 4QA","0131 527 3800","55.918601,-3.287985"
"Sighthill Park","Play area
Skateboard and bmx area ","Broomhouse Road","EH12 3UP","0131 527 3800","55.92767062503263,-3.2851853384636343"
"Southhouse Square ","Play area for toddlers and juniors. ",Southhouse,"EH17 8DN","0131 529 5151","55.899091,-3.154147"
"Spylaw Park","Play area for toddlers and juniors, including group swing, tyre swing, cone climber and climbing unit.",Comiston,"EH13 0NX","0131 527 3800","55.90577823743304,-3.2619094848632812"
"St. Margaret's Park","Play area designed for toddlers and juniors; with swings, climbing unit with slides, spingers and cableway.","Corstorphine High Street","EH12 7SZ","0131 529 7440","55.93949069180008,-3.284740447998047"
"St. Mark's Park","Play area for toddlers and juniors","Warriston Road","EH7 4HN","0131 529 5050","55.9688029240596,-3.193845748901367"
"Stenhouse Playarea ","Play area designed for toddlers.","Stenhouse Place East","EH11 3DL","0131 527 3800","55.932756,-3.257305"
"Stewart Terrace","Play area for toddlers and juniors.","off Gorgie Road","EH11 1AP","0131 527 3800","55.93667843429006,-3.235044479370117"
"Straiton Place Park","Toddler play area ",Portobello,"EH15 2BA","0131 529 3111","55.954269714108506,-3.109602928161621"
"Taylor Gardens","Play area for toddlers and juniors.",Leith,"EH6 4TG","0131 529 5050","55.974230458688666,-3.1771087646484375"
"Tolbooth Wynd","A fenced court for ball games including football and basketball.
A small play unit, with slide and steps and ladders, designed for toddlers.",Leith,"EH6 6DN","0131 529 5050","55.9743985560112,-3.170499801635742"
Towerbank,"Play area on Portobello Prom","Portobello Promenade, Figgate Street","EH15 1HH","0131 529 3111","55.95539893585473,-3.1122636795043945"
"Union Park","Play area for toddlers and juniors. Goal ends.","Carrickknowe Drive","EH12 7EF","0131 529 7440","55.935789045405365,-3.27667236328125"
"Victoria Park ","Large play area 
Toddler play area
A fenced court for ball games including football and basketball.","Craighall Road","EH6 5RP","0131 529 5050","55.97504692455578,-3.193502426147461"
"West Pilton Park","Three play areas; one designed for toddlers, one for juniors and one for teenagers. ","West Pilton Grove","EH4 4BY","0131 529 5050","55.9707722945514,-3.246030807495117"
"Westburn Grove","Fenced court for ball games, including football and basletball.","Wester Hailes","EH14 2SA","0131 527 3800","55.913451479892586,-3.2892465591430664"
"Wester Drylaw Drive (Nos. 138-140)","Fenced court for ball games, including football and basletball.","Wester Drylaw Drive","EH4 2TB","0131 529 5050","55.964342,-3.257977"
"Wester Hailes Drive, Barn Park ","Play unit designed for toddlers with slide and climbing elements.","21-23 Wester Hailes Drive","EH14 3HU","0131 527 3800","55.91145513974218,-3.2791614532470703"
"Wester Hailes Drive, Barn Park Crescent (No. 129)","Play unit designed for toddlers with slide and climbing elements.","129 Wester Hailes Drive","EH14 3HU","0131 527 3800","55.912476,-3.279314"
"Wester Hailes Park (Block 20)","Play unit designed for toddlers with slide and climbing elements.","Wester Hailes Park","EH14 3AF","0131 527 3800","55.91435340709407,-3.2788610458374023"
"Westfield Court","Play area designed for toddlers and juniors, including swings, slide and roundabout.","off Westfield Road","EH11 2RH","0131 527 3800","55.93671449016553,-3.2410311698913574"
"White Park","Large climbing net with slides and swings. ","Gorgie Road","EH11 1TZ","0131 527 3800","55.93759183945819,-3.231750726699829"
