Name,Description,Address,Postcode,"Phone number",Email,Website,"More information from the Care Inspectorate",Location
ELCAP,"Services such as personal care, help with medication, support to manage money, access work, or to take part in social activities and other things to do.","Woodbine Cottage, West Loan, Prestonpans, East Lothian","EH32 9WU","01875 814 114",dannyh@elcap.org,"<a href=""http://www.elcap.org/index.php"">ELCAP website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004082819"">Quality grades and reports</a>","55.957945570368686,-2.982316017150879"
"Elite Homecarers","Services such as assisting with housework and washing up, shopping and cooking, personal care and companionship.","35B High Street, South Queensferry, Edinburgh","EH30 9HD","0845 22 11 220",info@elitehomecarers.co.uk,"<a href=""http://www.elitehomecarers.com/"">Elite Homecarers website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004081256"">Quality grades and reports</a>","55.98977712020111,-3.395223319530487"
"ENABLE Scotland","Support with personal care, social activities, accessing the community, work and college.","1st floor, 1 Wester Shawfair, Danderhall, Midlothian","EH22 1FD","0131 663 9427",enabledirect@enable.org.uk,"<a href=""http://www.enable.org.uk/Pages/Services-es.aspx"">ENABLE Edinburgh website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004079759"">Quality grades and reports</a>","55.90701787560672,-3.098892867565155"
Freespace,"Services such as personal care, housework, meal preparation, medication, shopping and budgeting, going with you to appointment, relationships and social activities, and accessing your community.","28 Westfield Avenue, Edinburgh","EH11 2QH","0131 346 9030",info@freespacescotland.org.uk,"<a href=""http://www.freespacescotland.org.uk/independent-living/apply-type-of-support.php"">Freespace website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004076896"">Quality grades and reports</a>","55.93843311463828,-3.243541717529297"
"Hanover Housing Association Limited","Services such as helping with personal care, general cleaning, laundry and shopping, companionship and preparing meals.","95 McDonald Road, Edinburgh","EH7 4NS","0845 600 3659",careathome@hsha.org.uk,"<a href=""http://www.hsha.org.uk/careathome/Pages/default.aspx"">Hanover Housing Association Care at Home website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2007142388"">Quality grades and reports</a>","55.96488790210438,-3.1868934631347656"
"Hazelhead Homecare","Services such as assisting with cleaning, preparing and cooking meals, laundry, ironing as well as shopping, washing and dressing, and companionship.","Unit 5, Newbridge Industrial Estate, Newbridge","EH28 8PJ","0131 333 0003",info@hazelhead.com,"<a href=""http://www.hazelhead.com/"">Hazelhead Homecare website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004070610"">Quality grades and reports</a>","55.931894723920415,-3.4148597717285156"
"Homecare Support","Services such as helping with washing, dressing and other personal care routines, preparing and cooking meals, cleaning and shopping.","152A Lower Granton Road, Edinburgh","EH5 1EY","0131 341 0010",edinburgh@homecaresupport.co.uk,"<a href=""http://www.homecaresupport.co.uk/services.html"">Homecare Support website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2011299339"">Quality grades and reports</a>","55.9804255630536,-3.2214832305908203"
"Independent Living Services","Services such as personal care, bathing and showering, cleaning, laundry, meal preparation, shopping, companionship and outings.","5 South Gyle Crescent Lane, Edinburgh","EH12 9EG","0131 334 2356",enquiries@ilsscotland.com,"<a href=""http://www.ilsscotland.com/""> Independent Living Services website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2011297037"">Quality grades and reports</a>","55.93050036550937,-3.302121162414551"
"Leonard Cheshire Disability","Services such as personal care, meal preparation, house work and shopping, travel and social activities.","Murrayburgh House, 17 Corstorphine Road, Edinburgh","EH12 6DD","0131 346 9040",info@lcdisabilty.org,"<a href=""http://www.lcdisability.org/?lid=21973"">Leonard Cheshire website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2009235307"">Quality grades and reports</a>","55.94576345361833,-3.2385635375976562"
"Link Living","Support with cooking, shopping, budgeting, accessing college and work, social activities and travel.","2C New Mart Road, Edinburgh","EH14 1RL","0845  002 0819",enquiries@linkliving.org.uk,"<a href=""http://linkliving.org.uk/"">Link Living website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004061283"">Quality grades and reports</a>","55.926897226727874,-3.2497047632932663"
"Margarot Forrest","Services such as personalised care and support services, promoting independent living as an alternative to residential care.","Federation House, 222 Queensferry Road, Edinburgh","EH4 2BN","0131 346 1165",info@mfcare.co.uk,"<a href=""http://www.mfcare.co.uk/"">Margarot Forrest website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004075694"">Quality grades and reports</a>","55.95700862054742,-3.2485198974609375"
MEARS,"Services such as personal care, domestic chores, going shopping, attending appointments, taking gentle exercise or staying connected with family, friends etc.","Lower Ground Floor, 64 Albion Road, Edinburgh","EH7 5QZ","0131 656 6132",care.edinburgh@mearsgroup.co.uk,"<a href=""http://www.mearshomecare.co.uk/"">MEARS Homecare website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2011300949"">Quality grades and reports</a>","55.96126074917347,-3.1671524047851562"
"Places for People","Services such as cooking meals, light household duties, cleaning and laundry services, shopping, washing and dressing.
","11 Harewood Road Edinburgh","EH16 4NT","0131 659 4702",careandsupportscotland@placesforpeople.co.uk,"<a href=""http://www.placesforpeople.co.uk/services/homecare.aspx"">Places for People website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489"">Quality grades and reports</a>",
"Prestige Nursing + Care","Services such as assisting with live in care, personal care, domestic chores, going shopping, attending appointments, taking gentle exercise or staying connected with family, friends etc.
","64 Bridge Street, Newbridge, Edinburgh","EH28 8SH","0131 333 5111",edinburgh@prestigenursing.co.uk,"<a href=""http://www.prestige-nursing.co.uk/branch_profile.php?BranchID=84"">Prestige Nursing and Care Edinburgh website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2010252997"">Quality grades and reports</a>","55.93913015737522,-3.4069204330444336"
"Richmond Fellowship","Support with personal care, household tasks, social activities, accessing the community, and specific support for a variety of conditions.","TRFS East Region,Unit 1 Alderstone Business Park, Macmillan Road,Livingston","EH54 7DF","01506 420 910",info@trfs.org.uk,"<a href=""http://www.trfs.org.uk/what_we_do"">The Richmond Fellowship Scotland website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004077052"">Quality grades and reports</a>","55.880871837763365,-3.529229164123535"
SAGA,"Services such as personal care, dressing, washing, bathing as well as preparing meals and leisure activities.
","9 South Gyle Crescent, Edinburgh","EH12 9EB","0131 334 9014",edinburgh@saga.co.uk,"<a href=""http://www.sagahomecare.co.uk/"">SAGA Homecare website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008182807"">Quality grades and reports</a>","55.92999549922886,-3.299846649169922"
"Scottish Autism","Support with household tasks, social activties, and accessing education and work, including passing a driving test.","17d North High Street, Musselburgh","EH21 6JA","0845 300 9274",lothian@scottishautism.org,"<a href=""http://www.scottishautism.org/adult-services/lothian-and-borders/outreach/"">Scottish Autism website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004073440"">Quality grades and reports</a>","55.94408120340358,-3.0550146102905273"
SCRT,"Services such as helping with cooking meals, housework, personal care, shopping and dementia care.","Unit 6, Straiton View, Straiton Business Park, Loanhead, Edinburgh","EH20 9QZ","0131 448 0883",scrt@scrt.org.uk,"<a href=""http://www.scrt.org.uk"">SCRT Homecare</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004062662"">Quality grades and reports</a>","55.8830382463256,-3.162388801574707"
"Share Scotland","Services include personal care, managing money, going shopping, preparing meals, accessing the community, education and work, and social activities.","8A Silk Street, Paisley","PA1 1HG","0141 848 5068",enquiries@sharescotland.org.uk,"<a href=""http://www.sharescotland.org.uk/"">Share Scotland website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003053750"">Quality grades and reports</a>","55.84648197449283,-4.418778419494629"
"Shaw Healthcare","Services such as personal care, dressing, washing, bathing as well as preparing meals and leisure activities.
","Unit 5, Newington Business Centre, Dalkeith Road Mews, Edinburgh","EH16 5DU","0800 902 0092",info@shaw.co.uk,"<a href=""http://www.shaw.co.uk/care-homes/newington-business-centre-shaw-community-living-edinburgh-branch/"">Shaw Healthcare website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2011300605"">Quality grades and reports</a>","55.93360154263285,-3.166980743408203"
"St Josephs","Support with meal preparation and housework, travel and public transport, social activites and accessing the community.","72 Carnethie Street, Rosewell, Midlothian","EH24 9AW","0131 440 7200",info@stjosephsservices.co.uk,"<a href=""http://www.stjosephsservices.co.uk/index"">St Joseph's website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2012312131"">Quality grades and reports</a>","55.85269752265769,-3.135523796081543"
"Thistle Foundation","Support tailored specifically to your needs.","Niddrie Mains Road, Midlothian","EH16 4EA","0131 661 3366",info@thistle.org.uk,"<a href=""http://www.thistle.org.uk/our-services/supported-living"">Thistle Foundation website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004080908"">Quality grades and reports</a>","55.931582199674025,-3.1313610076904297"
