Name,Address,Postcode,Telephone,Email,"Day and time","Changes to service",Location
"Parkgrove Street","87 Parkgrove Street","EH7 7NT","0131 529 5683",access.services@edinburgh.gov.uk,"2.30 - 3.30pm on Tuesdays",,"55.96006663662597,-3.289047360267432"
"Parkside, Newbridge","1 Parkside","EH28 8ST","0131 529 5683",access.services@edinburgh.gov.uk,"5.30 - 5.45pm on Wednesdays",,"55.938597,-3.409138"
"Prestonfield Avenue","28 Prestonfield Avenue","EH16 5EH ","0131 529 5683",access.services@edinburgh.gov.uk,"Fri 12.15pm - 12.45pm",,"55.933386,-3.161042"
"Ratho Station, Station Road","Station Road","EH28 8PZ","0131 529 5683",access.services@edinburgh.gov.uk,"11.45 am- 12.15pm on Mondays",,"55.93776009595586,-3.3915138244628906"
"Redhall Drive","67 - 69 Redhall Drive","EH14 2HG","0131 529 5683",access.services@edinburgh.gov.uk,"Wed 4.00pm - 4.40pm",,"55.922669,-3.256002"
"Rosebery Avenue Dental Surgery, South Queensferry","Rosebery Avenue","EH30 9JG ","0131 529 5683",access.services@edinburgh.gov.uk,"1.45 - 2.30pm on Thursdays",,"55.985688,-3.391311"
"Roseburn Crescent","2 Roseburn Crescent","EH12 5NZ","0131 529 5683",access.services@edinburgh.gov.uk,"Wed 6.30pm - 7.15pm",,"55.94396,-3.237829"
"Saughton Crescent (Bright Sparks Nursery)","58 Saughton Crescent ","EH12 5SP","0131 529 5683",access.services@edinburgh.gov.uk,"Fri 2.20 - 2.45pm",,"55.9435035,-3.255395599999929"
"Saughton Mains Terrace","4 Saughton Mains Terrace","EH11 3NU","0131 529 5683",access.services@edinburgh.gov.uk,"Fri 10.15 - 10.30am",,"55.93259819999999,-3.2673681999999644"
"South Gyle Gardens","110 South Gyle Gardens","EH12 7RZ ","0131 529 5683",access.services@edinburgh.gov.uk,"Mon 10.00am - 10.15am",,"55.937712,-3.298417"
"Southhouse Avenue SH","47 - 49 Southhouse Avenue","EH17 8BZ ","0131 529 5683",access.services@edinburgh.gov.uk,"3.25 - 3.45pm on Mondays",,"55.901551,-3.155276"
"Southhouse Road","35 Southhouse Road","EH17 8EW ","0131 529 5683",access.services@edinburgh.gov.uk,"4.15 - 4.25pm on Mondays",,"55.898674,-3.157366"
"Southhouse Square","1 Southhouse Square","EH17 8DN ","0131 529 5683",access.services@edinburgh.gov.uk,"3.50 - 4.10pm on Mondays",,"55.899091,-3.154147"
"Stuart Square","Stuart Square","EH12 8UU","0131 529 5683",access.services@edinburgh.gov.uk,"6.15 - 7.00pm on Tuesdays",,"55.950191,-3.30277"
"The Queens Retreat, South Queensferry","6 Scotstoun Grove","EH30 9PH","0131 529 5683",access.services@edinburgh.gov.uk,"1.10 - 1.40pm on Thursdays",,"55.983694,-3.391944"
"Turnhouse Road","85 Turnhouse Road",EH12,"0131 529 5683",access.services@edinburgh.gov.uk,"Tuesdays, 4.50 - 5.15pm",,"55.94157171054124,-3.3161852356715826"
"Waverley Court","4 East Market St","EH8 8BG","0131 529 5683",access.services@edinburgh.gov.uk,"Wed 12.00 - 1.15pm",,"55.9518711,-3.1834713000000647"
"Whitehouse Road, Barnton","Whitehouse Road","EH4 6DB","0131 529 5683",access.services@edinburgh.gov.uk,"10.50 - 11.05am on Thursdays",,"55.969133,-3.307"
"Woodhall Terrace (corner of Baberton Crescent)",,"EH14 5DN","0131 529 5683",access.services@edinburgh.gov.uk,"Mondays, 2.25 - 2.50pm","Moved from Baberton Avenue due to building work","55.90624733501022,-3.2825732231140137"
"Zetland Place","5 Zetland Place","EH5 3HU","0131 529 5683",access.services@edinburgh.gov.uk,"2.10 - 2.50pm on Wednesdays",,"55.975814,-3.208848"
