Name,Telephone,Email,Address,Postcode,Description,Clients,Website,"Commissioned by Services for Communities","Other details","What to do next","Where is this service available",Location
"CHAI (Community Help & Advice Initiative)","0131 442 2100",chai@mail.wh1.org.uk,"1st floor ELS house, 555 Gorgie Road, Edinburgh","EH11 3LE","The CHAI Housing Support Team deliver city-wide housing support through a visiting support service aimed at maintaining tenancies and promoting independence. 
The CHAI Substance Misuse Support Service deliver support to people with substance misuse problems resident in South West Edinburgh.","Individuals, couples and families aged 16 plus.","http://www.chaiedinburgh.org.uk ",,"This is a short term service that can support people for up to two years.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.93011570608279,-3.255429267883301"
Changeworks,"0131 555 4010 ",warmth@changeworks.org.uk,"36 Newhaven Road, Edinburgh","EH6 5PY ","Changeworks’ Domestic Advice Team give free, confidential and impartial energy and fuel billing advice to households, helping save money on fuel bills, apply for grants and make homes warm.","Anyone ","http://www.changeworks.org.uk ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.96983565523259,-3.1859922409057617"
"City Youth Cafe ","0131 220 2108 ",6vtyouthcafe@tiscali.co.uk," 6 Victoria Terrace, Edinburgh","EH1 2JL","The City Youth Café gives advice and support for young tenants aged between fifteen and twenty-one to help them get emergency and permanent accommodation, provide housing advice and help them manage their tenancy.  ","Young people",http://www.6vt.info/1.html,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City centre","55.948427,-3.194031"
"City Youth Cafe - Drop in Service","0131 220 2108 ",6vtyouthcafe@tiscali.co.uk," 6 Victoria Terrace, Edinburgh","EH1 2JL","The City Youth Café has a drop in service at 6 Victoria Terrace for people aged between 13 and 21. We offer emotional and practical housing support for young people and their families within the city of Edinburgh. We offer a food voucher scheme that offers hot food to those classed as homeless and to the most vulnerable young people within the city.","Young people","http://www.6vt.info/1.html ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City centre","55.948427,-3.194031"
"Comely Green Service","0845 002 0819",linkliving@linkliving.org.uk,"Link Group Ltd, Link House, 2C New Mart Road, Edinburgh","EH14 1RL","This accommodation service is in a mixed development of tenancies and accessed by the Community Rehabilitation Team.  Support is flexible and responsive to individual need.","Mental Health, Anyone aged 18 and over. Accommodation Service.",http://www.linkliving.org.uk,,,"Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.",,"55.92715850922621,-3.249635696411133"
"Connected Learning and Employability","0131 557 7913",connected@foursquare.org.uk,,"EH7 4HF","A social enterprise providing: person centred employability support and case management; life skills, personal effectiveness and work skills training programmes; full-time work placements; and part-time volunteering opportunities.","Unemployed and vulnerable young people and adults with multiple and complex needs (3 or more significant barriers to employment).",http://www.foursquare.org.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.",,"55.96486388234225,-3.196249008178711"
"Cross Reach Cunningham House","0131 225 4795",,"205 Cowgate, Edinburgh","EH1 1JH","Cunningham House is a short-stay, supported hostel for homeless people located in the heart of Edinburgh.",Any,"http://www.crossreach.org.uk/node/67 ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City centre","55.9485,-3.188381"
"Cross Reach Rankeillor ","0131 225 4901",,"52 Queen Street, Edinburgh","EH2 3NS","Cross Reach Rankeillor is supported accommodation for men in recovery from drug/alcohol misuse in shared flats in central Edinburgh.  They also give support for people in their own homes in Edinburgh to address issues around their substance misuse",Addictions,"http://www.crossreach.org.uk/node/177 ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City Centre","55.953855,-3.203231"
"Cross Reach Threshold","0131 443 6844",,"1 & 5 Gorgie Park Close, Edinburgh","EH14 1NQ","Cross Reach Threshhold gives housing support and care at home to adults with a learning difficulty and associated physical health needs.","Learning disability 
Physical health","http://www.crossreach.org.uk/node/160 ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.93415,-3.238573"
"Cyrenian's Homelessness Prevention Service","0131 475 2556 ","HPS@cyrenians.org.uk  ","Norton Park, 57 Albion Road, Edinburgh, EH7 5QY","EH7 5QY","Cyrenians HPS works with people who have not been homeless in the last two years, to stop them from becoming homeless in the future","Anyone who has not been homeless in the last two years",http://www.cyrenians.org.uk,,"This is a short term service that will usually support people for up to six months.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.961252,-3.166522"
"Cyrenians Community","0131 555 3707",communities@cyrenians.org.uk,"107a Ferry Rd, Edinburgh","EH6 4ET","Cyrenians Communities provides residential care to young people at the site in Edinburgh City and the small Farm community in West Lothian
The holistic support gives security, structure and boundaries to young people and helps them achieve goals including a City and Guilds qualification.","16-30 yr olds who have experienced or are at risk of homelessness.  Individuals placements are funded by social work.",http://www.cyrenians.org.uk/,Yes,,,,"55.97432651439099,-3.1842756271362304"
"Dean and Cauvin Trust ","0131 316 4994",,"17 Melville Street, Edinburgh","EH3 7PH","Dean and Cauvin Trust supports young people aged between fifteen and twenty-one. They provide supported accommodation and support for young people for up to two years after they have moved out of the Trusts supported accommodation.  ","Young people","http://www.deanandcauvin.org.uk/ ",,"This is a short term service that can support people for up to two years.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.950803,-3.212024"
"Dunedin Harbour Hostel"," 0131  6245800",hostel@dunedincanmore.org.uk,"4 Parliament Street, Leith, Edinburgh. EH6 6EB","EH6 6EB","24 hour direct access supported accommodation.  Support offered with housing advice, addiction, physical and mental health and resettlement. High quality accommodation with en-suite facilities in all room and shared kitchens. 12 week stay. Disabled access.","Homeless persons aged 16-60+, male and female. people with pets, couples and friends sharing.",http://www.dunedincanmore.org.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.",Leith,"55.97454263884914,-3.172602653503418"
"Edinburgh Furniture Initiative","0131 557 7904 ",info@foursquare.org.uk,"Four Square (Scotland), Four Square Hub, 67a Logie Green Road, Canonmills, Edinburgh","EH7 4HF","Good quality re-usable furniture and appliances ",Anyone,http://www.foursquare.org.uk/efi.htm,"Not commissioned by SfC",,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.96529623577951,-3.196120262145996"
"Edinburgh Housing Advice Partnership (EHAP) ","0845 302 4607",ehap@mail.wh1.org.uk,"1st Floor, ELS House, 555 Gorgie Road, Edinburgh","EH11 3LE","EHAP give free and confidential housing advice, information, education and court representation to Edinburgh tenants of all tenure types and owner-occupiers to help them keep their homes. ","Council, private and housing association tenants, owner-occupiers and anyone affected by homelessness.","http://www.ehap.org.uk ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.93028098989802,-3.2552307844161987"
"Edinburgh Mental Health Service","0845 002 0819",linkliving@linkliving.org.uk,"Link Group Ltd, Link House, 2C New Mart Road, Edinburgh","EH14 1RL","This service provides support for people living in their own homes.  Support for individuals is available to sustain their accommodation and develop their life skills.","Mental Health, Anyone aged over 18",http://www.linkliving.org.uk,,"This can be a longer term housing support service.","Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.","City wide","55.92711042285986,-3.2494640350341797"
"Edinburgh Women's Aid  ","0131 315 8110 ",info@edinwomensaid.co.uk,"4 Cheyne Street, Edinburgh","EH4 1JB","Edinburgh Women's Aid  has refuges and visiting support.  A refuge is a temporary safe house that can be an ordinary council house or a purpose built refuge.  Edinburgh Women's Aid has refuges and visiting support. A refuge is a temporary safe house that can be an ordinary council house or a purpose built refuge. Edinburgh Women's Aid workers can provide follow on support to women who lived in a refuge.",Women,http://www.edinwomensaid.co.uk,,"This is a short term service that can support people for up to two years.","PPlease contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.958305929645746,-3.2132434844970703"
"Edinburgh Young Person's Service","0845 002 0819","linkliving@linkliving.org.uk ","Link Group Ltd, Link House, 2C New Mart Road, Edinburgh","EH14 1RL","Support is available to help young people find secure housing, and set up and sustain their tenancy.  We have access to a few Scottish Short Secure Tenancies for service users.","Young people aged 16 – 25",http://www.linkliving.org.uk,,"This is a short term service that can support people for up to two years.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.927284735653956,-3.2493996620178223"
"Enable Scotland","0141 226 4541",enable@enable.org.uk,"2nd Floor, 146 Argyle Street, Glasgow","G2 8BL","Enable Scotland provides support to people with learning disabilities to enable them to live independent and integrated lives in the community","Learning disabilities",http://www.enable.org.uk,,,,,"55.858421,-4.255424"
ESIST,"0131 476 2023",mail@streetwork.org.uk,"4 Bellevue Street, Edinburgh","EH7 4BY","ESIST works with young people leaving care / have left care at risk of homelessness, 14-25 years.  One to one support, detached youth work in Edinburgh, school workshops","Young people, 14-25 who are leaving or have left care",http://www.streetwork.org.uk,"Not commissioned by SfC",,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.96238976698833,-3.1901979446411133"
"Four Square ","0131 557 7930",info@foursquare.org.uk,"Four Square (Scotland), Four Square Hub, 67a Logie Green Road, Canonmills, Edinburgh","EH7 4HF","Four Square  provides a range of services to help people find, furnish and keep their home including visiting support, hostel accommodation, supported accommodation, Conected, Employability Service, Employability Training Services, ADAPT young parents visiting housing support and Edinburgh Furniture Initiative (EFI).",Any,http://www.foursquare.org.uk,,"Follow up is a short term service that will usually support people for up to six months.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.965307,-3.196265"
Garvald,"0131 228 3712",,"2 Montpelier Terrace, Edinburgh","EH10 4NF","Garvald supports adults with learning difficulties to access a range of living options in good quality tenancies.","Learning disabilities",http://www.garvaldedinburgh.org.uk,,,,,"55.938176,-3.213167"
"Gateway to Homes and Communities","0131 561 8903 ",Gateway@bethanychristiantrust.com,"65 Bonnington Road, Edinburgh","EH6 5JQ","Gateway to Homes and Communities provide furniture and furnishings to help people who have been homeless to set up a new home. ","Anyone who has been homeless","http://www.bethanychristiantrust.com/sevenlevels/level5.php ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.971477,-3.176956"
"Gateway Visiting Support ","0131 561 8910",GVS@bethanychristiantrust.com,"65 Bonnington Road, Edinburgh","EH6 5JQ","Gateway Visiting Support gives housing support to help people keep their home including help with handling money, dealing with addictions, managing health problems and other life issues, as well as accessing employment and training.  ",Any,http://www.bethanychristiantrust.com/?page_id=1834,,"This is a short term service that will usually support people for up to six months.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.971477,-3.176956"
"Health in Mind ","0131 225 8508 ",contactus@health-in-mind.org.uk,"40 Shandwick Place, Edinburgh ","EH2 4RT","Health in Mind gives advice, support and information for people experiencing or recovering from mental health problems.  ","Mental health",http://www.health-in-mind.co.uk,,"This can be a longer term housing support service.","Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.","City wide","55.94913974959227,-3.209960460662842"
"Home Scotland","0131 336 5876 ",scotland@homegroup.org.uk,"Unit 3, Q Court, Quality Street, Davidson's Mains, Edinburgh","EH4 5BP","Home Scotland housing support service to help people live in their home, establish themselves in a new home or to avoid homelessness.  ",Any,"http://www.homegroup.org.uk/careandsupport/Pages/homesupportscotland.aspx ",,"In general this is a short term service that will usually support people for up to six months.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.963079,-3.272498"
"Jericho House","0131 225 8230","Jericho.ed@btconnect.com   ","53 Lothian Street, Edinburgh","EH1 1HB","Jericho House is open 24 hours per day and provides residential accommodation and housing support for 20 vulnerable adults who have an alcohol problem and/or a mental health problem.","Alcohol addiction 
Mental health problem",,,,"Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.","City Centre","55.94626511051918,-3.189226984977722"
"Key Moves","0131 556 8939",cranstonstreet@uk2.net,"2 Cranston Street, Edinburgh","EH8 8BE","Keymoves provides 24 hour supported, temporary emergency accommodation to vulnerable homeless women who have a range of difficulties.",Women,,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City Centre","55.950815,-3.184032"
LetFirst,"0131 553 0060",letfirst@orchard-shipman.com,"Sugar Bond, 2 Anderson Place (just off Bonnington Road), Edinburgh ","EH6 5NP","LetFirst help people to find a house with a good private landlord without the need for a deposit and advance monthly rent payments.","Anyone at risk of being homeless who do not have a deposit",http://www.Let-First.co.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.970796310646044,-3.1802845001220703"
"Neighbourhood Support Service",,housingsupport@edinburgh.gov.uk,,,"Neighbourhood Support Service helps tenants and owners who have trouble managing their home or are at risk of losing their home.",Any,http://www.edinburgh.gov.uk/info/963/homelessness-advice_and_support/1153/neighbourhood_support_service,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.",Citywide,
Penumbra,"0131 475 2380",enquiries@penumbra.org.uk,"Norton Park, 57 Albion Road, Edinburgh, EH7 5QY","EH7 5QY","Penumbra gives support to young people who self harm and people who experience mental health problems.  They provide supported accommodation, respite care and peer support.  ","Young people",http://www.penumbra.org.uk,,"This can be a longer term housing support service.","Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.","City wide","55.961252,-3.166522"
"Places for People  Scotland Care & Support","0131 659 4702",careandsupportscotland@placesforpeople.co.uk,"Craigmillar Social Enterprise & Arts Centre (SPACE), 11 Harewood Road, Edinburgh","EH16 4NT","Places for People Scotland Care & Support provide housing with support services to older and young people, people with physical and learning disabilities and mental health issues.","Acquired Brain Injuries
Learning Disabilities
Mental Health
Young People and Care Leavers
Older People
Physical Disabilities
","http://www.placesforpeoplecareandsupport.co.uk ",,"Places for People Scotland Care & Support is a subsidiary of Castle Rock Edinvar Housing Association and has access to additional housing.","Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.","City wide","55.935333,-3.131421"
"Prestonfield Neighbourhood Project","0131 620 7222",prestonfieldnp@southedinburgh.net,"63 Prestonfield Avenue, Edinburgh","EH16 5EX","Prestonfield Neighbourhood Project gives advice and information for older people in the Community of South and Central Edinburgh. The PNP centre provides a place for older people to meet and be socially active.","Older people",http://www.southedinburgh.net/pnp/,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","South Edinburgh","55.93344228279986,-3.159215748310089"
"Reach Out","0131 476 2023",mail@streetwork.org.uk,"4 Bellevue Street, Edinburgh","EH7 4BY","Reach Out provides street based outreach to women involved in street based prostitution.  Follow up support also provided.","Women involved in street based prostitution.",http://www.streetwork.org.uk,"Not commissioned by SfC",,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.962461830837,-3.1903696060180664"
"Richmond Fellowship Scotland","0131 337 7577 / 313 1894",glynch@trfs.org.uk,,"EH11 2HU","The housing support service provides adults with mental health difficulties / learning difficulties & Autism with support in their own homes and local communities. Supporting people to build skills for independent living","People of all ages and conditions including Learning Disabilities, Mental Health Issues, Forensic and Autism",http://www.trfs.org.uk,,,"Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.","City wide","55.942374846393314,-3.225259780883789"
"Rock Trust","0131 557 4059 ",admin@rocktrust.org,"55 Albany Street, Edinburgh","EH1 3QY","Rock Trust provides supported accommodation and support for homeless and socially excluded young people between sixteen and twenty-five years old. ","Young people, Care Leavers",http://www.rocktrust.org/,,"Rock Trust - Mainstay is a short term service that can support people for up to two years.","Please contact this service if you or someone you knows could benefit from support from this service or if you want more information.","City wide","55.957321,-3.189564"
"Runaways Action Project","0131 476 2023",mail@streetwork.org.uk,"4 Bellevue Street, Edinburgh","EH7 4BY","The RAP project work with young people at risk of / or who have run away from home.  Street based outreach, school workshops and one to one support.","Young people at risk or who have run away from home",http://www.streetwork.org.uk,"Not commissioned by SfC",,"Please contact this service if you or someone you knows could benefit from support from this service or if you want more information.","City wide","55.96222161748625,-3.1903696060180664"
"Saheliya ","0131 556 9302 ",info@saheliya.co.uk,"125-127 McDonald Road","EH7 4NW","Saheliya gives support people with mental health issues of Black and Minority Ethnic women in Edinburgh. ","Women from BME backgrounds with mental health issues",http://www.saheliya.org.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.965704565145934,-3.187708854675293"
"Salvation Army","0131 669 8257 / 0131 552 5705 / 0131 556 9674","eastscotland@salvationarmy.org.uk ","77 Bread Street, Edinburgh","EH3 9AH","The Salvation Army provides supported accommodation for people that are homeless.",Any,http://www1.salvationarmy.org.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.",,"55.946499415108676,-3.204176276922226"
SAMH,"0141 568 7000 ","info@samh.org.uk  ","15 Calton Court, Glasgow","G5 9JP","SAMH provides a range of community based support services to people affected by mental health issues, homelessness and addictions.","Mental Health Issues, Addictions, Homelessness and people looking for personalised support services",http://www.samh.org.uk,,,"Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.",,"55.85406306344402,-4.257422089576721"
"Scottish Veterans","0131 556 6827",info@svronline.org,"Whiteford House, 53 Cannongate, Edinburgh","EH8 8BS","The Scottish Veterans provides supported accommodation for people have been in the armed forces who are homeless.","People have been in the armed forces who are homeless.",http://www.svronline.org,,,"PPlease contact this service if you or someone you know could benefit from support from this service or if you want more information.","City Centre","55.95222,-3.17706"
Shakti,"0131 475 2399 ",info@shaktiedinburgh.co.uk,,,"Shakti provides support, advocacy and information to all black / minority ethnic women, children and young people experiencing and/or fleeing domestic abuse.  ","Women 
Children 
Young people ",http://www.shaktiedinburgh.co.uk,,"This is a short term service that can support people for up to two years.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide",
"Share Scotland","0141 848 5068",enquiries@sharescotland.org.uk,"8a Silk Street, Paisley","PA1 1HG","Share Scotland provides support to adults with complex learning and physical disabilities with intensive support to enable them to lead as independent a life as possible, in their own home and in their local community.","Learning disabilities 
Physical disabilities",http://www.sharescotland.org.uk/home,,,"Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.",,"55.846633,-4.418854"
"Streetwork Crisis Service","0131 557 6055 or Freephone 0808 178 2323",mail@streetwork.org.uk,"22 Holyrood Road, Edinburgh","EH8 8AF","The Crisis Service meets the needs of those in housing crisis, sleeping rough or who, because of complex needs are at risk of housing crisis. 
Support for people under 25 years old is through the Rock Trust – Crisis Service. ","People at risk of rough sleeping",http://www.streetwork.org.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.94917504294649,-3.181719481945038"
"Streetwork - Tenancy Support","0131 556 9756",mail@streetwork.org.uk,"2 New Street, Edinburgh","EH8 8BH","Housing Supports provides one to one support to people in their own homes with complex and multiple needs.","Anyone with complex and multiple needs.",http://www.streetwork.org.uk,,"In general this is a short term service that will usually support people for up to six months.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.951530613881275,-3.1829023361206054"
"Streetwork - Women's Project","0131 476 2023",mail@streetwork.org.uk,"4 Bellevue Street, Edinburgh","EH7 4BY","Our Women’s project provides one to one support, street based outreach and drop in sessions for women who have complex and multiple needs.","Women with complex and multiple needs",http://www.streetwork.org.uk/,,"In general this is a short term service that will usually support people for up to six months.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.962149553190294,-3.1903696060180664"
"Turning Point - Midpoint","0131 553 2222",,"5 Links Place, Edinburgh","EH6 7EZ","Midpoint provides housing support to people with drug misuse issues who are homeless, have a history of homelessness or at risk of becoming homeless due to difficulty managing their tenancy.","People with addictions with a history of homelessness","http://www.turningpointscotland.com/services/midpoint ",,"In general this is a short term service that will usually support people for up to six months.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.973162,-3.16422"
YMCA,"0131 228 1464",info@ymcascotland.org,"James Love House, 11 Rutland Street, Edinburgh","EH1 2DQ","YMCA provides supported accommodation for young people aged between 16 and 25.",Any,"http://www.ypeople.org.uk ",,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.",,"55.949673,-3.208226"
